---------------------------- PROCESS STARTED (19913) for package com.progetto.tesi ----------------------------
2022-12-01 09:09:08.621 19913-19913 System.out              com.progetto.tesi                    I  DebuggableApplications: Progetto Tesi
2022-12-01 09:09:08.646 19913-19946 System.out              com.progetto.tesi                    I  DeveloperOptions: adb: true devops: true
2022-12-01 09:09:08.682 19913-19913 System.out              com.progetto.tesi                    I  UsbChecker: ischarg: false usbcharg: false accharge: false
2022-12-01 09:09:09.642 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 0
2022-12-01 09:09:09.642 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch null Roll NORTH
2022-12-01 09:09:09.651 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-12-01 09:09:09.651 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:10.121 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 358
2022-12-01 09:09:10.121 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:10.412 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 358
2022-12-01 09:09:10.412 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:10.780 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:10.780 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:23.853 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:23.853 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:23.867 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 2 Roll 357
2022-12-01 09:09:23.868 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:23.882 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 357
2022-12-01 09:09:23.882 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:23.984 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 4 Roll 357
2022-12-01 09:09:23.984 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
