macrodroid=False
fakeclient=False
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,1280,1280,ioctl,True,1688557359370151,1688557359373838,01688557359370151,no,no,no,no,no,no,no,no,no,no
2,1280,1280,clock_gettime,True,1688557359376985,1688557359378957,0,1688557359376985,no,no,no,no,no,no,no,no,no,no
3,1280,1280,ioctl,True,1688557359380834,1688557359381293,0,1688557359380834,no,no,no,no,no,no,no,no,no,no
4,1280,1280,ioctl,True,1688557359381358,1688557359381669,0,1688557359381358,no,no,no,no,no,no,no,no,no,no
5,1280,1280,ioctl,True,1688557359381817,1688557359382597,0,1688557359381817,no,no,no,no,no,no,no,no,no,no
6,1280,1280,ioctl,True,1688557359382892,1688557359383690,0,1688557359382892,no,no,no,no,no,no,no,no,no,no
7,1280,1280,getuid,True,1688557359383820,1688557359384411,10333,1688557359383820,no,no,no,no,no,no,no,no,no,no
8,1280,1280,prctl,True,1688557359384462,1688557359384832,1,1688557359384462,no,no,no,no,no,no,no,no,no,no
9,1280,1280,mprotect,True,1688557359384921,1688557359385781,0,1688557359384921,no,no,no,no,no,no,no,no,no,no
11,1539,1539,getuid,True,1688557758913779,1688557758913995,10333,1688557758732,alert,no,no,no,no,no,no,no,no,no
11,1539,1539,getuid,True,1688557758913779,1688557758913995,10333,1688557758751,alert,alert,no,no,no,no,no,no,no,no
12,1539,1539,epoll_pwait,True,1688557758914061,1688557758914281,1,1688557758914061,alert,alert,no,no,no,no,no,no,no,no
13,1539,1539,read,True,1688557758914321,1688557758914592,8,1688557758914321,alert,alert,no,no,no,no,no,no,no,no
14,1539,1539,clock_gettime,True,1688557758914637,1688557758914848,0,1688557758914637,alert,alert,no,no,no,no,no,no,no,no
15,1539,1539,clock_gettime,True,1688557758914933,1688557758915165,0,1688557758914933,alert,alert,no,no,no,no,no,no,no,no
16,1539,1539,gettimeofday,True,1688557758915212,1688557758915417,0,1688557758915212,alert,alert,no,no,no,no,no,no,no,no
