1677233599563 DebuggableApplications: Progetto Android Training
1677233599563 DebuggableApplications: Progetto Android
1677233599579 DeveloperOptions: adb: true devops: true
1677233599585 Ptracer: started
1677233599605 AppManagement: onResume
1677233600120 UsbChecker: ischarg: true usbcharg: false accharg: true
1677233601577 SensorListener: First calibration done
1677233601577 SensorListener: Device is correctly used
1677233601584 SensorListener: Calibration done
1677233601658 SensorListener: Texts: Azimuth NORTH Pitch EAST Roll NORTH
1677233601659 SensorListener: Numbers: Azimuth 0 Pitch -13 Roll 0
1677233601672 SensorListener: Numbers: Azimuth 359 Pitch -12 Roll 356
1677233601678 SensorListener: Numbers: Azimuth 358 Pitch -14 Roll 355
1677233601684 SensorListener: Numbers: Azimuth 352 Pitch -22 Roll 9
1677233601692 SensorListener: Numbers: Azimuth 331 Pitch -23 Roll 7
1677233601845 SensorListener: Numbers: Azimuth 345 Pitch -16 Roll 13
1677233602166 SensorListener: Numbers: Azimuth 344 Pitch -18 Roll 16
1677233602201 SensorListener: Numbers: Azimuth 342 Pitch -19 Roll 16
1677233602411 SensorListener: Numbers: Azimuth 343 Pitch -23 Roll 16
1677233602560 SensorListener: Numbers: Azimuth 344 Pitch -33 Roll 20
1677233602747 SensorListener: Numbers: Azimuth 348 Pitch -42 Roll 25
1677233602933 SensorListener: Numbers: Azimuth 357 Pitch -35 Roll 24
1677233603122 SensorListener: Numbers: Azimuth 18 Pitch -33 Roll 20
1677233603156 SensorListener: Numbers: Azimuth 20 Pitch -28 Roll 16
1677233603309 SensorListener: Numbers: Azimuth 4 Pitch -23 Roll 13
1677233603541 SensorListener: Numbers: Azimuth 356 Pitch -22 Roll 11
1677233603754 SensorListener: Numbers: Azimuth 355 Pitch -22 Roll 12
1677233603907 SensorListener: Numbers: Azimuth 354 Pitch -22 Roll 11
1677233604113 SensorListener: Numbers: Azimuth 355 Pitch -22 Roll 12
1677233604301 SensorListener: Numbers: Azimuth 354 Pitch -22 Roll 12
1677233604440 SensorListener: Numbers: Azimuth 354 Pitch -23 Roll 11
1677233604619 SensorListener: Numbers: Azimuth 354 Pitch -23 Roll 12
1677233605030 SensorListener: Numbers: Azimuth 354 Pitch -23 Roll 13
1677233605405 SensorListener: Numbers: Azimuth 354 Pitch -22 Roll 13
1677233605610 SensorListener: Numbers: Azimuth 354 Pitch -21 Roll 10
1677233605800 SensorListener: Numbers: Azimuth 355 Pitch -21 Roll 11
1677233605940 SensorListener: Numbers: Azimuth 354 Pitch -21 Roll 10
