1677577968460 DebuggableApplications: Progetto Android Training
1677577968460 DebuggableApplications: Progetto Android
1677577968477 DeveloperOptions: adb: true devops: true
1677577968485 Ptracer: started
1677577968502 AppManagement: onResume
1677577968753 UsbChecker: ischarg: true usbcharg: true accharg: false
1677577970474 SensorListener: First calibration done
1677577970474 SensorListener: Device is correctly used
1677577970755 SensorListener: Calibration done
1677577970866 SensorListener: Texts: Azimuth NORTH Pitch EAST Roll NORTH
1677577970867 SensorListener: Numbers: Azimuth 0 Pitch 1 Roll 0
1677577970903 SensorListener: Numbers: Azimuth 0 Pitch 1 Roll 359
1677577970938 SensorListener: Numbers: Azimuth 2 Pitch 2 Roll 0
1677577971116 SensorListener: Numbers: Azimuth 5 Pitch 3 Roll 2
1677577971301 SensorListener: Numbers: Azimuth 7 Pitch 3 Roll 3
1677577971489 SensorListener: Numbers: Azimuth 7 Pitch 2 Roll 0
1677577971933 SensorListener: Numbers: Azimuth 3 Pitch 1 Roll 358
1677577971948 SensorListener: Numbers: Azimuth 355 Pitch 1 Roll 359
1677577972050 SensorListener: Numbers: Azimuth 349 Pitch 1 Roll 0
1677577972238 SensorListener: Numbers: Azimuth 345 Pitch 1 Roll 0
1677577972424 SensorListener: Numbers: Azimuth 339 Pitch 1 Roll 0
1677577972832 SensorListener: Numbers: Azimuth 339 Pitch 1 Roll 359
1677577974183 AppManagement: onPause
