1679568861966@DebuggableApplications: #Progetto Android Training#
1679568861966@DebuggableApplications: #Progetto Android#
1679568861989@DeveloperOptions: adb: #true# devops: #true#
1679568862000@Ptracer: #started#
1679568862013@AppManagement: #onresume#
1679568862151@UsbChecker: ischarg: #true# usbcharg: #false# accharg: #true#
1679568863985@SensorListener: #firstcalibrationdone#
1679568863985@SensorListener: #deviceiscorrectlyused#
1679568864086@SensorListener: #calibrationdone#
1679568864213@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1679568864213@SensorListener: Numbers: Azimuth #0# Pitch #-19# Roll #0#
1679568864239@SensorListener: Numbers: Azimuth #0# Pitch #-18# Roll #359#
1679568864415@SensorListener: Numbers: Azimuth #0# Pitch #-17# Roll #358#
1679568864614@SensorListener: Numbers: Azimuth #0# Pitch #-17# Roll #359#
1679568864786@SensorListener: Numbers: Azimuth #359# Pitch #-16# Roll #359#
1679568864979@SensorListener: Numbers: Azimuth #0# Pitch #-15# Roll #359#
1679568865535@SensorListener: Numbers: Azimuth #359# Pitch #-20# Roll #358#
1679568865749@SensorListener: Numbers: Azimuth #1# Pitch #-20# Roll #358#
1679568866013@SensorListener: Numbers: Azimuth #1# Pitch #-22# Roll #1#
1679568866089@AppManagement: #onpause#
