1683032714874@DebuggableApplications: #Progetto Android#
1683032714918@DeveloperOptions: adb: #true# devops: #true#
1683032714938@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1683032714939@Ptracer: #started#
1683032716905@SensorListener: #firstcalibrationdone#
1683032716905@SensorListener: #deviceiscorrectlyused#
1683032716940@SensorListener: #calibrationdone#
1683032717002@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1683032717003@SensorListener: Numbers: Azimuth #0# Pitch #-32# Roll #0#
1683032717141@SensorListener: Numbers: Azimuth #357# Pitch #-33# Roll #358#
1683032717153@SensorListener: Numbers: Azimuth #354# Pitch #-33# Roll #358#
1683032717343@SensorListener: Numbers: Azimuth #350# Pitch #-35# Roll #355#
1683032717545@SensorListener: Numbers: Azimuth #351# Pitch #-37# Roll #357#
1683032717745@SensorListener: Numbers: Azimuth #351# Pitch #-38# Roll #358#
1683032717948@SensorListener: Numbers: Azimuth #350# Pitch #-39# Roll #359#
1683032717954@SensorListener: Numbers: Azimuth #349# Pitch #-40# Roll #359#
1683032718149@SensorListener: Numbers: Azimuth #347# Pitch #-41# Roll #358#
1683032718351@SensorListener: Numbers: Azimuth #347# Pitch #-42# Roll #359#
1683032718552@SensorListener: Numbers: Azimuth #346# Pitch #-40# Roll #359#
1683032718755@SensorListener: Numbers: Azimuth #344# Pitch #-38# Roll #356#
1683032718782@SensorListener: Numbers: Azimuth #341# Pitch #-37# Roll #0#
1683032718958@SensorListener: Numbers: Azimuth #332# Pitch #-31# Roll #12#
1683032719159@SensorListener: Numbers: Azimuth #320# Pitch #-20# Roll #15#
1683032719360@SensorListener: Numbers: Azimuth #317# Pitch #-13# Roll #20#
1683032719560@SensorListener: Numbers: Azimuth #316# Pitch #-14# Roll #20#
1683032719571@SensorListener: Numbers: Azimuth #319# Pitch #-12# Roll #19#
1683032719762@SensorListener: Numbers: Azimuth #320# Pitch #-8# Roll #10#
1683032719964@SensorListener: Numbers: Azimuth #326# Pitch #-7# Roll #10#
1683032721175@SensorListener: Numbers: Azimuth #326# Pitch #-6# Roll #9#
1683032889406@SensorListener: Numbers: Azimuth #326# Pitch #-5# Roll #9#
1683032890013@SensorListener: Numbers: Azimuth #326# Pitch #-6# Roll #9#
1683032897151@SensorListener: Numbers: Azimuth #326# Pitch #-5# Roll #9#
1683032898159@SensorListener: Numbers: Azimuth #326# Pitch #-6# Roll #9#
1683032898563@SensorListener: Numbers: Azimuth #326# Pitch #-5# Roll #9#
1683032901590@SensorListener: Numbers: Azimuth #326# Pitch #-6# Roll #9#
1683032902192@SensorListener: Numbers: Azimuth #326# Pitch #-5# Roll #9#
1683032911201@AppManagement: #onpause#
