1683989998826@DebuggableApplications: #Progetto Android#
1683989998845@Ptracer: #started#
1683989998845@DeveloperOptions: adb: #true# devops: #true#
1683989998855@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1683990000849@SensorListener:#firstcalibrationdone#
1683990000849@SensorListener: #deviceiscorrectlyused#
1683990000993@SensorListener: #calibrationdone#
1683990001017@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1683990001018@SensorListener: Numbers: Azimuth #0# Pitch #-42# Roll #0#
1683990001193@SensorListener: Numbers: Azimuth #1# Pitch #-39# Roll #0#
1683990001397@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #356#
1683990001598@SensorListener: Numbers: Azimuth #355# Pitch #-33# Roll #353#
1683990001625@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #354#
1683990001799@SensorListener: Numbers: Azimuth #356# Pitch #-34# Roll #357#
1683990002000@SensorListener: Numbers: Azimuth #349# Pitch #-24# Roll #357#
1683990002202@SensorListener: Numbers: Azimuth #338# Pitch #-15# Roll #13#
1683990002404@SensorListener: Numbers: Azimuth #329# Pitch #-7# Roll #20#
1683990002409@SensorListener: Numbers: Azimuth #330# Pitch #0# Roll #16#
1683990002606@SensorListener: Numbers: Azimuth #331# Pitch #0# Roll #13#
1683990002807@SensorListener: Numbers: Azimuth #332# Pitch #0# Roll #11#
1683990003010@SensorListener: Numbers: Azimuth #332# Pitch #0# Roll #9#
1683990003413@SensorListener: Numbers: Azimuth #331# Pitch #0# Roll #9#
1683990003614@SensorListener: Numbers: Azimuth #331# Pitch #1# Roll #9#
1683990003817@SensorListener: Numbers: Azimuth #330# Pitch #1# Roll #9#
1683990004018@SensorListener: Numbers: Azimuth #329# Pitch #1# Roll #9#
1683990004026@SensorListener: Numbers: Azimuth #329# Pitch #1# Roll #8#
1683990004218@SensorListener: Numbers: Azimuth #329# Pitch #2# Roll #8#
1683990010271@SensorListener: Numbers: Azimuth #329# Pitch #2# Roll #9#
1683990010472@SensorListener: Numbers: Azimuth #328# Pitch #2# Roll #9#
1683990010675@SensorListener: Numbers: Azimuth #330# Pitch #2# Roll #9#
1683990010874@SensorListener: Numbers: Azimuth #332# Pitch #1# Roll #8#
1683990011077@SensorListener: Numbers: Azimuth #336# Pitch #2# Roll #8#
1683990011288@SensorListener: Numbers: Azimuth #336# Pitch #2# Roll #9#
1683990013049@AppManagement: #onpause#
