1683990821178@DebuggableApplications: #Progetto Android#
1683990821201@DeveloperOptions: adb: #true# devops: #true#
1683990821206@Ptracer: #started#
1683990821220@UsbChecker: ischarg: #true# usbcharg: #true# accharg: #false#
1683990823196@SensorListener: #firstcalibrationdone#
1683990823196@SensorListener: #deviceiscorrectlyused#
1683990823301@SensorListener: #calibrationdone#
1683990823374@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1683990823377@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1683990823501@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683990824913@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990825114@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683990825118@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990825317@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683990826122@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990826324@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683990826526@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990827635@AppManagement: #onpause#
