1683990953156@DebuggableApplications: #Progetto Android#
1683990953175@Ptracer: #started#
1683990953179@UsbChecker: ischarg: #true# usbcharg: #true# accharg: #false#
1683990953180@DeveloperOptions: adb: #true# devops: #true#
1683990955168@SensorListener: #firstcalibrationdone#
1683990955168@SensorListener: #deviceiscorrectlyused#
1683990955256@SensorListener: #calibrationdone#
1683990955293@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1683990955294@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1683990955454@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990957673@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1683990957878@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683990958101@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990958884@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683990959698@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990960095@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683990960699@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990960901@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683990961103@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990962111@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683990962919@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990962926@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683990963322@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990964127@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683990964329@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990964532@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683990964936@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990965137@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683990965742@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990966146@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683990966347@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1683990966747@AppManagement: #onpause#
