1683991647446@DebuggableApplications: #Progetto Android#
1683991647479@UsbChecker: ischarg: #true# usbcharg: #true# accharg: #false#
1683991647479@DeveloperOptions: adb: #true# devops: #true#
1683991647486@Ptracer: #started#
1683991649477@SensorListener: #firstcalibrationdone#
1683991649477@SensorListener: #deviceiscorrectlyused#
1683991649599@SensorListener: #calibrationdone#
1683991649667@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1683991649667@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1683991649797@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683991649999@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1683991650402@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1683991650603@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991650817@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991651410@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #0#
1683991651613@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991651623@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #0#
1683991652015@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991654037@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991654437@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991661242@JavaDebugWireProtocol_JDWP: Debugger found
1683991661900@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991662100@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991662303@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991662908@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991663111@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991663916@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991664926@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991667762@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #0#
1683991667949@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991669378@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991669563@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991670371@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991670576@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991670975@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991671783@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991671985@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991672590@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991673397@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #0#
1683991673598@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991675015@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991675212@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991675413@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991675614@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991677026@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991678036@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991681262@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991681465@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #359#
1683991683280@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1683991683483@SensorListener: Numbers: Azimuth #1# Pitch #3# Roll #0#
1683991684574@AppManagement: #onpause#
