1684054842951@DebuggableApplications: #Progetto Android#
1684054843021@DeveloperOptions: adb: #true# devops: #true#
1684054843032@Ptracer: #started#
1684054843058@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1684054845012@SensorListener: #firstcalibrationdone#
1684054845012@SensorListener: #deviceiscorrectlyused#
1684054845167@SensorListener: #calibrationdone#
1684054845206@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1684054845206@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1684054845367@SensorListener: Numbers: Azimuth #354# Pitch #2# Roll #359#
1684054845570@SensorListener: Numbers: Azimuth #352# Pitch #2# Roll #359#
1684054845580@SensorListener: Numbers: Azimuth #350# Pitch #2# Roll #359#
1684054845773@SensorListener: Numbers: Azimuth #348# Pitch #2# Roll #359#
1684054846376@SensorListener: Numbers: Azimuth #350# Pitch #2# Roll #358#
1684054846384@SensorListener: Numbers: Azimuth #357# Pitch #2# Roll #358#
1684054846578@SensorListener: Numbers: Azimuth #2# Pitch #2# Roll #358#
1684054846782@SensorListener: Numbers: Azimuth #5# Pitch #2# Roll #358#
1684054846980@SensorListener: Numbers: Azimuth #8# Pitch #2# Roll #359#
1684055137654@AppManagement: #onpause#
