1684058188925@DebuggableApplications: #AudioRecorder#
1684058188928@DebuggableApplications: #Progetto Android#
1684058188947@DeveloperOptions: adb: #true# devops: #true#
1684058188951@Ptracer: #started#
1684058188971@UsbChecker: ischarg: #true# usbcharg: #true# accharg: #false#
1684058190942@SensorListener: #firstcalibrationdone#
1684058190942@SensorListener: #deviceiscorrectlyused#
1684058191130@SensorListener: #calibrationdone#
1684058191329@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1684058191330@SensorListener: Numbers: Azimuth #0# Pitch #-22# Roll #0#
1684058191333@SensorListener: Numbers: Azimuth #1# Pitch #-22# Roll #0#
1684058191531@SensorListener: Numbers: Azimuth #1# Pitch #-21# Roll #0#
1684058191730@SensorListener: Numbers: Azimuth #2# Pitch #-21# Roll #0#
1684058191935@SensorListener: Numbers: Azimuth #2# Pitch #-22# Roll #0#
1684058192141@SensorListener: Numbers: Azimuth #2# Pitch #-22# Roll #1#
1684058192336@SensorListener: Numbers: Azimuth #2# Pitch #-23# Roll #1#
1684058192539@SensorListener: Numbers: Azimuth #3# Pitch #-30# Roll #3#
1684058192739@SensorListener: Numbers: Azimuth #359# Pitch #-35# Roll #2#
1684058192940@SensorListener: Numbers: Azimuth #1# Pitch #-33# Roll #6#
1684058193144@SensorListener: Numbers: Azimuth #1# Pitch #-30# Roll #7#
1684058193345@SensorListener: Numbers: Azimuth #1# Pitch #-29# Roll #7#
1684058193560@SensorListener: Numbers: Azimuth #1# Pitch #-29# Roll #6#
1684058193577@SensorListener: Numbers: Azimuth #1# Pitch #-30# Roll #5#
1684058193749@SensorListener: Numbers: Azimuth #2# Pitch #-31# Roll #5#
1684058193949@SensorListener: Numbers: Azimuth #2# Pitch #-32# Roll #5#
1684058194152@SensorListener: Numbers: Azimuth #3# Pitch #-33# Roll #5#
1684058194356@SensorListener: Numbers: Azimuth #4# Pitch #-38# Roll #6#
1684058194359@SensorListener: Numbers: Azimuth #6# Pitch #-40# Roll #5#
1684058194722@SensorListener: Numbers: Azimuth #9# Pitch #-39# Roll #3#
1684058194792@SensorListener: Numbers: Azimuth #9# Pitch #-40# Roll #4#
1684058194958@SensorListener: Numbers: Azimuth #10# Pitch #-40# Roll #5#
1684058195162@SensorListener: Numbers: Azimuth #11# Pitch #-40# Roll #5#
1684058195364@SensorListener: Numbers: Azimuth #11# Pitch #-40# Roll #4#
1684058195564@SensorListener: Numbers: Azimuth #11# Pitch #-41# Roll #5#
1684058195763@SensorListener: Numbers: Azimuth #11# Pitch #-42# Roll #5#
1684058195967@SensorListener: Numbers: Azimuth #14# Pitch #-29# Roll #12#
1684058195971@SensorListener: Numbers: Azimuth #15# Pitch #-1# Roll #14#
1684058196178@SensorListener: Numbers: Azimuth #10# Pitch #4# Roll #30#
1684058196369@SensorListener: Numbers: Azimuth #11# Pitch #1# Roll #25#
1684058196572@SensorListener: Numbers: Azimuth #12# Pitch #1# Roll #6#
1684058196774@SensorListener: Numbers: Azimuth #10# Pitch #2# Roll #355#
1684058196775@SensorListener: Numbers: Azimuth #357# Pitch #2# Roll #355#
1684058197176@SensorListener: Numbers: Azimuth #357# Pitch #2# Roll #356#
1684058305205@SensorListener: Numbers: Azimuth #358# Pitch #2# Roll #356#
1684058305609@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #356#
1684058306416@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #356#
1684058308918@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #356#
1684058310816@AppManagement: #onpause#
