1684058566893@DebuggableApplications: #AudioRecorder#
1684058566896@DebuggableApplications: #Progetto Android#
1684058566918@Ptracer: #started#
1684058566926@DeveloperOptions: adb: #true# devops: #true#
1684058566928@UsbChecker: ischarg: #true# usbcharg: #true# accharg: #false#
1684058568911@SensorListener: #firstcalibrationdone#
1684058568911@SensorListener: #deviceiscorrectlyused#
1684058569085@SensorListener: #calibrationdone#
1684058569272@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1684058569274@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1684058569297@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1684058569893@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1684058570698@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1684058571504@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1684058571913@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1684058572311@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1684058573926@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1684058574529@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1684058575165@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1684058575338@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1684058578565@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1684058581589@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1684058581792@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1684058581993@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1684058582800@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1684058582801@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1684058584815@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1684058585018@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1684058586836@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1684058588448@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1684058588852@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1684058589658@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1684058590063@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1684058590264@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1684058590869@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1684058593895@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1684058594096@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1684058599925@AppManagement: #onpause#
