1684070932449@DebuggableApplications: #AudioRecorder#
1684070932453@DebuggableApplications: #Progetto Android#
1684070932483@DeveloperOptions: adb: #true# devops: #true#
1684070932496@Ptracer: #started#
1684070932503@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1684070934474@SensorListener: #firstcalibrationdone#
1684070934474@SensorListener: #deviceiscorrectlyused#
1684070934505@SensorListener: #calibrationdone#
1684070934599@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1684070934599@SensorListener: Numbers: Azimuth #0# Pitch #-11# Roll #0#
1684070934705@SensorListener: Numbers: Azimuth #350# Pitch #-33# Roll #355#
1684070934707@SensorListener: Numbers: Azimuth #347# Pitch #-39# Roll #349#
1684070934910@SensorListener: Numbers: Azimuth #347# Pitch #-38# Roll #343#
1684070935109@SensorListener: Numbers: Azimuth #348# Pitch #-32# Roll #340#
1684070935310@SensorListener: Numbers: Azimuth #351# Pitch #-19# Roll #340#
1684070935512@SensorListener: Numbers: Azimuth #351# Pitch #-17# Roll #340#
1684070935512@SensorListener: Numbers: Azimuth #353# Pitch #-19# Roll #341#
1684070935714@SensorListener: Numbers: Azimuth #354# Pitch #-25# Roll #342#
1684070935918@SensorListener: Numbers: Azimuth #351# Pitch #-27# Roll #336#
1684070936116@SensorListener: Numbers: Azimuth #355# Pitch #-23# Roll #329#
1684070936320@SensorListener: Numbers: Azimuth #1# Pitch #-22# Roll #324#
1684070936321@SensorListener: Numbers: Azimuth #10# Pitch #-17# Roll #332#
1684070936520@SensorListener: Numbers: Azimuth #20# Pitch #-11# Roll #345#
1684070936722@SensorListener: Numbers: Azimuth #27# Pitch #-11# Roll #354#
1684070936924@SensorListener: Numbers: Azimuth #18# Pitch #-27# Roll #355#
1684070937125@SensorListener: Numbers: Azimuth #353# Pitch #-31# Roll #335#
1684070937126@SensorListener: Numbers: Azimuth #349# Pitch #-39# Roll #337#
1684070937328@SensorListener: Numbers: Azimuth #339# Pitch #-39# Roll #338#
1684070937529@SensorListener: Numbers: Azimuth #348# Pitch #-36# Roll #345#
1684070937730@SensorListener: Numbers: Azimuth #358# Pitch #-27# Roll #349#
1684070937931@SensorListener: Numbers: Azimuth #4# Pitch #-26# Roll #351#
1684070937932@SensorListener: Numbers: Azimuth #352# Pitch #-25# Roll #337#
1684070938133@SensorListener: Numbers: Azimuth #359# Pitch #-13# Roll #345#
1684070938336@SensorListener: Numbers: Azimuth #356# Pitch #-9# Roll #339#
1684070938537@SensorListener: Numbers: Azimuth #353# Pitch #-3# Roll #337#
1684070938738@SensorListener: Numbers: Azimuth #354# Pitch #1# Roll #337#
1684070938739@SensorListener: Numbers: Azimuth #356# Pitch #1# Roll #337#
1684070938941@SensorListener: Numbers: Azimuth #355# Pitch #1# Roll #337#
1684070939747@SensorListener: Numbers: Azimuth #357# Pitch #1# Roll #337#
1684070939949@SensorListener: Numbers: Azimuth #359# Pitch #1# Roll #337#
1684070940151@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #338#
1684070940957@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #337#
1684070941158@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #338#
1684070941363@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #337#
1684070941561@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #338#
1684070942571@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #337#
1684070942772@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #338#
1684070943176@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #337#
1684070944385@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #338#
1684070945000@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #337#
1684070945190@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #338#
1684070945393@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #337#
1684070945593@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #338#
1684070947006@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #337#
1684070948124@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #338#
1684070948620@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #337#
1684070948820@SensorListener: Numbers: Azimuth #2# Pitch #1# Roll #337#
1684070949026@SensorListener: Numbers: Azimuth #19# Pitch #1# Roll #336#
1684070949224@SensorListener: Numbers: Azimuth #27# Pitch #1# Roll #337#
1684070949627@SensorListener: Numbers: Azimuth #26# Pitch #2# Roll #338#
1684070949829@SensorListener: Numbers: Azimuth #352# Pitch #2# Roll #338#
1684070950193@SensorListener: Numbers: Azimuth #351# Pitch #2# Roll #338#
1684070951046@SensorListener: Numbers: Azimuth #351# Pitch #2# Roll #337#
1684070951242@SensorListener: Numbers: Azimuth #352# Pitch #0# Roll #336#
1684070951444@SensorListener: Numbers: Azimuth #3# Pitch #0# Roll #337#
1684070951851@SensorListener: Numbers: Azimuth #3# Pitch #1# Roll #337#
1684070952201@AppManagement: #onpause#
