1684850067530@DebuggableApplications: #AudioRecorder#
1684850067532@DebuggableApplications: #Progetto Android#
1684850067532@DebuggableApplications: #Amaze Debug#
1684850067534@DebuggableApplications: #Open Camera#
1684850067536@GnuDebugger_GDB: Debugger found
1684850067559@DeveloperOptions: adb: #true# devops: #true#
1684850067569@Ptracer: #started#
1684850067570@Ptracer: #error#
1684850067594@UsbChecker: ischarg: #true# usbcharg: #true# accharg: #false#
1684850069556@SensorListener: #firstcalibrationdone#
1684850069556@SensorListener: #deviceiscorrectlyused#
1684850069747@SensorListener: #calibrationdone#
1684850069810@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1684850069810@SensorListener: Numbers: Azimuth #0# Pitch #-10# Roll #0#
1684850069948@SensorListener: Numbers: Azimuth #0# Pitch #-9# Roll #1#
1684850070151@SensorListener: Numbers: Azimuth #0# Pitch #-9# Roll #2#
1684850070351@SensorListener: Numbers: Azimuth #0# Pitch #-9# Roll #3#
1684850070553@SensorListener: Numbers: Azimuth #1# Pitch #-8# Roll #4#
1684850070755@SensorListener: Numbers: Azimuth #1# Pitch #-8# Roll #5#
1684850070957@SensorListener: Numbers: Azimuth #2# Pitch #-8# Roll #5#
1684850070959@SensorListener: Numbers: Azimuth #3# Pitch #-8# Roll #6#
1684850071158@SensorListener: Numbers: Azimuth #3# Pitch #-8# Roll #7#
1684850071562@SensorListener: Numbers: Azimuth #4# Pitch #-9# Roll #8#
1684850071763@SensorListener: Numbers: Azimuth #4# Pitch #-9# Roll #9#
1684850071765@SensorListener: Numbers: Azimuth #5# Pitch #-10# Roll #9#
1684850071966@SensorListener: Numbers: Azimuth #5# Pitch #-10# Roll #10#
1684850072167@SensorListener: Numbers: Azimuth #5# Pitch #-11# Roll #10#
1684850072369@SensorListener: Numbers: Azimuth #4# Pitch #-11# Roll #11#
1684850072569@SensorListener: Numbers: Azimuth #4# Pitch #-12# Roll #11#
1684850072570@SensorListener: Numbers: Azimuth #5# Pitch #-12# Roll #11#
1684850072772@SensorListener: Numbers: Azimuth #5# Pitch #-12# Roll #12#
1684850072974@SensorListener: Numbers: Azimuth #5# Pitch #-13# Roll #12#
1684850073177@SensorListener: Numbers: Azimuth #5# Pitch #-14# Roll #12#
1684850073378@SensorListener: Numbers: Azimuth #4# Pitch #-15# Roll #13#
1684850073379@SensorListener: Numbers: Azimuth #4# Pitch #-16# Roll #13#
1684850073579@SensorListener: Numbers: Azimuth #3# Pitch #-16# Roll #13#
1684850073981@SensorListener: Numbers: Azimuth #4# Pitch #-16# Roll #13#
1684850074184@SensorListener: Numbers: Azimuth #5# Pitch #-16# Roll #13#
1684850074385@SensorListener: Numbers: Azimuth #6# Pitch #-17# Roll #13#
