1685713150768@DebuggableApplications: #MyCalc#
1685713150768@DebuggableApplications: #AudioRecorder#
1685713150770@DebuggableApplications: #Progetto Android#
1685713150792@AppManagement: #onresume#
1685713150795@Ptracer: #started#
1685713150803@DeveloperOptions: adb: #true# devops: #true#
1685713151004@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1685713152785@SensorListener: #firstcalibrationdone#
1685713152785@SensorListener: #deviceiscorrectlyused#
1685713152842@SensorListener: #calibrationdone#
1685713152867@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1685713152868@SensorListener: Numbers: Azimuth #0# Pitch #-37# Roll #0#
1685713153043@SensorListener: Numbers: Azimuth #359# Pitch #-36# Roll #0#
1685713153243@SensorListener: Numbers: Azimuth #359# Pitch #-35# Roll #359#
1685713153244@SensorListener: Numbers: Azimuth #358# Pitch #-36# Roll #359#
1685713153446@SensorListener: Numbers: Azimuth #358# Pitch #-36# Roll #0#
1685713153647@SensorListener: Numbers: Azimuth #358# Pitch #-37# Roll #0#
1685713154051@SensorListener: Numbers: Azimuth #358# Pitch #-35# Roll #0#
1685713154052@SensorListener: Numbers: Azimuth #358# Pitch #-34# Roll #0#
1685713154252@SensorListener: Numbers: Azimuth #359# Pitch #-34# Roll #0#
1685713154454@SensorListener: Numbers: Azimuth #359# Pitch #-33# Roll #0#
1685713154656@SensorListener: Numbers: Azimuth #359# Pitch #-33# Roll #1#
1685713155262@SensorListener: Numbers: Azimuth #358# Pitch #-33# Roll #1#
1685713156675@SensorListener: Numbers: Azimuth #358# Pitch #-34# Roll #1#
1685713156874@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #1#
1685713157278@SensorListener: Numbers: Azimuth #358# Pitch #-34# Roll #1#
1685713157279@SensorListener: Numbers: Azimuth #358# Pitch #-33# Roll #2#
1685713157482@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #2#
1685713158286@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #1#
1685713158705@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #2#
1685713159498@SensorListener: Numbers: Azimuth #357# Pitch #-33# Roll #2#
1685713159900@SensorListener: Numbers: Azimuth #357# Pitch #-33# Roll #3#
1685713160102@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #3#
1685713160910@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #4#
1685713162321@SensorListener: Numbers: Azimuth #358# Pitch #-34# Roll #4#
1685713162526@SensorListener: Numbers: Azimuth #358# Pitch #-34# Roll #5#
1685713162725@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #5#
1685713162925@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #4#
1685713163127@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #5#
1685713163329@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #4#
1685713163733@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #5#
1685713163934@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #4#
1685713164339@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #5#
1685713164741@SensorListener: Numbers: Azimuth #357# Pitch #-34# Roll #4#
1685713165749@SensorListener: Numbers: Azimuth #357# Pitch #-33# Roll #4#
1685713166154@SensorListener: Numbers: Azimuth #357# Pitch #-33# Roll #5#
1685713166960@SensorListener: Numbers: Azimuth #358# Pitch #-33# Roll #5#
1685713167772@SensorListener: Numbers: Azimuth #357# Pitch #-33# Roll #5#
1685713168373@SensorListener: Numbers: Azimuth #357# Pitch #-33# Roll #6#
1685713168576@SensorListener: Numbers: Azimuth #358# Pitch #-33# Roll #6#
1685713169583@SensorListener: Numbers: Azimuth #358# Pitch #-33# Roll #7#
1685713170189@SensorListener: Numbers: Azimuth #358# Pitch #-33# Roll #8#
1685713170190@SensorListener: Numbers: Azimuth #357# Pitch #-33# Roll #8#
