1685713322179@DebuggableApplications: #MyCalc#
1685713322179@DebuggableApplications: #AudioRecorder#
1685713322181@DebuggableApplications: #Progetto Android#
1685713322201@DeveloperOptions: adb: #true# devops: #true#
1685713322204@AppManagement: #onresume#
1685713322217@Ptracer: #started#
1685713322239@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1685713324196@SensorListener: #firstcalibrationdone#
1685713324196@SensorListener: #deviceiscorrectlyused#
1685713324239@SensorListener: #calibrationdone#
1685713324274@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1685713324274@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1685713324275@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713325024@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713325028@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713325225@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713325427@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713325830@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713326031@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713326233@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713326436@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713326637@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713327443@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713328273@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713328473@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713329081@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713329484@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713330894@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713332319@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713337370@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713337775@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713338178@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713338580@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713338984@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713340194@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713340396@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713340799@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713341205@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713341808@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713342249@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713342251@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713342414@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713342818@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713344430@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713344432@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713344635@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713346045@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713346449@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713346649@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713346852@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713347056@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1685713347256@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #2#
1685713347458@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #4#
1685713347658@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #4#
1685713347659@SensorListener: Numbers: Azimuth #358# Pitch #3# Roll #4#
1685713347861@SensorListener: Numbers: Azimuth #358# Pitch #3# Roll #2#
1685713348062@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1685713348264@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #1#
1685713348469@SensorListener: Numbers: Azimuth #359# Pitch #-3# Roll #7#
1685713348471@SensorListener: Numbers: Azimuth #358# Pitch #-30# Roll #12#
1685713348670@SensorListener: Numbers: Azimuth #339# Pitch #-29# Roll #352#
1685713348870@SensorListener: Numbers: Azimuth #357# Pitch #-36# Roll #353#
1685713349072@SensorListener: Numbers: Azimuth #16# Pitch #-36# Roll #358#
1685713349282@SensorListener: Numbers: Azimuth #18# Pitch #-39# Roll #348#
1685713349293@SensorListener: Numbers: Azimuth #27# Pitch #-40# Roll #350#
1685713349492@SensorListener: Numbers: Azimuth #34# Pitch #-41# Roll #353#
1685713349695@SensorListener: Numbers: Azimuth #31# Pitch #-42# Roll #354#
1685713349884@SensorListener: Numbers: Azimuth #33# Pitch #-42# Roll #356#
1685713350085@SensorListener: Numbers: Azimuth #32# Pitch #-42# Roll #356#
1685713350088@SensorListener: Numbers: Azimuth #31# Pitch #-43# Roll #352#
1685713350303@SensorListener: Numbers: Azimuth #33# Pitch #-44# Roll #353#
1685713350320@AppManagement: #onpause#
