1686294080752@DebuggableApplications: #MyCalc#
1686294080753@DebuggableApplications: #AudioRecorder#
1686294080775@AppManagement: #onresume#
1686294080777@DeveloperOptions: adb: #true# devops: #true#
1686294080796@Ptracer: #started#
1686294080823@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1686294082767@SensorListener: #firstcalibrationdone#
1686294082767@SensorListener: #deviceiscorrectlyused#
1686294082826@SensorListener: #calibrationdone#
1686294082912@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1686294082912@SensorListener: Numbers: Azimuth #0# Pitch #-18# Roll #0#
1686294083026@SensorListener: Numbers: Azimuth #359# Pitch #-18# Roll #0#
1686294083228@SensorListener: Numbers: Azimuth #359# Pitch #-17# Roll #0#
1686294083229@SensorListener: Numbers: Azimuth #359# Pitch #-18# Roll #0#
1686294083430@SensorListener: Numbers: Azimuth #358# Pitch #-19# Roll #1#
1686294083631@SensorListener: Numbers: Azimuth #356# Pitch #-20# Roll #1#
1686294084035@SensorListener: Numbers: Azimuth #356# Pitch #-20# Roll #2#
1686294084038@SensorListener: Numbers: Azimuth #356# Pitch #-21# Roll #2#
1686294084841@SensorListener: Numbers: Azimuth #356# Pitch #-22# Roll #2#
1686294085246@SensorListener: Numbers: Azimuth #356# Pitch #-23# Roll #3#
1686294085454@SensorListener: Numbers: Azimuth #356# Pitch #-25# Roll #5#
1686294085647@SensorListener: Numbers: Azimuth #355# Pitch #-25# Roll #5#
1686294085648@SensorListener: Numbers: Azimuth #355# Pitch #-26# Roll #5#
1686294086056@SensorListener: Numbers: Azimuth #355# Pitch #-26# Roll #4#
1686294086257@SensorListener: Numbers: Azimuth #355# Pitch #-27# Roll #4#
1686294086457@SensorListener: Numbers: Azimuth #355# Pitch #-27# Roll #3#
1686294086458@SensorListener: Numbers: Azimuth #355# Pitch #-27# Roll #2#
1686294087061@SensorListener: Numbers: Azimuth #355# Pitch #-26# Roll #2#
1686294087263@SensorListener: Numbers: Azimuth #355# Pitch #-27# Roll #2#
1686294087464@SensorListener: Numbers: Azimuth #355# Pitch #-27# Roll #3#
1686294087872@SensorListener: Numbers: Azimuth #355# Pitch #-28# Roll #3#
1686294088877@SensorListener: Numbers: Azimuth #356# Pitch #-29# Roll #4#
1686294089078@SensorListener: Numbers: Azimuth #356# Pitch #-30# Roll #5#
1686294089280@SensorListener: Numbers: Azimuth #356# Pitch #-30# Roll #6#
1686294089480@SensorListener: Numbers: Azimuth #357# Pitch #-30# Roll #7#
1686294089683@SensorListener: Numbers: Azimuth #357# Pitch #-29# Roll #9#
1686294089684@SensorListener: Numbers: Azimuth #355# Pitch #-29# Roll #10#
1686294089886@SensorListener: Numbers: Azimuth #354# Pitch #-28# Roll #10#
1686294090085@SensorListener: Numbers: Azimuth #351# Pitch #-27# Roll #10#
1686294090287@SensorListener: Numbers: Azimuth #350# Pitch #-27# Roll #9#
1686294090490@SensorListener: Numbers: Azimuth #349# Pitch #-27# Roll #8#
1686294090491@SensorListener: Numbers: Azimuth #349# Pitch #-27# Roll #6#
1686294090691@SensorListener: Numbers: Azimuth #351# Pitch #-25# Roll #6#
1686294090893@SensorListener: Numbers: Azimuth #351# Pitch #-26# Roll #5#
1686294091094@SensorListener: Numbers: Azimuth #351# Pitch #-27# Roll #4#
1686294091298@SensorListener: Numbers: Azimuth #352# Pitch #-27# Roll #3#
1686294091300@SensorListener: Numbers: Azimuth #354# Pitch #-28# Roll #2#
1686294091498@SensorListener: Numbers: Azimuth #358# Pitch #-28# Roll #3#
1686294091701@SensorListener: Numbers: Azimuth #358# Pitch #-29# Roll #3#
1686294091902@SensorListener: Numbers: Azimuth #358# Pitch #-29# Roll #2#
1686294092111@SensorListener: Numbers: Azimuth #359# Pitch #-30# Roll #2#
1686294092311@SensorListener: Numbers: Azimuth #359# Pitch #-29# Roll #3#
1686294092509@SensorListener: Numbers: Azimuth #357# Pitch #-28# Roll #3#
1686294092716@SensorListener: Numbers: Azimuth #356# Pitch #-29# Roll #3#
1686294093110@SensorListener: Numbers: Azimuth #356# Pitch #-30# Roll #3#
1686294093313@SensorListener: Numbers: Azimuth #355# Pitch #-33# Roll #1#
1686294093543@SensorListener: Numbers: Azimuth #356# Pitch #-36# Roll #1#
1686294093561@AppManagement: #onpause#
