1686294299929@DebuggableApplications: #MyCalc#
1686294299929@DebuggableApplications: #AudioRecorder#
1686294299948@Ptracer: #started#
1686294299951@AppManagement: #onresume#
1686294299956@DeveloperOptions: adb: #true# devops: #true#
1686294299990@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1686294301945@SensorListener: #firstcalibrationdone#
1686294301945@SensorListener: #deviceiscorrectlyused#
1686294301991@SensorListener: #calibrationdone#
1686294302025@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1686294302030@SensorListener: Numbers: Azimuth #0# Pitch #-35# Roll #0#
1686294302188@SensorListener: Numbers: Azimuth#0# Pitch #-34# Roll #359#
1686294302189@SensorListener: Numbers: Azimuth #0# Pitch #-34# Roll #0#
1686294302390@SensorListener: Numbers: Azimuth #359# Pitch #-34# Roll #359#
1686294302592@SensorListener: Numbers: Azimuth #358# Pitch #-32# Roll #358#
1686294302793@SensorListener: Numbers: Azimuth #358# Pitch #-27# Roll #0#
1686294302996@SensorListener: Numbers: Azimuth #351# Pitch #-23# Roll #346#
1686294302998@SensorListener: Numbers: Azimuth #348# Pitch #-26# Roll #345#
1686294303197@SensorListener: Numbers: Azimuth #348# Pitch #-33# Roll #350#
1686294303399@SensorListener: Numbers: Azimuth #346# Pitch #-28# Roll #353#
1686294303601@SensorListener: Numbers: Azimuth #350# Pitch #-23# Roll #355#
1686294303803@SensorListener: Numbers: Azimuth #351# Pitch #-27# Roll #351#
1686294303805@SensorListener: Numbers: Azimuth #345# Pitch #-27# Roll #338#
1686294304005@SensorListener: Numbers: Azimuth #347# Pitch #-13# Roll #343#
1686294304205@SensorListener: Numbers: Azimuth #345# Pitch #-12# Roll #340#
1686294304409@SensorListener: Numbers: Azimuth #345# Pitch #-9# Roll #339#
1686294304611@SensorListener: Numbers: Azimuth #345# Pitch #-6# Roll #339#
1686294304614@SensorListener: Numbers: Azimuth #345# Pitch #-1# Roll #343#
1686294304810@SensorListener: Numbers: Azimuth #345# Pitch #-3# Roll #346#
1686294305012@SensorListener: Numbers: Azimuth #344# Pitch #-6# Roll #347#
1686294305213@SensorListener: Numbers: Azimuth #345# Pitch #-8# Roll #350#
1686294305418@SensorListener: Numbers: Azimuth #345# Pitch #-9# Roll #351#
1686294305424@SensorListener: Numbers: Azimuth #345# Pitch #-10# Roll #350#
1686294305618@SensorListener: Numbers: Azimuth #345# Pitch #-11# Roll #350#
1686294306223@SensorListener: Numbers: Azimuth #345# Pitch #-12# Roll #350#
1686294306225@SensorListener: Numbers: Azimuth #345# Pitch #-12# Roll #349#
1686294307030@SensorListener: Numbers: Azimuth #345# Pitch #-13# Roll #349#
1686294307436@SensorListener: Numbers: Azimuth #345# Pitch #-13# Roll #350#
1686294307634@SensorListener: Numbers: Azimuth #345# Pitch #-12# Roll #349#
1686294307836@SensorListener: Numbers: Azimuth #345# Pitch #-10# Roll #349#
1686294308037@SensorListener: Numbers: Azimuth #345# Pitch #-10# Roll #348#
1686294308239@SensorListener: Numbers: Azimuth #345# Pitch #-9# Roll #349#
1686294308643@SensorListener: Numbers: Azimuth #345# Pitch #-9# Roll #348#
1686294308646@SensorListener: Numbers: Azimuth #345# Pitch #-9# Roll #349#
1686294308847@SensorListener: Numbers: Azimuth #345# Pitch #-10# Roll #349#
1686294309450@SensorListener: Numbers: Azimuth #345# Pitch #-11# Roll #349#
1686294310054@SensorListener: Numbers: Azimuth #345# Pitch #-11# Roll #348#
1686294310862@SensorListener: Numbers: Azimuth #345# Pitch #-12# Roll #348#
1686294311672@SensorListener: Numbers: Azimuth #345# Pitch #-11# Roll #348#
1686294313081@SensorListener: Numbers: Azimuth #345# Pitch #-14# Roll #348#
1686294313285@SensorListener: Numbers: Azimuth #345# Pitch #-22# Roll #344#
1686294313484@SensorListener: Numbers: Azimuth #351# Pitch #-31# Roll #346#
1686294313486@SensorListener: Numbers: Azimuth #352# Pitch #-30# Roll #348#
1686294313694@SensorListener: Numbers: Azimuth #348# Pitch #-30# Roll #348#
1686294313896@SensorListener: Numbers: Azimuth #347# Pitch #-31# Roll #348#
1686294314100@SensorListener: Numbers: Azimuth #347# Pitch #-31# Roll #349#
1686294314294@SensorListener: Numbers: Azimuth #346# Pitch #-30# Roll #347#
1686294314300@SensorListener: Numbers: Azimuth #346# Pitch #-31# Roll #346#
1686294314497@SensorListener: Numbers: Azimuth #345# Pitch #-33# Roll #345#
1686294314691@AppManagement: #onpause#
