1686294764629@DebuggableApplications: #MyCalc#
1686294764629@DebuggableApplications: #AudioRecorder#
1686294764672@DeveloperOptions: adb: #true# devops: #true#
1686294764675@AppManagement: #onresume#
1686294764676@Ptracer: #started#
1686294764738@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1686294766657@SensorListener: #firstcalibrationdone#
1686294766657@SensorListener: #deviceiscorrectlyused#
1686294766706@SensorListener: #calibrationdone#
1686294766832@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1686294766834@SensorListener: Numbers: Azimuth #0# Pitch #-35# Roll #0#
1686294766837@SensorListener: Numbers: Azimuth #356# Pitch #-34# Roll #357#
1686294766903@SensorListener: Numbers: Azimuth #356# Pitch #-35# Roll #357#
1686294767106@SensorListener: Numbers: Azimuth #358# Pitch #-35# Roll #359#
1686294767305@SensorListener: Numbers: Azimuth #357# Pitch #-36# Roll #359#
1686294767508@SensorListener: Numbers: Azimuth #355# Pitch #-36# Roll #359#
1686294767716@SensorListener: Numbers: Azimuth #354# Pitch #-35# Roll #359#
1686294768316@SensorListener: Numbers: Azimuth #354# Pitch #-35# Roll #358#
1686294768517@SensorListener: Numbers: Azimuth #355# Pitch #-35# Roll #358#
1686294769121@SensorListener: Numbers: Azimuth #355# Pitch #-35# Roll #357#
1686294769121@SensorListener: Numbers: Azimuth #354# Pitch #-35# Roll #356#
1686294769323@SensorListener: Numbers: Azimuth #353# Pitch #-31# Roll #349#
1686294769869@SensorListener: Numbers: Azimuth #0# Pitch #-32# Roll #357#
1686294769870@SensorListener: Numbers: Azimuth #358# Pitch #-33# Roll #356#
1686294769999@SensorListener: Numbers: Azimuth #358# Pitch #-35# Roll #359#
1686294770004@SensorListener: Numbers: Azimuth #357# Pitch #-33# Roll #2#
1686294770191@SensorListener: Numbers: Azimuth #355# Pitch #-33# Roll #1#
1686294770392@SensorListener: Numbers: Azimuth #355# Pitch #-31# Roll #2#
1686294770597@SensorListener: Numbers: Azimuth #354# Pitch #-31# Roll #2#
1686294770799@SensorListener: Numbers: Azimuth #355# Pitch #-31# Roll #2#
1686294770803@SensorListener: Numbers: Azimuth #354# Pitch #-30# Roll #2#
1686294771002@SensorListener: Numbers: Azimuth #354# Pitch #-27# Roll #2#
1686294771199@SensorListener: Numbers: Azimuth #353# Pitch #-27# Roll #0#
1686294771401@SensorListener: Numbers: Azimuth #352# Pitch #-26# Roll #359#
1686294771604@SensorListener: Numbers: Azimuth #353# Pitch #-25# Roll #359#
1686294771609@SensorListener: Numbers: Azimuth #352# Pitch #-25# Roll #358#
1686294771805@SensorListener: Numbers: Azimuth #352# Pitch #-24# Roll #358#
1686294772012@SensorListener: Numbers: Azimuth #353# Pitch #-25# Roll #358#
1686294772410@SensorListener: Numbers: Azimuth #353# Pitch #-24# Roll #358#
1686294772611@SensorListener: Numbers: Azimuth #354# Pitch #-24# Roll #358#
1686294773219@SensorListener: Numbers: Azimuth #355# Pitch #-24# Roll #359#
1686294773418@SensorListener: Numbers: Azimuth #356# Pitch #-24# Roll #359#
1686294774023@SensorListener: Numbers: Azimuth #355# Pitch #-21# Roll #358#
1686294774024@SensorListener: Numbers: Azimuth #0# Pitch #-14# Roll #359#
1686294774225@SensorListener: Numbers: Azimuth #6# Pitch #-20# Roll #0#
1686294774427@SensorListener: Numbers: Azimuth #4# Pitch #-20# Roll #359#
1686294774629@SensorListener: Numbers: Azimuth #3# Pitch #-20# Roll #0#
1686294774830@SensorListener: Numbers: Azimuth #3# Pitch #-20# Roll #1#
1686294774831@SensorListener: Numbers: Azimuth #3# Pitch #-20# Roll #0#
1686294775040@SensorListener: Numbers: Azimuth #4# Pitch #-20# Roll #1#
1686294775639@SensorListener: Numbers: Azimuth #3# Pitch #-20# Roll #1#
1686294775839@SensorListener: Numbers: Azimuth #3# Pitch #-21# Roll #1#
1686294776449@SensorListener: Numbers: Azimuth #3# Pitch #-21# Roll #2#
1686294778865@SensorListener: Numbers: Azimuth #4# Pitch #-21# Roll #2#
1686294780480@SensorListener: Numbers: Azimuth #3# Pitch #-21# Roll #2#
1686294780882@SensorListener: Numbers: Azimuth #3# Pitch #-21# Roll #1#
1686294781286@SensorListener: Numbers: Azimuth #3# Pitch #-22# Roll #2#
1686294781488@SensorListener: Numbers: Azimuth #2# Pitch #-22# Roll #1#
1686294781688@SensorListener: Numbers: Azimuth #3# Pitch #-22# Roll #1#
1686294781892@SensorListener: Numbers: Azimuth #2# Pitch #-22# Roll #1#
1686294782092@SensorListener: Numbers: Azimuth #1# Pitch #-22# Roll #1#
1686294782495@SensorListener: Numbers: Azimuth #0# Pitch #-22# Roll #1#
1686294785722@SensorListener: Numbers: Azimuth #0# Pitch #-23# Roll #1#
1686294788552@SensorListener: Numbers: Azimuth #359# Pitch #-23# Roll #1#
1686294790186@SensorListener: Numbers: Azimuth #359# Pitch #-22# Roll #1#
1686294791370@SensorListener: Numbers: Azimuth #359# Pitch #-23# Roll #0#
1686294791571@SensorListener: Numbers: Azimuth #358# Pitch #-24# Roll #358#
1686294791779@SensorListener: Numbers: Azimuth #358# Pitch #-23# Roll #0#
1686294791785@SensorListener: Numbers: Azimuth #357# Pitch #-24# Roll #358#
1686294791974@SensorListener: Numbers: Azimuth #356# Pitch #-23# Roll #357#
1686294792179@SensorListener: Numbers: Azimuth #355# Pitch #-23# Roll #358#
1686294792379@SensorListener: Numbers: Azimuth #355# Pitch #-22# Roll #356#
1686294792581@SensorListener: Numbers: Azimuth #355# Pitch #-23# Roll #355#
1686294792581@SensorListener: Numbers: Azimuth #353# Pitch #-22# Roll #353#
1686294792784@SensorListener: Numbers: Azimuth #353# Pitch #-22# Roll #354#
1686294792983@SensorListener: Numbers: Azimuth #353# Pitch #-16# Roll #358#
1686294793185@SensorListener: Numbers: Azimuth #347# Pitch #-14# Roll #355#
1686294793387@SensorListener: Numbers: Azimuth #346# Pitch #-15# Roll #352#
1686294793388@SensorListener: Numbers: Azimuth #349# Pitch #-16# Roll #354#
1686294793588@SensorListener: Numbers: Azimuth #351# Pitch #-16# Roll #354#
1686294793791@SensorListener: Numbers: Azimuth #352# Pitch #-16# Roll #355#
1686294793993@SensorListener: Numbers: Azimuth #353# Pitch #-17# Roll #356#
1686294794194@SensorListener: Numbers: Azimuth #353# Pitch #-17# Roll #357#
1686294794195@SensorListener: Numbers: Azimuth #349# Pitch #-15# Roll #353#
1686294794395@SensorListener: Numbers: Azimuth #350# Pitch #-19# Roll #6#
1686294794597@SensorListener: Numbers: Azimuth #345# Pitch #-17# Roll #17#
1686294794798@SensorListener: Numbers: Azimuth #339# Pitch #-16# Roll #21#
1686294795000@SensorListener: Numbers: Azimuth #337# Pitch #-7# Roll #22#
1686294795002@SensorListener: Numbers: Azimuth #334# Pitch #2# Roll #20#
1686294795203@SensorListener: Numbers: Azimuth #334# Pitch #2# Roll #13#
1686294795404@SensorListener: Numbers: Azimuth #338# Pitch #2# Roll #3#
1686294796212@SensorListener: Numbers: Azimuth #338# Pitch #2# Roll #2#
1686294796614@SensorListener: Numbers: Azimuth #338# Pitch #2# Roll #1#
1686294808720@SensorListener: Numbers: Azimuth #338# Pitch #3# Roll #1#
1686294808922@SensorListener: Numbers: Azimuth #338# Pitch #2# Roll #1#
1686294809527@SensorListener: Numbers: Azimuth #338# Pitch #3# Roll #1#
1686294811567@AppManagement: #onpause#
