1688553536280@DebuggableApplications: #MyCalc#
1688553536280@DebuggableApplications: #AudioRecorder#
1688553536302@DeveloperOptions: adb: #true# devops: #true#
1688553536303@Ptracer: #started#
1688553536306@AppManagement: #onresume#
1688553536564@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1688553538299@SensorListener: #firstcalibrationdone#
1688553538299@SensorListener: #deviceiscorrectlyused#
1688553538354@SensorListener: #calibrationdone#
1688553538382@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1688553538382@SensorListener: Numbers: Azimuth #0# Pitch #12# Roll #0#
1688553538555@SensorListener: Numbers: Azimuth #10# Pitch #6# Roll #358#
1688553538757@SensorListener: Numbers: Azimuth #9# Pitch #-1# Roll #6#
1688553538758@SensorListener: Numbers: Azimuth #9# Pitch #-12# Roll #12#
1688553538960@SensorListener: Numbers: Azimuth #8# Pitch #-18# Roll #17#
1688553539364@SensorListener: Numbers: Azimuth #9# Pitch #-15# Roll #15#
1688553539564@SensorListener: Numbers: Azimuth #9# Pitch #-11# Roll #14#
1688553539564@SensorListener: Numbers: Azimuth #8# Pitch #-12# Roll #14#
1688553539766@SensorListener: Numbers: Azimuth #9# Pitch #-13# Roll #15#
1688553540169@SensorListener: Numbers: Azimuth #10# Pitch #-12# Roll #15#
1688553540371@SensorListener: Numbers: Azimuth #10# Pitch #-12# Roll #14#
1688553540372@SensorListener: Numbers: Azimuth #11# Pitch #-12# Roll #14#
1688553540774@SensorListener: Numbers: Azimuth #12# Pitch #-13# Roll #14#
1688553540976@SensorListener: Numbers: Azimuth #11# Pitch #-18# Roll #13#
1688553541178@SensorListener: Numbers: Azimuth #15# Pitch #-23# Roll #12#
1688553541179@SensorListener: Numbers: Azimuth #16# Pitch #-24# Roll #11#
1688553541382@SensorListener: Numbers: Azimuth #16# Pitch #-28# Roll #10#
1688553541518@AppManagement: #onpause#
