1691395870685@DebuggableApplications: #MyCalc#
1691395870688@DebuggableApplications: #AudioRecorder#
1691395870706@DeveloperOptions: adb: #false# devops: #true#
1691395870718@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691395870721@Ptracer: #started#
1691395872705@SensorListener: #firstcalibrationdone#
1691395872706@SensorListener: #deviceiscorrectlyused#
1691395872736@SensorListener: #calibrationdone#
1691395872813@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691395872814@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691395873140@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395873747@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395875157@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395875963@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395876366@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395876972@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691395876973@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395877184@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395877375@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395877780@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395878826@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395879595@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395880804@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395881006@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395881621@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395882025@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395882216@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691395882417@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395888671@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395888879@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395890145@AppManagement: #onpause#
