1691396030066@DebuggableApplications: #MyCalc#
1691396030069@DebuggableApplications: #AudioRecorder#
1691396030095@DeveloperOptions: adb: #false# devops: #true#
1691396030101@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691396030103@Ptracer: #started#
1691396032085@SensorListener: #firstcalibrationdone#
1691396032224@SensorListener: #calibrationdone#
1691396032265@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691396032267@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396032268@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396032421@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396034641@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396034842@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396035249@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396036255@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396037285@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396038069@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396041701@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396041960@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396042308@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396043111@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396043314@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396043515@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396043919@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396044120@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396045148@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396045366@AppManagement: #onpause#
