1691399235019@DebuggableApplications: #MyCalc#
1691399235025@DebuggableApplications: #AudioRecorder#
1691399235052@DeveloperOptions: adb: #false# devops: #true#
1691399235057@Ptracer: #started#
1691399235076@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691399237045@SensorListener: #firstcalibrationdone#
1691399237077@SensorListener: #calibrationdone#
1691399237167@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691399237168@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691399237182@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399237683@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399238103@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399238691@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399240304@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399241031@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399244181@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399244376@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399250772@AppManagement: #onpause#
