1691405836988@DebuggableApplications: #MyCalc#
1691405836992@DebuggableApplications: #AudioRecorder#
1691405837026@Ptracer: #started#
1691405837027@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691405837030@DeveloperOptions: adb: #false# devops: #true#
1691405839027@SensorListener: #firstcalibrationdone#
1691405839027@SensorListener: #deviceiscorrectlyused#
1691405839057@SensorListener: #calibrationdone#
1691405839087@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691405839087@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691405839261@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405839462@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405839662@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405839893@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405840874@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405842488@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405842892@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405843724@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405843902@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405844108@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405844504@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405844706@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405844908@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405845716@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405846119@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691405846320@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405846524@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405846796@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405846928@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405847330@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691405847529@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405847733@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405848135@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405849752@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405850556@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405853845@AppManagement: #onpause#
