1691406079693@DebuggableApplications: #MyCalc#
1691406079696@DebuggableApplications: #AudioRecorder#
1691406079716@DeveloperOptions: adb: #false# devops: #true#
1691406079722@Ptracer: #started#
1691406079731@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691406081711@SensorListener: #firstcalibrationdone#
1691406081711@SensorListener: #deviceiscorrectlyused#
1691406081757@SensorListener: #calibrationdone#
1691406081813@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691406081815@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691406081816@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406082159@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406083000@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406084177@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406084782@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406084983@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406085634@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406085843@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406086599@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406086806@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406087003@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406087202@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406087406@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406089055@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691406089056@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406089825@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406090433@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406091439@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406091846@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406092103@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406092261@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406093053@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406093254@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406093456@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406093860@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406095294@AppManagement: #onpause#
