1691739551979@DebuggableApplications: #MyCalc#
1691739551981@DebuggableApplications: #AudioRecorder#
1691739552010@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691739552011@Ptracer: #started#
1691739552013@DeveloperOptions: adb: #false# devops: #true#
1691739553996@SensorListener: #firstcalibrationdone#
1691739553997@SensorListener: #deviceiscorrectlyused#
1691739554079@SensorListener: #calibrationdone#
1691739554106@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691739554107@SensorListener: Numbers: Azimuth #0# Pitch #-26# Roll #0#
1691739554330@SensorListener: Numbers: Azimuth #358# Pitch #-24# Roll #359#
1691739554660@SensorListener: Numbers: Azimuth #357# Pitch #-23# Roll #358#
1691739554663@SensorListener: Numbers: Azimuth #357# Pitch #-24# Roll #358#
1691739554666@SensorListener: Numbers: Azimuth #358# Pitch #-25# Roll #1#
1691739554874@SensorListener: Numbers: Azimuth #357# Pitch #-28# Roll #0#
1691739555072@SensorListener: Numbers: Azimuth #357# Pitch #-26# Roll #357#
1691739555316@SensorListener: Numbers: Azimuth #356# Pitch #-23# Roll #356#
1691739555318@SensorListener: Numbers: Azimuth #355# Pitch #-21# Roll #355#
1691739555537@SensorListener: Numbers: Azimuth #354# Pitch #-20# Roll #353#
1691739555752@SensorListener: Numbers: Azimuth #354# Pitch #-19# Roll #355#
1691739555924@SensorListener: Numbers: Azimuth #352# Pitch #-20# Roll #354#
1691739556141@SensorListener: Numbers: Azimuth #353# Pitch #-19# Roll #354#
1691739556146@SensorListener: Numbers: Azimuth #352# Pitch #-19# Roll #353#
1691739556312@SensorListener: Numbers: Azimuth #352# Pitch #-18# Roll #354#
1691739556529@SensorListener: Numbers: Azimuth #352# Pitch #-19# Roll #355#
1691739556733@SensorListener: Numbers: Azimuth #353# Pitch #-19# Roll #355#
1691739556926@SensorListener: Numbers: Azimuth #352# Pitch #-18# Roll #355#
1691739556927@SensorListener: Numbers: Azimuth #353# Pitch #-19# Roll #355#
1691739557107@SensorListener: Numbers: Azimuth #353# Pitch #-18# Roll #354#
1691739557360@SensorListener: Numbers: Azimuth #352# Pitch #-18# Roll #354#
1691739557525@SensorListener: Numbers: Azimuth #353# Pitch #-20# Roll #355#
1691739557756@SensorListener: Numbers: Azimuth #353# Pitch #-19# Roll #355#
1691739557759@SensorListener: Numbers: Azimuth #353# Pitch #-18# Roll #355#
1691739557902@SensorListener: Numbers: Azimuth #353# Pitch #-19# Roll #356#
1691739558096@SensorListener: Numbers: Azimuth #353# Pitch #-18# Roll #355#
1691739558355@SensorListener: Numbers: Azimuth #353# Pitch #-18# Roll #354#
1691739558512@SensorListener: Numbers: Azimuth #353# Pitch #-18# Roll #355#
1691739558513@SensorListener: Numbers: Azimuth #353# Pitch #-18# Roll #354#
1691739558931@SensorListener: Numbers: Azimuth #353# Pitch #-18# Roll #355#
1691739559119@SensorListener: Numbers: Azimuth #354# Pitch #-19# Roll #357#
1691739559344@SensorListener: Numbers: Azimuth #355# Pitch #-20# Roll #358#
1691739559346@SensorListener: Numbers: Azimuth #355# Pitch #-22# Roll #358#
1691739559530@SensorListener: Numbers: Azimuth #356# Pitch #-21# Roll #357#
1691739559738@SensorListener: Numbers: Azimuth #356# Pitch #-19# Roll #358#
1691739559983@SensorListener: Numbers: Azimuth #356# Pitch #-19# Roll #359#
1691739560135@SensorListener: Numbers: Azimuth #356# Pitch #-21# Roll #358#
1691739560137@SensorListener: Numbers: Azimuth #357# Pitch #-21# Roll #358#
1691739560345@SensorListener: Numbers: Azimuth #357# Pitch #-20# Roll #358#
1691739560528@SensorListener: Numbers: Azimuth #358# Pitch #-20# Roll #0#
1691739560781@SensorListener: Numbers: Azimuth #357# Pitch #-21# Roll #0#
1691739560950@SensorListener: Numbers: Azimuth #359# Pitch #-22# Roll #0#
1691739560951@SensorListener: Numbers: Azimuth #359# Pitch #-21# Roll #359#
1691739561138@SensorListener: Numbers: Azimuth #358# Pitch #-20# Roll #359#
1691739561365@SensorListener: Numbers: Azimuth #358# Pitch #-20# Roll #0#
1691739561601@SensorListener: Numbers: Azimuth #358# Pitch #-25# Roll #1#
1691739561726@SensorListener: Numbers: Azimuth #0# Pitch #-26# Roll #359#
1691739561727@SensorListener: Numbers: Azimuth #359# Pitch #-22# Roll #359#
1691739561933@SensorListener: Numbers: Azimuth #359# Pitch #-23# Roll #0#
1691739562140@SensorListener: Numbers: Azimuth #358# Pitch #-24# Roll #358#
1691739562422@SensorListener: Numbers: Azimuth #359# Pitch #-22# Roll #0#
1691739562553@SensorListener: Numbers: Azimuth #357# Pitch #-21# Roll #357#
1691739562555@SensorListener: Numbers: Azimuth #357# Pitch #-19# Roll #356#
1691739562769@SensorListener: Numbers: Azimuth #357# Pitch #-21# Roll #358#
1691739562991@SensorListener: Numbers: Azimuth #356# Pitch #-22# Roll #358#
1691739563155@SensorListener: Numbers: Azimuth #357# Pitch #-25# Roll #358#
1691739563344@SensorListener: Numbers: Azimuth #358# Pitch #-21# Roll #357#
1691739563345@SensorListener: Numbers: Azimuth #357# Pitch #-21# Roll #358#
1691739563540@SensorListener: Numbers: Azimuth #357# Pitch #-21# Roll #359#
1691739563744@SensorListener: Numbers: Azimuth #357# Pitch #-21# Roll #357#
1691739563943@SensorListener: Numbers: Azimuth #356# Pitch #-20# Roll #357#
1691739564150@SensorListener: Numbers: Azimuth #357# Pitch #-21# Roll #358#
1691739564356@SensorListener: Numbers: Azimuth #357# Pitch #-22# Roll #359#
1691739564575@SensorListener: Numbers: Azimuth #358# Pitch #-21# Roll #358#
1691739564752@SensorListener: Numbers: Azimuth #357# Pitch #-21# Roll #359#
1691739564962@SensorListener: Numbers: Azimuth #357# Pitch #-21# Roll #357#
1691739564964@SensorListener: Numbers: Azimuth #356# Pitch #-21# Roll #356#
1691739565178@SensorListener: Numbers: Azimuth #356# Pitch #-22# Roll #357#
1691739565361@SensorListener: Numbers: Azimuth #356# Pitch #-19# Roll #355#
1691739565569@SensorListener: Numbers: Azimuth #355# Pitch #-19# Roll #354#
1691739565766@SensorListener: Numbers: Azimuth #355# Pitch #-18# Roll #354#
1691739565997@SensorListener: Numbers: Azimuth #356# Pitch #-20# Roll #355#
1691739566191@SensorListener: Numbers: Azimuth #358# Pitch #-22# Roll #358#
1691739566424@SensorListener: Numbers: Azimuth #359# Pitch #-22# Roll #357#
1691739566585@SensorListener: Numbers: Azimuth #359# Pitch #-22# Roll #356#
1691739566590@SensorListener: Numbers: Azimuth #359# Pitch #-23# Roll #356#
