1691742197186@DebuggableApplications: #MyCalc#
1691742197192@DebuggableApplications: #AudioRecorder#
1691742197222@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691742197226@DeveloperOptions: adb: #false# devops: #true#
1691742197229@Ptracer: #started#
1691742199208@SensorListener: #firstcalibrationdone#
1691742199208@SensorListener: #deviceiscorrectlyused#
1691742199440@SensorListener: #calibrationdone#
1691742199530@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691742199530@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691742199532@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742199966@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742200420@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742201011@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742201176@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742201799@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742202424@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691742202583@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742202584@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742202853@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742203238@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742203426@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742203812@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742204223@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742206016@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742206219@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742207395@AppManagement: #onpause#
