1691742260946@DebuggableApplications: #MyCalc#
1691742260950@DebuggableApplications: #AudioRecorder#
1691742260978@Ptracer: #started#
1691742260979@DeveloperOptions: adb: #false# devops: #true#
1691742260982@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691742262965@SensorListener: #firstcalibrationdone#
1691742262965@SensorListener: #deviceiscorrectlyused#
1691742263236@SensorListener: #calibrationdone#
1691742263306@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691742263315@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691742263317@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742264154@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742264326@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742265508@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742265509@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742266114@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691742266360@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742267166@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742267167@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742267395@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742267981@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742267981@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742268386@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742268621@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742270754@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742270956@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742271550@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742271822@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742271975@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742271976@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742273186@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742273614@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742273967@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742274201@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742274382@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742274573@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742274788@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742275231@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742275603@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742276398@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742277549@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691742277636@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691742277637@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
