macrodroid=False
fakeclient=False
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,16645,16645,clock_gettime,True,1691409605476530,1691409605479775,01691409605476530,no,no,no,no,no,no,no,no,no,no
2,16645,16645,epoll_pwait,True,1691409605480504,1691409605480748,1,1691409605480504,no,no,no,no,no,no,no,no,no,no
3,16645,16645,recvfrom,True,1691409605480890,1691409605481090,64,1691409605480890,no,no,no,no,no,no,no,no,no,no
4,16645,16645,recvfrom,True,1691409605481190,1691409605481365,18446744073709551605,1691409605481190,no,no,no,no,no,no,no,no,no,no
5,16645,16645,clock_gettime,True,1691409605481583,1691409605482628,0,1691409605481583,no,no,no,no,no,no,no,no,no,no
6,16645,16645,clock_gettime,True,1691409605482893,1691409605483112,0,1691409605482893,no,no,no,no,no,no,no,no,no,no
7,16645,16645,gettimeofday,True,1691409605483232,1691409605483407,0,1691409605483232,no,no,no,no,no,no,no,no,no,no
8,16645,16645,write,True,1691409605483532,1691409605483709,8,1691409605483532,no,no,no,no,no,no,no,no,no,no
9,16645,16645,clock_gettime,True,1691409605483831,1691409605484000,0,1691409605483831,no,no,no,no,no,no,no,no,no,no
11,16762,16762,clock_gettime,True,1691409626669282,1691409626669518,0,1691409626569,no,no,no,no,no,no,no,no,no,no
12,16762,16762,read,True,1691409626669557,1691409626669759,48,1691409626669557,no,no,no,no,no,no,no,no,no,no
13,16762,16762,getuid,True,1691409626669816,1691409626670009,10364,1691409626669816,no,no,no,no,no,no,no,no,no,no
14,16762,16762,epoll_pwait,True,1691409626670058,1691409626670262,0,1691409626670058,no,no,no,no,no,no,no,no,no,no
15,16762,16762,clock_gettime,True,1691409626670297,1691409626670502,0,1691409626670297,no,no,no,no,no,no,no,no,no,no
16,16762,16762,clock_gettime,True,1691409626670553,1691409626670742,0,1691409626670553,no,no,no,no,no,no,no,no,no,no
17,16762,16762,gettimeofday,True,1691409626670775,1691409626670959,0,1691409626670775,no,no,no,no,no,no,no,no,no,no
18,16762,16762,read,True,1691409626670992,1691409626671178,48,1691409626670992,no,no,no,no,no,no,no,no,no,no
19,16762,16762,clock_gettime,True,1691409626671243,1691409626671503,0,1691409626671243,no,no,no,no,no,no,no,no,no,no
20,16762,16762,clock_gettime,True,1691409626671550,1691409626671765,0,1691409626671550,no,no,no,no,no,no,no,no,no,no
21,16762,16762,clock_gettime,True,1691409626671846,1691409626672042,0,1691409626671846,no,no,no,no,no,no,no,no,no,no
22,16762,16762,clock_gettime,True,1691409626672071,1691409626672264,0,1691409626672071,no,no,no,no,no,no,no,no,no,no
23,16762,16762,clock_gettime,True,1691409626672299,1691409626672511,0,1691409626672299,no,no,no,no,no,no,no,no,no,no
24,16762,16762,clock_gettime,True,1691409626672542,1691409626672748,0,1691409626672542,no,no,no,no,no,no,no,no,no,no
25,16762,16762,clock_gettime,True,1691409626672778,1691409626672955,0,1691409626672778,no,no,no,no,no,no,no,no,no,no
26,16762,16762,clock_gettime,True,1691409626672985,1691409626673167,0,1691409626672985,no,no,no,no,no,no,no,no,no,no
27,16762,16762,clock_gettime,True,1691409626673195,1691409626673373,0,1691409626673195,no,no,no,no,no,no,no,no,no,no
28,16762,16762,write,True,1691409626673466,1691409626673671,8,1691409626673466,no,no,no,no,no,no,no,no,no,no
29,16762,16762,clock_gettime,True,1691409626673969,1691409626674243,0,1691409626673969,no,no,no,no,no,no,no,no,no,no
30,16762,16762,clock_gettime,True,1691409626674852,1691409626675162,0,1691409626674852,no,no,no,no,no,no,no,no,no,no
31,16762,16762,clock_gettime,True,1691409626675220,1691409626675469,0,1691409626675220,no,no,no,no,no,no,no,no,no,no
32,16762,16762,recvfrom,True,1691409626675590,1691409626675818,18446744073709551605,1691409626675590,no,no,no,no,no,no,no,no,no,no
33,16762,16762,ioctl,True,1691409626676449,1691409626677047,0,1691409626676449,no,no,no,no,no,no,no,no,no,no
34,16762,16762,clock_gettime,True,1691409626677627,1691409626677947,0,1691409626677627,no,no,no,no,no,no,no,no,no,no
35,16762,16762,clock_gettime,True,1691409626678007,1691409626678240,0,1691409626678007,no,no,no,no,no,no,no,no,no,no
36,16762,16762,write,True,1691409626678316,1691409626678815,8,1691409626678316,no,no,no,no,no,no,no,no,no,no
37,16762,16762,madvise,True,1691409626679541,1691409626679871,0,1691409626679541,no,no,no,no,no,no,no,no,no,no
38,16762,16762,madvise,True,1691409626680995,1691409626681384,0,1691409626680995,no,no,no,no,no,no,no,no,no,no
39,16762,16762,madvise,True,1691409626681434,1691409626681662,0,1691409626681434,no,no,no,no,no,no,no,no,no,no
40,16762,16762,madvise,True,1691409626681697,1691409626681897,0,1691409626681697,no,no,no,no,no,no,no,no,no,no
41,16762,16762,madvise,True,1691409626681928,1691409626682119,0,1691409626681928,no,no,no,no,no,no,no,no,no,no
42,16762,16762,madvise,True,1691409626682149,1691409626682833,0,1691409626682149,no,no,no,no,no,no,no,no,no,no
43,16762,16762,madvise,True,1691409626682876,1691409626683118,0,1691409626682876,no,no,no,no,no,no,no,no,no,no
44,16762,16762,madvise,True,1691409626683152,1691409626683337,0,1691409626683152,no,no,no,no,no,no,no,no,no,no
45,16762,16762,madvise,True,1691409626683367,1691409626683548,0,1691409626683367,no,no,no,no,no,no,no,no,no,no
46,16762,16762,madvise,True,1691409626683577,1691409626683754,0,1691409626683577,no,no,no,no,no,no,no,no,no,no
47,16762,16762,madvise,True,1691409626683787,1691409626683958,0,1691409626683787,no,no,no,no,no,no,no,no,no,no
48,16762,16762,madvise,True,1691409626683986,1691409626684177,0,1691409626683986,no,no,no,no,no,no,no,no,no,no
49,16762,16762,madvise,True,1691409626684207,1691409626684384,0,1691409626684207,no,no,no,no,no,no,no,no,no,no
50,16762,16762,madvise,True,1691409626684420,1691409626684595,0,1691409626684420,no,no,no,no,no,no,no,no,no,no
51,16762,16762,clock_gettime,True,1691409626692270,1691409626692625,0,1691409626692270,no,no,no,no,no,no,no,no,no,no
52,16762,16762,write,True,1691409626692679,1691409626693157,8,1691409626692679,no,no,no,no,no,no,no,no,no,no
53,16762,16762,futex,True,1691409626693209,1691409626695394,1,1691409626693209,no,no,no,no,no,no,no,no,no,no
54,16762,16762,futex,True,1691409626695455,1691409626697995,18446744073709551605,1691409626695455,no,no,no,no,no,no,no,no,no,no
55,16762,16762,clock_gettime,True,1691409626698697,1691409626700114,0,1691409626698697,no,no,no,no,no,no,no,no,no,no
56,16762,16762,clock_gettime,True,1691409626700271,1691409626700584,0,1691409626700271,no,no,no,no,no,no,no,no,no,no
57,16762,16762,read,True,1691409626700636,1691409626700910,48,1691409626700636,no,no,no,no,no,no,no,no,no,no
58,16762,16762,getuid,True,1691409626700984,1691409626701216,10364,1691409626700984,no,no,no,no,no,no,no,no,no,no
59,16762,16762,epoll_pwait,True,1691409626701279,1691409626701497,2,1691409626701279,no,no,no,no,no,no,no,no,no,no
60,16762,16762,read,True,1691409626701525,1691409626701977,8,1691409626701525,no,no,no,no,no,no,no,no,no,no
61,16762,16762,recvfrom,True,1691409626702030,1691409626702864,64,1691409626702030,no,no,no,no,no,no,no,no,no,no
62,16762,16762,recvfrom,True,1691409626702933,1691409626703251,18446744073709551605,1691409626702933,no,no,no,no,no,no,no,no,no,no
63,16762,16762,clock_gettime,True,1691409626703469,1691409626704208,0,1691409626703469,no,no,no,no,no,no,no,no,no,no
64,16762,16762,clock_gettime,True,1691409626704347,1691409626704677,0,1691409626704347,no,no,no,no,no,no,no,no,no,no
65,16762,16762,gettimeofday,True,1691409626704764,1691409626705281,0,1691409626704764,no,no,no,no,no,no,no,no,no,no
66,16762,16762,clock_gettime,True,1691409626705529,1691409626706343,0,1691409626705529,no,no,no,no,no,no,no,no,no,no
67,16762,16762,clock_gettime,True,1691409626706468,1691409626707575,0,1691409626706468,no,no,no,no,no,no,no,no,no,no
68,16762,16762,gettimeofday,True,1691409626707685,1691409626708460,0,1691409626707685,no,no,no,no,no,no,no,no,no,no
69,16762,16762,read,True,1691409626708547,1691409626709132,48,1691409626708547,no,no,no,no,no,no,no,no,no,no
70,16762,16762,clock_gettime,True,1691409626709307,1691409626714547,0,1691409626709307,no,no,no,no,no,no,no,no,no,no
71,16762,16762,read,True,1691409626714762,1691409626715274,48,1691409626714762,no,no,no,no,no,no,no,no,no,no
72,16762,16762,getuid,True,1691409626715405,1691409626716735,10364,1691409626715405,no,no,no,no,no,no,no,no,no,no
73,16762,16762,epoll_pwait,True,1691409626717029,1691409626717767,0,1691409626717029,no,no,no,no,no,no,no,no,no,no
74,16762,16762,clock_gettime,True,1691409626717871,1691409626718322,0,1691409626717871,no,no,no,no,no,no,no,no,no,no
75,16762,16762,clock_gettime,True,1691409626718431,1691409626718985,0,1691409626718431,no,no,no,no,no,no,no,no,no,no
76,16762,16762,gettimeofday,True,1691409626719202,1691409626720074,0,1691409626719202,no,no,no,no,no,no,no,no,no,no
77,16762,16762,read,True,1691409626720163,1691409626726555,48,1691409626720163,no,no,no,no,no,no,no,no,no,no
78,16762,16762,ioctl,True,1691409626726770,1691409626727518,0,1691409626726770,no,no,no,no,no,no,no,no,no,no
79,16762,16762,clock_gettime,True,1691409626728107,1691409626729511,0,1691409626728107,no,no,no,no,no,no,no,no,no,no
80,16762,16762,read,True,1691409626729639,1691409626730530,48,1691409626729639,no,no,no,no,no,no,no,no,no,no
81,16762,16762,getuid,True,1691409626731264,1691409626733716,10364,1691409626731264,no,no,no,no,no,no,no,no,no,no
82,16762,16762,epoll_pwait,True,1691409626733860,1691409626734784,0,1691409626733860,no,no,no,no,no,no,no,no,no,no
83,16762,16762,clock_gettime,True,1691409626734960,1691409626735587,0,1691409626734960,no,no,no,no,no,no,no,no,no,no
84,16762,16762,clock_gettime,True,1691409626735714,1691409626736500,0,1691409626735714,no,no,no,no,no,no,no,no,no,no
85,16762,16762,gettimeofday,True,1691409626736602,1691409626737273,0,1691409626736602,no,no,no,no,no,no,no,no,no,no
86,16762,16762,read,True,1691409626737433,1691409626738109,48,1691409626737433,no,no,no,no,no,no,no,no,no,no
87,16762,16762,clock_gettime,True,1691409626738685,1691409626739309,0,1691409626738685,no,no,no,no,no,no,no,no,no,no
88,16762,16762,read,True,1691409626739420,1691409626739998,48,1691409626739420,no,no,no,no,no,no,no,no,no,no
89,16762,16762,getuid,True,1691409626740214,1691409626740760,10364,1691409626740214,no,no,no,no,no,no,no,no,no,no
90,16762,16762,epoll_pwait,True,1691409626740934,1691409626746442,0,1691409626740934,no,no,no,no,no,no,no,no,no,no
91,16762,16762,clock_gettime,True,1691409626746581,1691409626748076,0,1691409626746581,no,no,no,no,no,no,no,no,no,no
92,16762,16762,clock_gettime,True,1691409626748273,1691409626749658,0,1691409626748273,no,no,no,no,no,no,no,no,no,no
93,16762,16762,gettimeofday,True,1691409626749794,1691409626750474,0,1691409626749794,no,no,no,no,no,no,no,no,no,no
94,16762,16762,read,True,1691409626750604,1691409626751574,48,1691409626750604,no,no,no,no,no,no,no,no,no,no
95,16762,16762,clock_gettime,True,1691409626752080,1691409626752826,0,1691409626752080,no,no,no,no,no,no,no,no,no,no
96,16762,16762,ioctl,True,1691409626752895,1691409626753873,0,1691409626752895,no,no,no,no,no,no,no,no,no,no
97,16762,16762,clock_gettime,True,1691409626753944,1691409626754663,0,1691409626753944,no,no,no,no,no,no,no,no,no,no
98,16762,16762,ioctl,True,1691409626754783,1691409626755136,0,1691409626754783,no,no,no,no,no,no,no,no,no,no
99,16762,16762,ioctl,True,1691409626755452,1691409626757063,0,1691409626755452,no,no,no,no,no,no,no,no,no,no
100,16762,16762,ioctl,True,1691409626757813,1691409626759086,0,1691409626757813,no,no,no,no,no,no,no,no,no,no
101,16762,16762,clock_gettime,True,1691409626759883,1691409626760722,0,1691409626759883,no,no,no,no,no,no,no,no,no,no
102,16762,16762,read,True,1691409626760867,1691409626761466,48,1691409626760867,no,no,no,no,no,no,no,no,no,no
103,16762,16762,getuid,True,1691409626761630,1691409626762374,10364,1691409626761630,no,no,no,no,no,no,no,no,no,no
104,16762,16762,epoll_pwait,True,1691409626762528,1691409626763135,0,1691409626762528,no,no,no,no,no,no,no,no,no,no
105,16762,16762,clock_gettime,True,1691409626763293,1691409626768955,0,1691409626763293,no,no,no,no,no,no,no,no,no,no
106,16762,16762,clock_gettime,True,1691409626769204,1691409626770133,0,1691409626769204,no,no,no,no,no,no,no,no,no,no
107,16762,16762,gettimeofday,True,1691409626770212,1691409626770825,0,1691409626770212,no,no,no,no,no,no,no,no,no,no
108,16762,16762,read,True,1691409626770897,1691409626771512,48,1691409626770897,no,no,no,no,no,no,no,no,no,no
109,16762,16762,clock_gettime,True,1691409626771701,1691409626772479,0,1691409626771701,no,no,no,no,no,no,no,no,no,no
110,16762,16762,clock_gettime,True,1691409626772644,1691409626773283,0,1691409626772644,no,no,no,no,no,no,no,no,no,no
111,16762,16762,clock_gettime,True,1691409626773490,1691409626773961,0,1691409626773490,no,no,no,no,no,no,no,no,no,no
112,16762,16762,clock_gettime,True,1691409626774102,1691409626774607,0,1691409626774102,no,no,no,no,no,no,no,no,no,no
113,16762,16762,clock_gettime,True,1691409626774705,1691409626775273,0,1691409626774705,no,no,no,no,no,no,no,no,no,no
114,16762,16762,clock_gettime,True,1691409626775429,1691409626776621,0,1691409626775429,no,no,no,no,no,no,no,no,no,no
115,16762,16762,clock_gettime,True,1691409626778253,1691409626779050,0,1691409626778253,no,no,no,no,no,no,no,no,no,no
116,16762,16762,clock_gettime,True,1691409626779195,1691409626779800,0,1691409626779195,no,no,no,no,no,no,no,no,no,no
117,16762,16762,recvfrom,True,1691409626780083,1691409626780850,18446744073709551605,1691409626780083,no,no,no,no,no,no,no,no,no,no
118,16762,16762,ioctl,True,1691409626781592,1691409626784804,0,1691409626781592,no,no,no,no,no,no,no,no,no,no
119,16762,16762,clock_gettime,True,1691409626784919,1691409626788400,0,1691409626784919,no,no,no,no,no,no,no,no,no,no
120,16762,16762,clock_gettime,True,1691409626788510,1691409626789113,0,1691409626788510,no,no,no,no,no,no,no,no,no,no
121,16762,16762,clock_gettime,True,1691409626789209,1691409626789832,0,1691409626789209,no,no,no,no,no,no,no,no,no,no
