macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,20836,20836,clock_gettime,True,1691396634521159,1691396634522788,01691396634521159,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
2,20836,20836,clock_gettime,True,1691396634523180,1691396634523800,0,1691396634523180,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
3,20836,20836,clock_gettime,True,1691396634524116,1691396634524651,0,1691396634524116,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
4,20836,20836,clock_gettime,True,1691396634525111,1691396634525651,0,1691396634525111,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
5,20836,20836,gettimeofday,True,1691396634525894,1691396634526448,0,1691396634525894,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
6,20836,20836,clock_gettime,True,1691396634526757,1691396634527312,0,1691396634526757,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
7,20836,20836,write,True,1691396634528231,1691396634528968,8,1691396634528231,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
8,20836,20836,clock_gettime,True,1691396634539458,1691396634540131,0,1691396634539458,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
9,20836,20836,clock_gettime,True,1691396634540519,1691396634541190,0,1691396634540519,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
10,20836,20836,gettimeofday,True,1691396634541273,1691396634541914,0,1691396634541273,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
11,20836,20836,futex,True,1691396634542110,1691396634542694,1,1691396634542110,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
12,20836,20836,futex,True,1691396634542763,1691396634543462,1,1691396634542763,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
13,20836,20836,clock_gettime,True,1691396634544195,1691396634545532,0,1691396634544195,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
14,20836,20836,clock_gettime,True,1691396634545670,1691396634546334,0,1691396634545670,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
15,20836,20836,ioctl,True,1691396634546423,1691396634551265,0,1691396634546423,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
16,20836,20836,clock_gettime,True,1691396634551445,1691396634560639,0,1691396634551445,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
17,20836,20836,fcntl,True,1691396634561217,1691396634561869,102,1691396634561217,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
18,20836,20836,close,True,1691396634562101,1691396634562722,0,1691396634562101,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
20,20948,20948,gettimeofday,True,1691396655115346,1691396655115514,0,1691396655017,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
