macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,22679,22679,clock_gettime,True,1691396991563452,1691396991565414,01691396991563452,no,no,no,no,no,no,no,no,no,no
2,22679,22679,fcntl,True,1691396991565729,1691396991566482,101,1691396991565729,no,no,no,no,no,no,no,no,no,no
3,22679,22679,close,True,1691396991566719,1691396991567381,0,1691396991566719,no,no,no,no,no,no,no,no,no,no
4,22679,22679,ioctl,True,1691396991567470,1691396991568370,0,1691396991567470,no,no,no,no,no,no,no,no,no,no
5,22679,22679,clock_gettime,True,1691396991568853,1691396991569610,0,1691396991568853,no,no,no,no,no,no,no,no,no,no
6,22679,22679,read,True,1691396991569708,1691396991570440,48,1691396991569708,no,no,no,no,no,no,no,no,no,no
7,22679,22679,getuid,True,1691396991570585,1691396991571173,10364,1691396991570585,no,no,no,no,no,no,no,no,no,no
8,22679,22679,epoll_pwait,True,1691396991571328,1691396991572090,1,1691396991571328,no,no,no,no,no,no,no,no,no,no
9,22679,22679,read,True,1691396991572184,1691396991572831,8,1691396991572184,no,no,no,no,no,no,no,no,no,no
10,22679,22679,clock_gettime,True,1691396991573007,1691396991573865,0,1691396991573007,no,no,no,no,no,no,no,no,no,no
11,22679,22679,clock_gettime,True,1691396991574037,1691396991576350,0,1691396991574037,no,no,no,no,no,no,no,no,no,no
12,22679,22679,gettimeofday,True,1691396991576453,1691396991577476,0,1691396991576453,no,no,no,no,no,no,no,no,no,no
13,22679,22679,read,True,1691396991577593,1691396991579550,48,1691396991577593,no,no,no,no,no,no,no,no,no,no
14,22679,22679,clock_gettime,True,1691396991579734,1691396991580464,0,1691396991579734,no,no,no,no,no,no,no,no,no,no
15,22679,22679,clock_gettime,True,1691396991580614,1691396991581276,0,1691396991580614,no,no,no,no,no,no,no,no,no,no
16,22679,22679,clock_gettime,True,1691396991581459,1691396991582282,0,1691396991581459,no,no,no,no,no,no,no,no,no,no
17,22679,22679,clock_gettime,True,1691396991582355,1691396991583024,0,1691396991582355,no,no,no,no,no,no,no,no,no,no
18,22679,22679,clock_gettime,True,1691396991583137,1691396991583984,0,1691396991583137,no,no,no,no,no,no,no,no,no,no
20,22794,22794,gettimeofday,True,1691397014225094,1691397014225733,0,1691397014109,no,no,no,no,no,no,no,no,no,no
21,22794,22794,read,True,1691397014225812,1691397014226663,48,1691397014225812,no,no,no,no,no,no,no,no,no,no
22,22794,22794,clock_gettime,True,1691397014226889,1691397014228739,0,1691397014226889,no,no,no,no,no,no,no,no,no,no
23,22794,22794,clock_gettime,True,1691397014228845,1691397014232858,0,1691397014228845,no,no,no,no,no,no,no,no,no,no
24,22794,22794,clock_gettime,True,1691397014233021,1691397014238941,0,1691397014233021,no,no,no,no,no,no,no,no,no,no
25,22794,22794,clock_gettime,True,1691397014238996,1691397014239699,0,1691397014238996,no,no,no,no,no,no,no,no,no,no
26,22794,22794,clock_gettime,True,1691397014239748,1691397014240432,0,1691397014239748,no,no,no,no,no,no,no,no,no,no
27,22794,22794,clock_gettime,True,1691397014240484,1691397014241061,0,1691397014240484,no,no,no,no,no,no,no,no,no,no
28,22794,22794,clock_gettime,True,1691397014241108,1691397014241986,0,1691397014241108,no,no,no,no,no,no,no,no,no,no
29,22794,22794,clock_gettime,True,1691397014242044,1691397014242768,0,1691397014242044,no,no,no,no,no,no,no,no,no,no
30,22794,22794,clock_gettime,True,1691397014242816,1691397014243654,0,1691397014242816,no,no,no,no,no,no,no,no,no,no
31,22794,22794,write,True,1691397014243801,1691397014244307,8,1691397014243801,no,no,no,no,no,no,no,no,no,no
32,22794,22794,clock_gettime,True,1691397014244655,1691397014245378,0,1691397014244655,no,no,no,no,no,no,no,no,no,no
33,22794,22794,clock_gettime,True,1691397014245976,1691397014247237,0,1691397014245976,no,no,no,no,no,no,no,no,no,no
