macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,21393,21393,clock_gettime,True,1691396738021089,1691396738021750,01691396738021089,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
2,21393,21393,write,True,1691396738021878,1691396738022363,8,1691396738021878,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
3,21393,21393,futex,True,1691396738022508,1691396738023665,1,1691396738022508,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
4,21393,21393,futex,True,1691396738023861,1691396738026549,18446744073709551605,1691396738023861,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
5,21393,21393,clock_gettime,True,1691396738026785,1691396738027353,0,1691396738026785,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
6,21393,21393,clock_gettime,True,1691396738027638,1691396738027936,0,1691396738027638,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
7,21393,21393,read,True,1691396738028003,1691396738028195,48,1691396738028003,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
8,21393,21393,getuid,True,1691396738028300,1691396738028494,10364,1691396738028300,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
9,21393,21393,epoll_pwait,True,1691396738028561,1691396738028750,2,1691396738028561,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
11,21509,21509,read,True,1691396760389939,1691396760390577,48,1691396760336,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
12,21509,21509,getuid,True,1691396760390704,1691396760391039,10364,1691396760390704,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
13,21509,21509,epoll_pwait,True,1691396760391136,1691396760391885,0,1691396760391136,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
14,21509,21509,clock_gettime,True,1691396760391970,1691396760392294,0,1691396760391970,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
15,21509,21509,clock_gettime,True,1691396760392387,1691396760393102,0,1691396760392387,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
