macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,31175,31175,clock_gettime,True,1691399235147343,1691399235148997,01691399235147343,no,no,no,no,no,no,no,no,no,no
2,31175,31175,write,True,1691399235149197,1691399235149658,8,1691399235149197,no,no,no,no,no,no,no,no,no,no
3,31175,31175,futex,True,1691399235149818,1691399235155582,1,1691399235149818,no,no,no,no,no,no,no,no,no,no
4,31175,31175,futex,True,1691399235155823,1691399235156038,18446744073709551605,1691399235155823,no,no,no,no,no,no,no,no,no,no
5,31175,31175,clock_gettime,True,1691399235156173,1691399235156391,0,1691399235156173,no,no,no,no,no,no,no,no,no,no
6,31175,31175,clock_gettime,True,1691399235156493,1691399235156696,0,1691399235156493,no,no,no,no,no,no,no,no,no,no
7,31175,31175,read,True,1691399235156748,1691399235156933,48,1691399235156748,no,no,no,no,no,no,no,no,no,no
8,31175,31175,getuid,True,1691399235157003,1691399235157188,10364,1691399235157003,no,no,no,no,no,no,no,no,no,no
9,31175,31175,epoll_pwait,True,1691399235157250,1691399235157434,2,1691399235157250,no,no,no,no,no,no,no,no,no,no
11,31304,31304,read,True,1691399255154675,1691399255154907,48,1691399255040,alert,no,no,no,no,no,no,no,no,no
12,31304,31304,getuid,True,1691399255154984,1691399255155215,10364,1691399255154984,alert,no,no,no,no,no,no,no,no,no
13,31304,31304,epoll_pwait,True,1691399255155285,1691399255155780,2,1691399255155285,alert,no,no,no,no,no,no,no,no,no
14,31304,31304,read,True,1691399255155833,1691399255156099,8,1691399255155833,alert,no,no,no,no,no,no,no,no,no
15,31304,31304,recvfrom,True,1691399255156145,1691399255156394,64,1691399255156145,alert,no,no,no,no,no,no,no,no,no
16,31304,31304,recvfrom,True,1691399255156427,1691399255156636,18446744073709551605,1691399255156427,alert,no,no,no,no,no,no,no,no,no
17,31304,31304,clock_gettime,True,1691399255156766,1691399255156999,0,1691399255156766,alert,no,no,no,no,no,no,no,no,no
18,31304,31304,clock_gettime,True,1691399255157097,1691399255157329,0,1691399255157097,alert,no,no,no,no,no,no,no,no,no
19,31304,31304,gettimeofday,True,1691399255157375,1691399255157591,0,1691399255157375,alert,no,no,no,no,no,no,no,no,no
20,31304,31304,clock_gettime,True,1691399255157657,1691399255157913,0,1691399255157657,alert,no,no,no,no,no,no,no,no,no
21,31304,31304,clock_gettime,True,1691399255157981,1691399255158197,0,1691399255157981,alert,no,no,no,no,no,no,no,no,no
22,31304,31304,gettimeofday,True,1691399255158235,1691399255158447,0,1691399255158235,alert,no,no,no,no,no,no,no,no,no
23,31304,31304,read,True,1691399255158492,1691399255158706,48,1691399255158492,alert,no,no,no,no,no,no,no,no,no
24,31304,31304,clock_gettime,True,1691399255158809,1691399255159056,0,1691399255158809,alert,no,no,no,no,no,no,no,no,no
25,31304,31304,read,True,1691399255159105,1691399255159322,48,1691399255159105,alert,no,no,no,no,no,no,no,no,no
26,31304,31304,getuid,True,1691399255159389,1691399255159618,10364,1691399255159389,alert,no,no,no,no,no,no,no,no,no
