macrodroid=False
fakeclient=False
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,30201,30201,ioctl,True,1691399092248847,1691399092251093,01691399092248847,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
2,30201,30201,clock_gettime,True,1691399092251475,1691399092252029,0,1691399092251475,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
3,30201,30201,ioctl,True,1691399092252278,1691399092252800,0,1691399092252278,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
4,30201,30201,ioctl,True,1691399092253732,1691399092254377,0,1691399092253732,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
5,30201,30201,ioctl,True,1691399092255015,1691399092255718,0,1691399092255015,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
6,30201,30201,clock_gettime,True,1691399092256603,1691399092257205,0,1691399092256603,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
7,30201,30201,read,True,1691399092257468,1691399092257988,48,1691399092257468,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
8,30201,30201,getuid,True,1691399092258303,1691399092259185,10364,1691399092258303,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
9,30201,30201,epoll_pwait,True,1691399092259717,1691399092265273,1,1691399092259717,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
10,30201,30201,recvfrom,True,1691399092265780,1691399092270703,64,1691399092265780,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
11,30201,30201,recvfrom,True,1691399092270769,1691399092271141,18446744073709551605,1691399092270769,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
12,30201,30201,clock_gettime,True,1691399092271287,1691399092271516,0,1691399092271287,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
13,30201,30201,clock_gettime,True,1691399092271605,1691399092271806,0,1691399092271605,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
14,30201,30201,gettimeofday,True,1691399092271852,1691399092272074,0,1691399092271852,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
15,30201,30201,clock_gettime,True,1691399092272138,1691399092272395,0,1691399092272138,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
16,30201,30201,clock_gettime,True,1691399092272479,1691399092272717,0,1691399092272479,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
17,30201,30201,gettimeofday,True,1691399092272769,1691399092273053,0,1691399092272769,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
18,30201,30201,read,True,1691399092273109,1691399092273306,48,1691399092273109,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
20,30439,30439,clock_gettime,True,1691399110433361,1691399110433569,0,1691399110337,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
21,30439,30439,clock_gettime,True,1691399110433636,1691399110433820,0,1691399110433636,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
22,30439,30439,gettimeofday,True,1691399110433856,1691399110434279,0,1691399110433856,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
23,30439,30439,clock_gettime,True,1691399110434349,1691399110434573,0,1691399110434349,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
24,30439,30439,clock_gettime,True,1691399110434635,1691399110434846,0,1691399110434635,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
25,30439,30439,gettimeofday,True,1691399110434882,1691399110435068,0,1691399110434882,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
26,30439,30439,read,True,1691399110435104,1691399110435299,48,1691399110435104,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
27,30439,30439,clock_gettime,True,1691399110435373,1691399110435563,0,1691399110435373,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
28,30439,30439,clock_gettime,True,1691399110435643,1691399110435837,0,1691399110435643,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
