macrodroid=False
fakeclient=False
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,2966,2966,futex,True,1691399775777903,1691399775779492,184467440737095516051691399775777903,no,no,no,no,no,no,no,no,no,no
2,2966,2966,futex,True,1691399775779651,1691399775780143,1,1691399775779651,no,no,no,no,no,no,no,no,no,no
3,2966,2966,futex,True,1691399775780202,1691399775780954,1,1691399775780202,no,no,no,no,no,no,no,no,no,no
4,2966,2966,madvise,True,1691399775788252,1691399775788940,0,1691399775788252,no,no,no,no,no,no,no,no,no,no
5,2966,2966,madvise,True,1691399775788996,1691399775790594,0,1691399775788996,no,no,no,no,no,no,no,no,no,no
6,2966,2966,madvise,True,1691399775791141,1691399775801085,0,1691399775791141,no,no,no,no,no,no,no,no,no,no
7,2966,2966,madvise,True,1691399775801155,1691399775801487,0,1691399775801155,no,no,no,no,no,no,no,no,no,no
8,2966,2966,madvise,True,1691399775801572,1691399775803280,0,1691399775801572,no,no,no,no,no,no,no,no,no,no
9,2966,2966,madvise,True,1691399775803401,1691399775804044,0,1691399775803401,no,no,no,no,no,no,no,no,no,no
11,4132,4132,clock_gettime,True,1691399833655536,1691399833655711,0,1691399833578,no,no,no,no,no,no,no,no,no,no
12,4132,4132,clock_gettime,True,1691399833655856,1691399833656027,0,1691399833655856,no,no,no,no,no,no,no,no,no,no
13,4132,4132,gettimeofday,True,1691399833656162,1691399833659795,0,1691399833656162,no,no,no,no,no,no,no,no,no,no
14,4132,4132,read,True,1691399833659928,1691399833660626,48,1691399833659928,no,no,no,no,no,no,no,no,no,no
15,4132,4132,clock_gettime,True,1691399833661247,1691399833661634,0,1691399833661247,no,no,no,no,no,no,no,no,no,no
16,4132,4132,getuid,True,1691399833661754,1691399833661952,10364,1691399833661754,no,no,no,no,no,no,no,no,no,no
17,4132,4132,writev,True,1691399833662043,1691399833662243,65,1691399833662043,no,no,no,no,no,no,no,no,no,no
18,4132,4132,futex,True,1691399833662365,1691399833662550,1,1691399833662365,no,no,no,no,no,no,no,no,no,no
19,4132,4132,clock_gettime,True,1691399833663134,1691399833664524,0,1691399833663134,no,no,no,no,no,no,no,no,no,no
20,4132,4132,clock_gettime,True,1691399833664775,1691399833664989,0,1691399833664775,no,no,no,no,no,no,no,no,no,no
21,4132,4132,clock_gettime,True,1691399833665131,1691399833665323,0,1691399833665131,no,no,no,no,no,no,no,no,no,no
22,4132,4132,clock_gettime,True,1691399833665560,1691399833665751,0,1691399833665560,no,no,no,no,no,no,no,no,no,no
23,4132,4132,gettimeofday,True,1691399833665874,1691399833666067,0,1691399833665874,no,no,no,no,no,no,no,no,no,no
24,4132,4132,clock_gettime,True,1691399833666370,1691399833666590,0,1691399833666370,no,no,no,no,no,no,no,no,no,no
25,4132,4132,write,True,1691399833666742,1691399833666974,8,1691399833666742,no,no,no,no,no,no,no,no,no,no
26,4132,4132,clock_gettime,True,1691399833669012,1691399833669231,0,1691399833669012,no,no,no,no,no,no,no,no,no,no
27,4132,4132,clock_gettime,True,1691399833669382,1691399833669686,0,1691399833669382,no,no,no,no,no,no,no,no,no,no
28,4132,4132,gettimeofday,True,1691399833669812,1691399833669995,0,1691399833669812,no,no,no,no,no,no,no,no,no,no
29,4132,4132,clock_gettime,True,1691399833670848,1691399833671079,0,1691399833670848,no,no,no,no,no,no,no,no,no,no
30,4132,4132,clock_gettime,True,1691399833671221,1691399833671410,0,1691399833671221,no,no,no,no,no,no,no,no,no,no
31,4132,4132,ioctl,True,1691399833671552,1691399833672916,0,1691399833671552,no,no,no,no,no,no,no,no,no,no
32,4132,4132,clock_gettime,True,1691399833678884,1691399833679095,0,1691399833678884,no,no,no,no,no,no,no,no,no,no
33,4132,4132,fcntl,True,1691399833679358,1691399833679557,102,1691399833679358,no,no,no,no,no,no,no,no,no,no
34,4132,4132,close,True,1691399833679659,1691399833683673,0,1691399833679659,no,no,no,no,no,no,no,no,no,no
35,4132,4132,ioctl,True,1691399833683815,1691399833684526,0,1691399833683815,no,no,no,no,no,no,no,no,no,no
36,4132,4132,clock_gettime,True,1691399833684799,1691399833685049,0,1691399833684799,no,no,no,no,no,no,no,no,no,no
37,4132,4132,read,True,1691399833685096,1691399833685295,48,1691399833685096,no,no,no,no,no,no,no,no,no,no
38,4132,4132,getuid,True,1691399833685362,1691399833685564,10364,1691399833685362,no,no,no,no,no,no,no,no,no,no
39,4132,4132,epoll_pwait,True,1691399833685622,1691399833685839,1,1691399833685622,no,no,no,no,no,no,no,no,no,no
40,4132,4132,read,True,1691399833685869,1691399833686058,8,1691399833685869,no,no,no,no,no,no,no,no,no,no
41,4132,4132,clock_gettime,True,1691399833686094,1691399833686279,0,1691399833686094,no,no,no,no,no,no,no,no,no,no
42,4132,4132,clock_gettime,True,1691399833686334,1691399833686523,0,1691399833686334,no,no,no,no,no,no,no,no,no,no
43,4132,4132,gettimeofday,True,1691399833686561,1691399833686766,0,1691399833686561,no,no,no,no,no,no,no,no,no,no
44,4132,4132,read,True,1691399833686809,1691399833686998,48,1691399833686809,no,no,no,no,no,no,no,no,no,no
45,4132,4132,clock_gettime,True,1691399833687070,1691399833687263,0,1691399833687070,no,no,no,no,no,no,no,no,no,no
46,4132,4132,clock_gettime,True,1691399833687316,1691399833687515,0,1691399833687316,no,no,no,no,no,no,no,no,no,no
47,4132,4132,clock_gettime,True,1691399833687599,1691399833687792,0,1691399833687599,no,no,no,no,no,no,no,no,no,no
48,4132,4132,clock_gettime,True,1691399833687828,1691399833688056,0,1691399833687828,no,no,no,no,no,no,no,no,no,no
49,4132,4132,clock_gettime,True,1691399833688096,1691399833688281,0,1691399833688096,no,no,no,no,no,no,no,no,no,no
50,4132,4132,clock_gettime,True,1691399833688318,1691399833688508,0,1691399833688318,no,no,no,no,no,no,no,no,no,no
51,4132,4132,clock_gettime,True,1691399833688543,1691399833688725,0,1691399833688543,no,no,no,no,no,no,no,no,no,no
52,4132,4132,clock_gettime,True,1691399833688761,1691399833688950,0,1691399833688761,no,no,no,no,no,no,no,no,no,no
53,4132,4132,clock_gettime,True,1691399833688986,1691399833689195,0,1691399833688986,no,no,no,no,no,no,no,no,no,no
54,4132,4132,write,True,1691399833689299,1691399833689500,8,1691399833689299,no,no,no,no,no,no,no,no,no,no
55,4132,4132,clock_gettime,True,1691399833689808,1691399833690050,0,1691399833689808,no,no,no,no,no,no,no,no,no,no
56,4132,4132,clock_gettime,True,1691399833690722,1691399833691061,0,1691399833690722,no,no,no,no,no,no,no,no,no,no
57,4132,4132,clock_gettime,True,1691399833691128,1691399833691384,0,1691399833691128,no,no,no,no,no,no,no,no,no,no
58,4132,4132,recvfrom,True,1691399833691522,1691399833691749,18446744073709551605,1691399833691522,no,no,no,no,no,no,no,no,no,no
59,4132,4132,ioctl,True,1691399833691825,1691399833692142,0,1691399833691825,no,no,no,no,no,no,no,no,no,no
60,4132,4132,clock_gettime,True,1691399833692366,1691399833692599,0,1691399833692366,no,no,no,no,no,no,no,no,no,no
