macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,10924,10924,clock_gettime,True,1691401053143886,1691401053148780,01691401053143886,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
2,10924,10924,epoll_pwait,True,1691401053149144,1691401053149718,1,1691401053149144,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
3,10924,10924,recvfrom,True,1691401053149994,1691401053150605,16,1691401053149994,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
4,10924,10924,clock_gettime,True,1691401053151851,1691401053152455,0,1691401053151851,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
5,10924,10924,clock_gettime,True,1691401053152956,1691401053153682,0,1691401053152956,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
6,10924,10924,futex,True,1691401053153745,1691401053154415,1,1691401053153745,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
7,10924,10924,futex,True,1691401053154516,1691401053159943,1,1691401053154516,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
8,10924,10924,clock_gettime,True,1691401053160205,1691401053160406,0,1691401053160205,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
9,10924,10924,gettimeofday,True,1691401053160514,1691401053160686,0,1691401053160514,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
11,11032,11032,clock_gettime,True,1691401073334558,1691401073334724,0,1691401073253,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
12,11032,11032,read,True,1691401073334831,1691401073335000,48,1691401073334831,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
13,11032,11032,getuid,True,1691401073335139,1691401073335311,10364,1691401073335139,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
14,11032,11032,epoll_pwait,True,1691401073335438,1691401073335609,0,1691401073335438,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
15,11032,11032,clock_gettime,True,1691401073335720,1691401073335885,0,1691401073335720,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
16,11032,11032,clock_gettime,True,1691401073336030,1691401073336198,0,1691401073336030,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
17,11032,11032,gettimeofday,True,1691401073336303,1691401073336468,0,1691401073336303,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
18,11032,11032,read,True,1691401073336571,1691401073336735,48,1691401073336571,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
19,11032,11032,gettimeofday,True,1691401073337209,1691401073337412,0,1691401073337209,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
20,11032,11032,clock_gettime,True,1691401073337661,1691401073337847,0,1691401073337661,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
21,11032,11032,read,True,1691401073337951,1691401073338122,48,1691401073337951,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
22,11032,11032,getuid,True,1691401073338255,1691401073338502,10364,1691401073338255,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
23,11032,11032,epoll_pwait,True,1691401073338630,1691401073338799,0,1691401073338630,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
24,11032,11032,clock_gettime,True,1691401073338899,1691401073339078,0,1691401073338899,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
25,11032,11032,clock_gettime,True,1691401073339228,1691401073339397,0,1691401073339228,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
26,11032,11032,gettimeofday,True,1691401073339505,1691401073339673,0,1691401073339505,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
27,11032,11032,read,True,1691401073339778,1691401073339943,48,1691401073339778,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
28,11032,11032,clock_gettime,True,1691401073340124,1691401073340296,0,1691401073340124,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
29,11032,11032,read,True,1691401073340401,1691401073340578,48,1691401073340401,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
30,11032,11032,getuid,True,1691401073340640,1691401073341917,10364,1691401073340640,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
31,11032,11032,epoll_pwait,True,1691401073341989,1691401073342238,0,1691401073341989,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
32,11032,11032,clock_gettime,True,1691401073342285,1691401073342498,0,1691401073342285,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
33,11032,11032,clock_gettime,True,1691401073342557,1691401073342755,0,1691401073342557,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
34,11032,11032,gettimeofday,True,1691401073342790,1691401073343062,0,1691401073342790,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
35,11032,11032,read,True,1691401073343115,1691401073343349,48,1691401073343115,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
36,11032,11032,clock_gettime,True,1691401073343468,1691401073343729,0,1691401073343468,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
37,11032,11032,read,True,1691401073343775,1691401073344614,48,1691401073343775,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
38,11032,11032,getuid,True,1691401073344687,1691401073347817,10364,1691401073344687,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
39,11032,11032,epoll_pwait,True,1691401073347887,1691401073348132,1,1691401073347887,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
40,11032,11032,recvfrom,True,1691401073348183,1691401073348398,16,1691401073348183,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
41,11032,11032,clock_gettime,True,1691401073348439,1691401073348677,0,1691401073348439,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
42,11032,11032,clock_gettime,True,1691401073348854,1691401073349146,0,1691401073348854,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
43,11032,11032,futex,True,1691401073349236,1691401073349591,1,1691401073349236,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
44,11032,11032,futex,True,1691401073349909,1691401073350532,1,1691401073349909,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
45,11032,11032,clock_gettime,True,1691401073350633,1691401073351348,0,1691401073350633,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
46,11032,11032,gettimeofday,True,1691401073351420,1691401073351636,0,1691401073351420,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
47,11032,11032,sendto,True,1691401073351757,1691401073352444,24,1691401073351757,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
48,11032,11032,recvfrom,True,1691401073352484,1691401073353226,18446744073709551605,1691401073352484,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
49,11032,11032,clock_gettime,True,1691401073353311,1691401073353935,0,1691401073353311,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
50,11032,11032,clock_gettime,True,1691401073354062,1691401073354302,0,1691401073354062,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
51,11032,11032,gettimeofday,True,1691401073354365,1691401073354628,0,1691401073354365,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
52,11032,11032,read,True,1691401073354859,1691401073355428,48,1691401073354859,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
53,11032,11032,clock_gettime,True,1691401073355543,1691401073356117,0,1691401073355543,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
54,11032,11032,read,True,1691401073356190,1691401073356726,48,1691401073356190,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
55,11032,11032,getuid,True,1691401073356850,1691401073357486,10364,1691401073356850,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
56,11032,11032,epoll_pwait,True,1691401073357584,1691401073358185,0,1691401073357584,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
57,11032,11032,clock_gettime,True,1691401073358287,1691401073358899,0,1691401073358287,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
58,11032,11032,clock_gettime,True,1691401073359038,1691401073359705,0,1691401073359038,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
59,11032,11032,gettimeofday,True,1691401073359767,1691401073360369,0,1691401073359767,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
60,11032,11032,read,True,1691401073361312,1691401073362051,48,1691401073361312,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
61,11032,11032,clock_gettime,True,1691401073362559,1691401073363509,0,1691401073362559,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
62,11032,11032,read,True,1691401073363575,1691401073379256,48,1691401073363575,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
63,11032,11032,getuid,True,1691401073380600,1691401073381516,10364,1691401073380600,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
64,11032,11032,epoll_pwait,True,1691401073381647,1691401073382235,0,1691401073381647,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
65,11032,11032,clock_gettime,True,1691401073382343,1691401073382933,0,1691401073382343,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
66,11032,11032,clock_gettime,True,1691401073383112,1691401073383787,0,1691401073383112,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
