macrodroid=False
fakeclient=False
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,14762,14762,clock_gettime,True,1691401686089957,1691401686093428,01691401686089957,no,no,no,no,no,no,no,no,no,no
2,14762,14762,futex,True,1691401686093887,1691401686094685,1,1691401686093887,no,no,no,no,no,no,no,no,no,no
3,14762,14762,futex,True,1691401686094968,1691401686095546,1,1691401686094968,no,no,no,no,no,no,no,no,no,no
4,14762,14762,clock_gettime,True,1691401686095888,1691401686096711,0,1691401686095888,no,no,no,no,no,no,no,no,no,no
5,14762,14762,gettimeofday,True,1691401686096869,1691401686097497,0,1691401686096869,no,no,no,no,no,no,no,no,no,no
6,14762,14762,clock_gettime,True,1691401686098090,1691401686098740,0,1691401686098090,no,no,no,no,no,no,no,no,no,no
7,14762,14762,clock_gettime,True,1691401686098859,1691401686099371,0,1691401686098859,no,no,no,no,no,no,no,no,no,no
8,14762,14762,ioctl,True,1691401686099434,1691401686111192,0,1691401686099434,no,no,no,no,no,no,no,no,no,no
9,14762,14762,clock_gettime,True,1691401686111545,1691401686112164,0,1691401686111545,no,no,no,no,no,no,no,no,no,no
11,14876,14876,clock_gettime,True,1691401717532308,1691401717533322,0,1691401717419,no,no,no,no,no,no,no,no,no,no
12,14876,14876,clock_gettime,True,1691401717533487,1691401717535080,0,1691401717533487,no,no,no,no,no,no,no,no,no,no
13,14876,14876,gettimeofday,True,1691401717535247,1691401717536056,0,1691401717535247,no,no,no,no,no,no,no,no,no,no
14,14876,14876,read,True,1691401717536167,1691401717538644,48,1691401717536167,no,no,no,no,no,no,no,no,no,no
15,14876,14876,clock_gettime,True,1691401717539532,1691401717540452,0,1691401717539532,no,no,no,no,no,no,no,no,no,no
16,14876,14876,getuid,True,1691401717540528,1691401717541748,10364,1691401717540528,no,no,no,no,no,no,no,no,no,no
17,14876,14876,writev,True,1691401717541830,1691401717543239,65,1691401717541830,no,no,no,no,no,no,no,no,no,no
18,14876,14876,futex,True,1691401717543324,1691401717543921,1,1691401717543324,no,no,no,no,no,no,no,no,no,no
19,14876,14876,clock_gettime,True,1691401717544961,1691401717545640,0,1691401717544961,no,no,no,no,no,no,no,no,no,no
20,14876,14876,clock_gettime,True,1691401717545754,1691401717546365,0,1691401717545754,no,no,no,no,no,no,no,no,no,no
21,14876,14876,clock_gettime,True,1691401717546466,1691401717547005,0,1691401717546466,no,no,no,no,no,no,no,no,no,no
22,14876,14876,clock_gettime,True,1691401717547230,1691401717547826,0,1691401717547230,no,no,no,no,no,no,no,no,no,no
23,14876,14876,gettimeofday,True,1691401717547991,1691401717550414,0,1691401717547991,no,no,no,no,no,no,no,no,no,no
