macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,14541,14541,recvfrom,True,1691401647364500,1691401647370683,184467440737095516051691401647364500,no,no,no,no,no,no,no,no,no,no
2,14541,14541,ioctl,True,1691401647371740,1691401647372523,0,1691401647371740,no,no,no,no,no,no,no,no,no,no
3,14541,14541,clock_gettime,True,1691401647372928,1691401647373496,0,1691401647372928,no,no,no,no,no,no,no,no,no,no
4,14541,14541,clock_gettime,True,1691401647373771,1691401647374364,0,1691401647373771,no,no,no,no,no,no,no,no,no,no
5,14541,14541,clock_gettime,True,1691401647374661,1691401647375230,0,1691401647374661,no,no,no,no,no,no,no,no,no,no
6,14541,14541,write,True,1691401647375670,1691401647376373,8,1691401647375670,no,no,no,no,no,no,no,no,no,no
7,14541,14541,clock_gettime,True,1691401647377282,1691401647378229,0,1691401647377282,no,no,no,no,no,no,no,no,no,no
8,14541,14541,futex,True,1691401647378382,1691401647378984,1,1691401647378382,no,no,no,no,no,no,no,no,no,no
9,14541,14541,futex,True,1691401647382295,1691401647383482,1,1691401647382295,no,no,no,no,no,no,no,no,no,no
10,14541,14541,clock_gettime,True,1691401647384300,1691401647384634,0,1691401647384300,no,no,no,no,no,no,no,no,no,no
11,14541,14541,clock_gettime,True,1691401647384784,1691401647384969,0,1691401647384784,no,no,no,no,no,no,no,no,no,no
12,14541,14541,write,True,1691401647385130,1691401647385349,8,1691401647385130,no,no,no,no,no,no,no,no,no,no
13,14541,14541,futex,True,1691401647387028,1691401647387297,18446744073709551605,1691401647387028,no,no,no,no,no,no,no,no,no,no
14,14541,14541,futex,True,1691401647387426,1691401647388388,18446744073709551605,1691401647387426,no,no,no,no,no,no,no,no,no,no
15,14541,14541,futex,True,1691401647388466,1691401647394715,0,1691401647388466,no,no,no,no,no,no,no,no,no,no
16,14541,14541,madvise,True,1691401647412140,1691401647415290,0,1691401647412140,no,no,no,no,no,no,no,no,no,no
17,14541,14541,madvise,True,1691401647415372,1691401647415821,0,1691401647415372,no,no,no,no,no,no,no,no,no,no
18,14541,14541,madvise,True,1691401647415884,1691401647416204,0,1691401647415884,no,no,no,no,no,no,no,no,no,no
20,14648,14648,read,True,1691401666924942,1691401666925169,48,1691401666807,no,no,no,no,no,no,no,no,no,no
21,14648,14648,clock_gettime,True,1691401666925251,1691401666925462,0,1691401666925251,no,no,no,no,no,no,no,no,no,no
22,14648,14648,clock_gettime,True,1691401666925519,1691401666925724,0,1691401666925519,no,no,no,no,no,no,no,no,no,no
23,14648,14648,clock_gettime,True,1691401666925818,1691401666926051,0,1691401666925818,no,no,no,no,no,no,no,no,no,no
24,14648,14648,clock_gettime,True,1691401666926092,1691401666926307,0,1691401666926092,no,no,no,no,no,no,no,no,no,no
25,14648,14648,clock_gettime,True,1691401666926351,1691401666926600,0,1691401666926351,no,no,no,no,no,no,no,no,no,no
26,14648,14648,clock_gettime,True,1691401666926690,1691401666926899,0,1691401666926690,no,no,no,no,no,no,no,no,no,no
27,14648,14648,clock_gettime,True,1691401666926937,1691401666927139,0,1691401666926937,no,no,no,no,no,no,no,no,no,no
28,14648,14648,clock_gettime,True,1691401666927176,1691401666927377,0,1691401666927176,no,no,no,no,no,no,no,no,no,no
29,14648,14648,clock_gettime,True,1691401666927411,1691401666927612,0,1691401666927411,no,no,no,no,no,no,no,no,no,no
30,14648,14648,write,True,1691401666927719,1691401666930041,8,1691401666927719,no,no,no,no,no,no,no,no,no,no
31,14648,14648,clock_gettime,True,1691401666930391,1691401666931114,0,1691401666930391,no,no,no,no,no,no,no,no,no,no
32,14648,14648,clock_gettime,True,1691401666931740,1691401666932066,0,1691401666931740,no,no,no,no,no,no,no,no,no,no
33,14648,14648,clock_gettime,True,1691401666932124,1691401666932352,0,1691401666932124,no,no,no,no,no,no,no,no,no,no
34,14648,14648,recvfrom,True,1691401666932482,1691401666932745,18446744073709551605,1691401666932482,no,no,no,no,no,no,no,no,no,no
35,14648,14648,ioctl,True,1691401666932842,1691401666933484,0,1691401666932842,no,no,no,no,no,no,no,no,no,no
36,14648,14648,clock_gettime,True,1691401666933828,1691401666934121,0,1691401666933828,no,no,no,no,no,no,no,no,no,no
37,14648,14648,clock_gettime,True,1691401666934179,1691401666934390,0,1691401666934179,no,no,no,no,no,no,no,no,no,no
38,14648,14648,write,True,1691401666934460,1691401666934709,8,1691401666934460,no,no,no,no,no,no,no,no,no,no
39,14648,14648,clock_gettime,True,1691401666944108,1691401666944454,0,1691401666944108,no,no,no,no,no,no,no,no,no,no
40,14648,14648,write,True,1691401666945802,1691401666946504,8,1691401666945802,no,no,no,no,no,no,no,no,no,no
41,14648,14648,futex,True,1691401666946883,1691401666948447,1,1691401666946883,no,no,no,no,no,no,no,no,no,no
42,14648,14648,futex,True,1691401666949684,1691401666951534,18446744073709551605,1691401666949684,no,no,no,no,no,no,no,no,no,no
43,14648,14648,clock_gettime,True,1691401666951799,1691401666952270,0,1691401666951799,no,no,no,no,no,no,no,no,no,no
44,14648,14648,clock_gettime,True,1691401666952666,1691401666955157,0,1691401666952666,no,no,no,no,no,no,no,no,no,no
45,14648,14648,read,True,1691401666955221,1691401666956008,48,1691401666955221,no,no,no,no,no,no,no,no,no,no
46,14648,14648,getuid,True,1691401666956258,1691401666957009,10364,1691401666956258,no,no,no,no,no,no,no,no,no,no
47,14648,14648,epoll_pwait,True,1691401666957145,1691401666958050,2,1691401666957145,no,no,no,no,no,no,no,no,no,no
48,14648,14648,read,True,1691401666958226,1691401666958569,8,1691401666958226,no,no,no,no,no,no,no,no,no,no
49,14648,14648,recvfrom,True,1691401666958643,1691401666958942,64,1691401666958643,no,no,no,no,no,no,no,no,no,no
50,14648,14648,recvfrom,True,1691401666959053,1691401666959709,18446744073709551605,1691401666959053,no,no,no,no,no,no,no,no,no,no
51,14648,14648,clock_gettime,True,1691401666960053,1691401666960672,0,1691401666960053,no,no,no,no,no,no,no,no,no,no
52,14648,14648,clock_gettime,True,1691401666961033,1691401666963363,0,1691401666961033,no,no,no,no,no,no,no,no,no,no
53,14648,14648,gettimeofday,True,1691401666963468,1691401666964332,0,1691401666963468,no,no,no,no,no,no,no,no,no,no
54,14648,14648,clock_gettime,True,1691401666964462,1691401666965147,0,1691401666964462,no,no,no,no,no,no,no,no,no,no
55,14648,14648,clock_gettime,True,1691401666965265,1691401666965552,0,1691401666965265,no,no,no,no,no,no,no,no,no,no
56,14648,14648,gettimeofday,True,1691401666965615,1691401666965935,0,1691401666965615,no,no,no,no,no,no,no,no,no,no
57,14648,14648,read,True,1691401666965996,1691401666966359,48,1691401666965996,no,no,no,no,no,no,no,no,no,no
58,14648,14648,clock_gettime,True,1691401666966521,1691401666967271,0,1691401666966521,no,no,no,no,no,no,no,no,no,no
59,14648,14648,read,True,1691401666967440,1691401666971036,48,1691401666967440,no,no,no,no,no,no,no,no,no,no
60,14648,14648,getuid,True,1691401666971191,1691401666971880,10364,1691401666971191,no,no,no,no,no,no,no,no,no,no
61,14648,14648,epoll_pwait,True,1691401666972033,1691401666972602,0,1691401666972033,no,no,no,no,no,no,no,no,no,no
62,14648,14648,clock_gettime,True,1691401666972689,1691401666973022,0,1691401666972689,no,no,no,no,no,no,no,no,no,no
63,14648,14648,clock_gettime,True,1691401666973120,1691401666973417,0,1691401666973120,no,no,no,no,no,no,no,no,no,no
64,14648,14648,gettimeofday,True,1691401666973481,1691401666973726,0,1691401666973481,no,no,no,no,no,no,no,no,no,no
65,14648,14648,read,True,1691401666973799,1691401666974104,48,1691401666973799,no,no,no,no,no,no,no,no,no,no
66,14648,14648,ioctl,True,1691401666974493,1691401666976064,0,1691401666974493,no,no,no,no,no,no,no,no,no,no
67,14648,14648,clock_gettime,True,1691401666976252,1691401666976860,0,1691401666976252,no,no,no,no,no,no,no,no,no,no
68,14648,14648,read,True,1691401666976948,1691401666977346,48,1691401666976948,no,no,no,no,no,no,no,no,no,no
69,14648,14648,getuid,True,1691401666977493,1691401666979572,10364,1691401666977493,no,no,no,no,no,no,no,no,no,no
70,14648,14648,epoll_pwait,True,1691401666981177,1691401666981957,0,1691401666981177,no,no,no,no,no,no,no,no,no,no
71,14648,14648,clock_gettime,True,1691401666981998,1691401666982637,0,1691401666981998,no,no,no,no,no,no,no,no,no,no
72,14648,14648,clock_gettime,True,1691401666982715,1691401666983252,0,1691401666982715,no,no,no,no,no,no,no,no,no,no
73,14648,14648,gettimeofday,True,1691401666983284,1691401666983828,0,1691401666983284,no,no,no,no,no,no,no,no,no,no
74,14648,14648,read,True,1691401666983867,1691401666984479,48,1691401666983867,no,no,no,no,no,no,no,no,no,no
75,14648,14648,clock_gettime,True,1691401666984716,1691401666985236,0,1691401666984716,no,no,no,no,no,no,no,no,no,no
76,14648,14648,read,True,1691401666985317,1691401666986032,48,1691401666985317,no,no,no,no,no,no,no,no,no,no
77,14648,14648,getuid,True,1691401666986166,1691401666986774,10364,1691401666986166,no,no,no,no,no,no,no,no,no,no
78,14648,14648,epoll_pwait,True,1691401666986872,1691401666987533,0,1691401666986872,no,no,no,no,no,no,no,no,no,no
79,14648,14648,clock_gettime,True,1691401666987603,1691401666988196,0,1691401666987603,no,no,no,no,no,no,no,no,no,no
80,14648,14648,clock_gettime,True,1691401666988266,1691401666988849,0,1691401666988266,no,no,no,no,no,no,no,no,no,no
81,14648,14648,gettimeofday,True,1691401666988964,1691401666996200,0,1691401666988964,no,no,no,no,no,no,no,no,no,no
82,14648,14648,read,True,1691401666996281,1691401666996549,48,1691401666996281,no,no,no,no,no,no,no,no,no,no
