macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,27497,27497,ioctl,True,1691405775849359,1691405775850771,01691405775849359,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
2,27497,27497,clock_gettime,True,1691405775850914,1691405775851158,0,1691405775850914,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
3,27497,27497,fcntl,True,1691405775851316,1691405775852290,101,1691405775851316,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
4,27497,27497,close,True,1691405775852448,1691405775852731,0,1691405775852448,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
5,27497,27497,ioctl,True,1691405775852777,1691405775853013,0,1691405775852777,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
6,27497,27497,clock_gettime,True,1691405775853290,1691405775853578,0,1691405775853290,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
7,27497,27497,read,True,1691405775853627,1691405775853836,48,1691405775853627,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
8,27497,27497,getuid,True,1691405775853908,1691405775854111,10364,1691405775853908,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
9,27497,27497,epoll_pwait,True,1691405775854171,1691405775854376,1,1691405775854171,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
10,27497,27497,read,True,1691405775854406,1691405775854609,8,1691405775854406,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
11,27497,27497,clock_gettime,True,1691405775854646,1691405775854833,0,1691405775854646,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
12,27497,27497,clock_gettime,True,1691405775854898,1691405775855314,0,1691405775854898,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
13,27497,27497,gettimeofday,True,1691405775855367,1691405775855594,0,1691405775855367,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
14,27497,27497,read,True,1691405775855636,1691405775855845,48,1691405775855636,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
15,27497,27497,clock_gettime,True,1691405775855926,1691405775856149,0,1691405775855926,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
16,27497,27497,clock_gettime,True,1691405775856207,1691405775856420,0,1691405775856207,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
17,27497,27497,clock_gettime,True,1691405775856512,1691405775856716,0,1691405775856512,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
18,27497,27497,clock_gettime,True,1691405775856756,1691405775856963,0,1691405775856756,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
20,27631,27631,getuid,True,1691405796247462,1691405796247706,10364,1691405796127,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
21,27631,27631,epoll_pwait,True,1691405796247779,1691405796248417,2,1691405796247779,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
22,27631,27631,read,True,1691405796248514,1691405796248859,8,1691405796248514,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
23,27631,27631,recvfrom,True,1691405796248950,1691405796249207,64,1691405796248950,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
24,27631,27631,recvfrom,True,1691405796249286,1691405796249549,18446744073709551605,1691405796249286,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
25,27631,27631,clock_gettime,True,1691405796249788,1691405796250062,0,1691405796249788,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
26,27631,27631,clock_gettime,True,1691405796250210,1691405796250464,0,1691405796250210,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
27,27631,27631,gettimeofday,True,1691405796250525,1691405796251160,0,1691405796250525,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
28,27631,27631,clock_gettime,True,1691405796251293,1691405796263591,0,1691405796251293,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
29,27631,27631,clock_gettime,True,1691405796263836,1691405796264694,0,1691405796263836,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
30,27631,27631,gettimeofday,True,1691405796264823,1691405796265640,0,1691405796264823,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
31,27631,27631,read,True,1691405796265742,1691405796266469,48,1691405796265742,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
32,27631,27631,clock_gettime,True,1691405796266964,1691405796267607,0,1691405796266964,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
33,27631,27631,read,True,1691405796267697,1691405796268447,48,1691405796267697,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
34,27631,27631,getuid,True,1691405796268608,1691405796268885,10364,1691405796268608,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
35,27631,27631,epoll_pwait,True,1691405796268996,1691405796270111,0,1691405796268996,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
36,27631,27631,clock_gettime,True,1691405796270296,1691405796270993,0,1691405796270296,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
37,27631,27631,clock_gettime,True,1691405796271181,1691405796272206,0,1691405796271181,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
38,27631,27631,gettimeofday,True,1691405796272334,1691405796272630,0,1691405796272334,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
39,27631,27631,read,True,1691405796272685,1691405796272967,48,1691405796272685,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
40,27631,27631,clock_gettime,True,1691405796273144,1691405796273668,0,1691405796273144,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
41,27631,27631,clock_gettime,True,1691405796273804,1691405796274382,0,1691405796273804,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
42,27631,27631,clock_gettime,True,1691405796274481,1691405796275592,0,1691405796274481,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
43,27631,27631,clock_gettime,True,1691405796275806,1691405796276560,0,1691405796275806,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
44,27631,27631,clock_gettime,True,1691405796276681,1691405796277339,0,1691405796276681,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
45,27631,27631,clock_gettime,True,1691405796279708,1691405796280481,0,1691405796279708,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
46,27631,27631,clock_gettime,True,1691405796282501,1691405796283324,0,1691405796282501,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
47,27631,27631,clock_gettime,True,1691405796284777,1691405796285545,0,1691405796284777,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
48,27631,27631,recvfrom,True,1691405796285837,1691405796286720,18446744073709551605,1691405796285837,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
49,27631,27631,ioctl,True,1691405796286912,1691405796287931,0,1691405796286912,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
50,27631,27631,clock_gettime,True,1691405796288172,1691405796288942,0,1691405796288172,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
51,27631,27631,clock_gettime,True,1691405796289099,1691405796289831,0,1691405796289099,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
52,27631,27631,clock_gettime,True,1691405796289990,1691405796290810,0,1691405796289990,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
53,27631,27631,write,True,1691405796291094,1691405796292797,8,1691405796291094,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
