macrodroid=False
fakeclient=False
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,27129,27129,clock_gettime,True,1691405720754051,1691405720756552,01691405720754051,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
2,27129,27129,futex,True,1691405720756718,1691405720757516,1,1691405720756718,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
3,27129,27129,futex,True,1691405720757638,1691405720758365,1,1691405720757638,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
4,27129,27129,clock_gettime,True,1691405720758732,1691405720759256,0,1691405720758732,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
5,27129,27129,gettimeofday,True,1691405720759348,1691405720760006,0,1691405720759348,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
6,27129,27129,clock_gettime,True,1691405720760612,1691405720761212,0,1691405720760612,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
7,27129,27129,clock_gettime,True,1691405720761375,1691405720762172,0,1691405720761375,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
8,27129,27129,ioctl,True,1691405720762245,1691405720776371,0,1691405720762245,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
9,27129,27129,clock_gettime,True,1691405720776484,1691405720777682,0,1691405720776484,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
11,27278,27278,ioctl,True,1691405739446331,1691405739452927,0,1691405739353,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
12,27278,27278,clock_gettime,True,1691405739456587,1691405739457669,0,1691405739456587,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
13,27278,27278,fcntl,True,1691405739458020,1691405739462333,101,1691405739458020,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
14,27278,27278,close,True,1691405739462626,1691405739463629,0,1691405739462626,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
15,27278,27278,ioctl,True,1691405739463716,1691405739464448,0,1691405739463716,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
16,27278,27278,clock_gettime,True,1691405739464931,1691405739465654,0,1691405739464931,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
17,27278,27278,read,True,1691405739465758,1691405739466640,48,1691405739465758,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
18,27278,27278,getuid,True,1691405739466814,1691405739470823,10364,1691405739466814,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
19,27278,27278,epoll_pwait,True,1691405739470953,1691405739474322,1,1691405739470953,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
20,27278,27278,recvfrom,True,1691405739474469,1691405739475333,64,1691405739474469,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
21,27278,27278,recvfrom,True,1691405739475423,1691405739476078,18446744073709551605,1691405739475423,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
22,27278,27278,clock_gettime,True,1691405739476305,1691405739476957,0,1691405739476305,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
23,27278,27278,clock_gettime,True,1691405739477113,1691405739477722,0,1691405739477113,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
24,27278,27278,gettimeofday,True,1691405739477803,1691405739478626,0,1691405739477803,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
25,27278,27278,clock_gettime,True,1691405739478756,1691405739479392,0,1691405739478756,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
26,27278,27278,clock_gettime,True,1691405739479529,1691405739480140,0,1691405739479529,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
27,27278,27278,gettimeofday,True,1691405739480203,1691405739480769,0,1691405739480203,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
28,27278,27278,read,True,1691405739480851,1691405739481467,48,1691405739480851,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
29,27278,27278,clock_gettime,True,1691405739482007,1691405739482615,0,1691405739482007,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
30,27278,27278,clock_gettime,True,1691405739482780,1691405739483338,0,1691405739482780,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
31,27278,27278,clock_gettime,True,1691405739483431,1691405739484626,0,1691405739483431,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
32,27278,27278,clock_gettime,True,1691405739484795,1691405739486674,0,1691405739484795,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
33,27278,27278,clock_gettime,True,1691405739486781,1691405739487708,0,1691405739486781,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
34,27278,27278,clock_gettime,True,1691405739487907,1691405739488403,0,1691405739487907,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
35,27278,27278,clock_gettime,True,1691405739488711,1691405739489308,0,1691405739488711,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
36,27278,27278,clock_gettime,True,1691405739489545,1691405739490084,0,1691405739489545,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
37,27278,27278,recvfrom,True,1691405739490314,1691405739490878,18446744073709551605,1691405739490314,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
38,27278,27278,ioctl,True,1691405739490972,1691405739492281,0,1691405739490972,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
39,27278,27278,clock_gettime,True,1691405739492440,1691405739493155,0,1691405739492440,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
40,27278,27278,clock_gettime,True,1691405739493230,1691405739493808,0,1691405739493230,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
41,27278,27278,clock_gettime,True,1691405739493890,1691405739494437,0,1691405739493890,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
42,27278,27278,write,True,1691405739494630,1691405739495414,8,1691405739494630,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
43,27278,27278,clock_gettime,True,1691405739495959,1691405739496641,0,1691405739495959,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
44,27278,27278,clock_gettime,True,1691405739497849,1691405739499136,0,1691405739497849,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
45,27278,27278,clock_gettime,True,1691405739499293,1691405739499938,0,1691405739499293,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
46,27278,27278,write,True,1691405739500094,1691405739500943,8,1691405739500094,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
47,27278,27278,madvise,True,1691405739509614,1691405739510488,0,1691405739509614,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
48,27278,27278,madvise,True,1691405739510577,1691405739511263,0,1691405739510577,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
49,27278,27278,madvise,True,1691405739511353,1691405739512597,0,1691405739511353,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
50,27278,27278,madvise,True,1691405739512674,1691405739513371,0,1691405739512674,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
51,27278,27278,madvise,True,1691405739513443,1691405739514127,0,1691405739513443,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
52,27278,27278,madvise,True,1691405739514228,1691405739514790,0,1691405739514228,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
53,27278,27278,madvise,True,1691405739514887,1691405739515724,0,1691405739514887,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
54,27278,27278,madvise,True,1691405739515867,1691405739516454,0,1691405739515867,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
55,27278,27278,madvise,True,1691405739516551,1691405739517460,0,1691405739516551,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
56,27278,27278,madvise,True,1691405739517533,1691405739518201,0,1691405739517533,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
57,27278,27278,madvise,True,1691405739520786,1691405739522352,0,1691405739520786,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
58,27278,27278,clock_gettime,True,1691405739544549,1691405739545219,0,1691405739544549,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
59,27278,27278,write,True,1691405739545313,1691405739546191,8,1691405739545313,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
60,27278,27278,futex,True,1691405739546251,1691405739548755,1,1691405739546251,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
61,27278,27278,futex,True,1691405739549448,1691405739549981,18446744073709551605,1691405739549448,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
62,27278,27278,clock_gettime,True,1691405739550288,1691405739551458,0,1691405739550288,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
63,27278,27278,clock_gettime,True,1691405739551809,1691405739555355,0,1691405739551809,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
64,27278,27278,clock_gettime,True,1691405739555554,1691405739561295,0,1691405739555554,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
65,27278,27278,read,True,1691405739561487,1691405739562301,48,1691405739561487,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
66,27278,27278,getuid,True,1691405739562484,1691405739563222,10364,1691405739562484,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
67,27278,27278,epoll_pwait,True,1691405739563360,1691405739564158,2,1691405739563360,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
68,27278,27278,read,True,1691405739564268,1691405739565399,8,1691405739564268,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
69,27278,27278,recvfrom,True,1691405739565480,1691405739566181,64,1691405739565480,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
70,27278,27278,recvfrom,True,1691405739566248,1691405739566958,18446744073709551605,1691405739566248,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
71,27278,27278,clock_gettime,True,1691405739567366,1691405739569127,0,1691405739567366,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
72,27278,27278,clock_gettime,True,1691405739569351,1691405739579818,0,1691405739569351,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
73,27278,27278,gettimeofday,True,1691405739579943,1691405739580730,0,1691405739579943,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
74,27278,27278,clock_gettime,True,1691405739580877,1691405739581738,0,1691405739580877,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
75,27278,27278,clock_gettime,True,1691405739581885,1691405739582641,0,1691405739581885,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
76,27278,27278,gettimeofday,True,1691405739582745,1691405739583461,0,1691405739582745,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
77,27278,27278,read,True,1691405739583575,1691405739584260,48,1691405739583575,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
78,27278,27278,clock_gettime,True,1691405739584468,1691405739586659,0,1691405739584468,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
79,27278,27278,read,True,1691405739586746,1691405739587527,48,1691405739586746,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
80,27278,27278,getuid,True,1691405739587666,1691405739588178,10364,1691405739587666,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
81,27278,27278,epoll_pwait,True,1691405739588297,1691405739589326,0,1691405739588297,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
82,27278,27278,clock_gettime,True,1691405739589428,1691405739590052,0,1691405739589428,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
83,27278,27278,clock_gettime,True,1691405739590171,1691405739591009,0,1691405739590171,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
84,27278,27278,gettimeofday,True,1691405739591092,1691405739591914,0,1691405739591092,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
85,27278,27278,read,True,1691405739592015,1691405739592858,48,1691405739592015,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
86,27278,27278,ioctl,True,1691405739593226,1691405739594413,0,1691405739593226,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
87,27278,27278,clock_gettime,True,1691405739594628,1691405739595402,0,1691405739594628,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
88,27278,27278,read,True,1691405739595498,1691405739596121,48,1691405739595498,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
89,27278,27278,getuid,True,1691405739596257,1691405739596832,10364,1691405739596257,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
90,27278,27278,epoll_pwait,True,1691405739596942,1691405739597560,0,1691405739596942,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
91,27278,27278,clock_gettime,True,1691405739597654,1691405739598256,0,1691405739597654,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
92,27278,27278,clock_gettime,True,1691405739598392,1691405739598967,0,1691405739598392,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
93,27278,27278,gettimeofday,True,1691405739599061,1691405739599623,0,1691405739599061,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
94,27278,27278,read,True,1691405739599697,1691405739600349,48,1691405739599697,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
95,27278,27278,clock_gettime,True,1691405739601036,1691405739602147,0,1691405739601036,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
96,27278,27278,read,True,1691405739602243,1691405739603004,48,1691405739602243,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
97,27278,27278,getuid,True,1691405739603138,1691405739603705,10364,1691405739603138,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
