macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,28927,28927,clock_gettime,True,1691406007275242,1691406007279854,01691406007275242,no,no,no,no,no,no,no,no,no,no
2,28927,28927,getuid,True,1691406007279981,1691406007280274,10364,1691406007279981,no,no,no,no,no,no,no,no,no,no
3,28927,28927,writev,True,1691406007280388,1691406007280677,65,1691406007280388,no,no,no,no,no,no,no,no,no,no
4,28927,28927,clock_gettime,True,1691406007282651,1691406007283125,0,1691406007282651,no,no,no,no,no,no,no,no,no,no
5,28927,28927,clock_gettime,True,1691406007283293,1691406007283494,0,1691406007283293,no,no,no,no,no,no,no,no,no,no
6,28927,28927,clock_gettime,True,1691406007283636,1691406007283809,0,1691406007283636,no,no,no,no,no,no,no,no,no,no
7,28927,28927,clock_gettime,True,1691406007284030,1691406007284241,0,1691406007284030,no,no,no,no,no,no,no,no,no,no
8,28927,28927,gettimeofday,True,1691406007286732,1691406007287023,0,1691406007286732,no,no,no,no,no,no,no,no,no,no
9,28927,28927,clock_gettime,True,1691406007287164,1691406007287343,0,1691406007287164,no,no,no,no,no,no,no,no,no,no
10,28927,28927,write,True,1691406007289641,1691406007290068,8,1691406007289641,no,no,no,no,no,no,no,no,no,no
11,28927,28927,clock_gettime,True,1691406007293064,1691406007293270,0,1691406007293064,no,no,no,no,no,no,no,no,no,no
12,28927,28927,clock_gettime,True,1691406007293434,1691406007293621,0,1691406007293434,no,no,no,no,no,no,no,no,no,no
13,28927,28927,gettimeofday,True,1691406007293735,1691406007293915,0,1691406007293735,no,no,no,no,no,no,no,no,no,no
14,28927,28927,clock_gettime,True,1691406007294379,1691406007294574,0,1691406007294379,no,no,no,no,no,no,no,no,no,no
15,28927,28927,clock_gettime,True,1691406007294716,1691406007294892,0,1691406007294716,no,no,no,no,no,no,no,no,no,no
16,28927,28927,ioctl,True,1691406007295002,1691406007299158,0,1691406007295002,no,no,no,no,no,no,no,no,no,no
17,28927,28927,clock_gettime,True,1691406007300607,1691406007300885,0,1691406007300607,no,no,no,no,no,no,no,no,no,no
18,28927,28927,fcntl,True,1691406007301149,1691406007301353,101,1691406007301149,no,no,no,no,no,no,no,no,no,no
20,29073,29073,clock_gettime,True,1691406040940886,1691406040941119,0,1691406040850,no,no,no,no,no,no,no,no,no,no
21,29073,29073,clock_gettime,True,1691406040941174,1691406040941369,0,1691406040941174,no,no,no,no,no,no,no,no,no,no
22,29073,29073,clock_gettime,True,1691406040941426,1691406040941684,0,1691406040941426,no,no,no,no,no,no,no,no,no,no
23,29073,29073,clock_gettime,True,1691406040941843,1691406040942069,0,1691406040941843,no,no,no,no,no,no,no,no,no,no
24,29073,29073,gettimeofday,True,1691406040942112,1691406040942327,0,1691406040942112,no,no,no,no,no,no,no,no,no,no
25,29073,29073,clock_gettime,True,1691406040942372,1691406040942562,0,1691406040942372,no,no,no,no,no,no,no,no,no,no
26,29073,29073,write,True,1691406040942633,1691406040942865,8,1691406040942633,no,no,no,no,no,no,no,no,no,no
27,29073,29073,clock_gettime,True,1691406040944594,1691406040944903,0,1691406040944594,no,no,no,no,no,no,no,no,no,no
28,29073,29073,clock_gettime,True,1691406040944982,1691406040945193,0,1691406040944982,no,no,no,no,no,no,no,no,no,no
29,29073,29073,gettimeofday,True,1691406040945231,1691406040945435,0,1691406040945231,no,no,no,no,no,no,no,no,no,no
30,29073,29073,clock_gettime,True,1691406040945749,1691406040945991,0,1691406040945749,no,no,no,no,no,no,no,no,no,no
31,29073,29073,clock_gettime,True,1691406040946047,1691406040946244,0,1691406040946047,no,no,no,no,no,no,no,no,no,no
32,29073,29073,ioctl,True,1691406040946287,1691406040947345,0,1691406040946287,no,no,no,no,no,no,no,no,no,no
33,29073,29073,clock_gettime,True,1691406040950171,1691406040953868,0,1691406040950171,no,no,no,no,no,no,no,no,no,no
34,29073,29073,fcntl,True,1691406040954139,1691406040955957,101,1691406040954139,no,no,no,no,no,no,no,no,no,no
35,29073,29073,close,True,1691406040956787,1691406040957698,0,1691406040956787,no,no,no,no,no,no,no,no,no,no
36,29073,29073,ioctl,True,1691406040957830,1691406040959408,0,1691406040957830,no,no,no,no,no,no,no,no,no,no
37,29073,29073,clock_gettime,True,1691406040959951,1691406040960672,0,1691406040959951,no,no,no,no,no,no,no,no,no,no
38,29073,29073,read,True,1691406040960759,1691406040961513,48,1691406040960759,no,no,no,no,no,no,no,no,no,no
39,29073,29073,getuid,True,1691406040962215,1691406040962623,10364,1691406040962215,no,no,no,no,no,no,no,no,no,no
40,29073,29073,epoll_pwait,True,1691406040962690,1691406040962988,1,1691406040962690,no,no,no,no,no,no,no,no,no,no
41,29073,29073,read,True,1691406040963074,1691406040963691,8,1691406040963074,no,no,no,no,no,no,no,no,no,no
42,29073,29073,clock_gettime,True,1691406040963759,1691406040964356,0,1691406040963759,no,no,no,no,no,no,no,no,no,no
43,29073,29073,clock_gettime,True,1691406040964473,1691406040965036,0,1691406040964473,no,no,no,no,no,no,no,no,no,no
44,29073,29073,gettimeofday,True,1691406040965126,1691406040965732,0,1691406040965126,no,no,no,no,no,no,no,no,no,no
45,29073,29073,read,True,1691406040965808,1691406040966523,48,1691406040965808,no,no,no,no,no,no,no,no,no,no
46,29073,29073,clock_gettime,True,1691406040966661,1691406040967349,0,1691406040966661,no,no,no,no,no,no,no,no,no,no
47,29073,29073,clock_gettime,True,1691406040967435,1691406040968052,0,1691406040967435,no,no,no,no,no,no,no,no,no,no
48,29073,29073,clock_gettime,True,1691406040968212,1691406040968873,0,1691406040968212,no,no,no,no,no,no,no,no,no,no
49,29073,29073,clock_gettime,True,1691406040968947,1691406040969505,0,1691406040968947,no,no,no,no,no,no,no,no,no,no
50,29073,29073,clock_gettime,True,1691406040969580,1691406040970353,0,1691406040969580,no,no,no,no,no,no,no,no,no,no
51,29073,29073,clock_gettime,True,1691406040970427,1691406040971065,0,1691406040970427,no,no,no,no,no,no,no,no,no,no
52,29073,29073,clock_gettime,True,1691406040971133,1691406040973383,0,1691406040971133,no,no,no,no,no,no,no,no,no,no
53,29073,29073,clock_gettime,True,1691406040973590,1691406040974436,0,1691406040973590,no,no,no,no,no,no,no,no,no,no
54,29073,29073,clock_gettime,True,1691406040974504,1691406040975102,0,1691406040974504,no,no,no,no,no,no,no,no,no,no
55,29073,29073,write,True,1691406040975279,1691406040975913,8,1691406040975279,no,no,no,no,no,no,no,no,no,no
56,29073,29073,clock_gettime,True,1691406040976452,1691406040977150,0,1691406040976452,no,no,no,no,no,no,no,no,no,no
57,29073,29073,clock_gettime,True,1691406040978329,1691406040979089,0,1691406040978329,no,no,no,no,no,no,no,no,no,no
58,29073,29073,clock_gettime,True,1691406040979183,1691406040979800,0,1691406040979183,no,no,no,no,no,no,no,no,no,no
59,29073,29073,recvfrom,True,1691406040980021,1691406040980590,18446744073709551605,1691406040980021,no,no,no,no,no,no,no,no,no,no
60,29073,29073,ioctl,True,1691406040980685,1691406040982001,0,1691406040980685,no,no,no,no,no,no,no,no,no,no
61,29073,29073,clock_gettime,True,1691406040982630,1691406040983343,0,1691406040982630,no,no,no,no,no,no,no,no,no,no
62,29073,29073,clock_gettime,True,1691406040983439,1691406040984000,0,1691406040983439,no,no,no,no,no,no,no,no,no,no
63,29073,29073,write,True,1691406040984123,1691406040984712,8,1691406040984123,no,no,no,no,no,no,no,no,no,no
64,29073,29073,clock_gettime,True,1691406040996035,1691406040996901,0,1691406040996035,no,no,no,no,no,no,no,no,no,no
65,29073,29073,write,True,1691406040997006,1691406040997851,8,1691406040997006,no,no,no,no,no,no,no,no,no,no
66,29073,29073,futex,True,1691406040997961,1691406041002723,18446744073709551605,1691406040997961,no,no,no,no,no,no,no,no,no,no
67,29073,29073,clock_gettime,True,1691406041002988,1691406041004678,0,1691406041002988,no,no,no,no,no,no,no,no,no,no
68,29073,29073,clock_gettime,True,1691406041006809,1691406041007738,0,1691406041006809,no,no,no,no,no,no,no,no,no,no
69,29073,29073,read,True,1691406041008546,1691406041009198,48,1691406041008546,no,no,no,no,no,no,no,no,no,no
70,29073,29073,getuid,True,1691406041009326,1691406041009623,10364,1691406041009326,no,no,no,no,no,no,no,no,no,no
71,29073,29073,epoll_pwait,True,1691406041009705,1691406041010337,2,1691406041009705,no,no,no,no,no,no,no,no,no,no
72,29073,29073,read,True,1691406041010405,1691406041010957,8,1691406041010405,no,no,no,no,no,no,no,no,no,no
73,29073,29073,recvfrom,True,1691406041011017,1691406041011496,64,1691406041011017,no,no,no,no,no,no,no,no,no,no
74,29073,29073,recvfrom,True,1691406041011539,1691406041012303,18446744073709551605,1691406041011539,no,no,no,no,no,no,no,no,no,no
75,29073,29073,clock_gettime,True,1691406041012477,1691406041013071,0,1691406041012477,no,no,no,no,no,no,no,no,no,no
76,29073,29073,clock_gettime,True,1691406041013191,1691406041013829,0,1691406041013191,no,no,no,no,no,no,no,no,no,no
77,29073,29073,gettimeofday,True,1691406041013887,1691406041014524,0,1691406041013887,no,no,no,no,no,no,no,no,no,no
78,29073,29073,clock_gettime,True,1691406041014674,1691406041017217,0,1691406041014674,no,no,no,no,no,no,no,no,no,no
79,29073,29073,clock_gettime,True,1691406041017333,1691406041018171,0,1691406041017333,no,no,no,no,no,no,no,no,no,no
80,29073,29073,gettimeofday,True,1691406041018286,1691406041019215,0,1691406041018286,no,no,no,no,no,no,no,no,no,no
81,29073,29073,read,True,1691406041019292,1691406041020070,48,1691406041019292,no,no,no,no,no,no,no,no,no,no
82,29073,29073,clock_gettime,True,1691406041020196,1691406041020966,0,1691406041020196,no,no,no,no,no,no,no,no,no,no
83,29073,29073,read,True,1691406041021108,1691406041022165,48,1691406041021108,no,no,no,no,no,no,no,no,no,no
84,29073,29073,getuid,True,1691406041022346,1691406041024824,10364,1691406041022346,no,no,no,no,no,no,no,no,no,no
85,29073,29073,epoll_pwait,True,1691406041024925,1691406041025525,0,1691406041024925,no,no,no,no,no,no,no,no,no,no
86,29073,29073,clock_gettime,True,1691406041025585,1691406041026535,0,1691406041025585,no,no,no,no,no,no,no,no,no,no
87,29073,29073,clock_gettime,True,1691406041026653,1691406041027260,0,1691406041026653,no,no,no,no,no,no,no,no,no,no
88,29073,29073,gettimeofday,True,1691406041027315,1691406041027843,0,1691406041027315,no,no,no,no,no,no,no,no,no,no
89,29073,29073,read,True,1691406041027904,1691406041028597,48,1691406041027904,no,no,no,no,no,no,no,no,no,no
90,29073,29073,ioctl,True,1691406041028912,1691406041029886,0,1691406041028912,no,no,no,no,no,no,no,no,no,no
91,29073,29073,clock_gettime,True,1691406041030508,1691406041031172,0,1691406041030508,no,no,no,no,no,no,no,no,no,no
92,29073,29073,read,True,1691406041031241,1691406041031947,48,1691406041031241,no,no,no,no,no,no,no,no,no,no
93,29073,29073,getuid,True,1691406041032069,1691406041032699,10364,1691406041032069,no,no,no,no,no,no,no,no,no,no
94,29073,29073,epoll_pwait,True,1691406041032781,1691406041033288,0,1691406041032781,no,no,no,no,no,no,no,no,no,no
95,29073,29073,clock_gettime,True,1691406041033362,1691406041033910,0,1691406041033362,no,no,no,no,no,no,no,no,no,no
96,29073,29073,clock_gettime,True,1691406041033993,1691406041034625,0,1691406041033993,no,no,no,no,no,no,no,no,no,no
97,29073,29073,gettimeofday,True,1691406041034812,1691406041035529,0,1691406041034812,no,no,no,no,no,no,no,no,no,no
98,29073,29073,read,True,1691406041035644,1691406041036527,48,1691406041035644,no,no,no,no,no,no,no,no,no,no
99,29073,29073,clock_gettime,True,1691406041037173,1691406041037866,0,1691406041037173,no,no,no,no,no,no,no,no,no,no
100,29073,29073,read,True,1691406041038068,1691406041039569,48,1691406041038068,no,no,no,no,no,no,no,no,no,no
101,29073,29073,getuid,True,1691406041039666,1691406041039925,10364,1691406041039666,no,no,no,no,no,no,no,no,no,no
102,29073,29073,epoll_pwait,True,1691406041039988,1691406041041749,0,1691406041039988,no,no,no,no,no,no,no,no,no,no
103,29073,29073,clock_gettime,True,1691406041041830,1691406041042684,0,1691406041041830,no,no,no,no,no,no,no,no,no,no
104,29073,29073,clock_gettime,True,1691406041042961,1691406041045249,0,1691406041042961,no,no,no,no,no,no,no,no,no,no
105,29073,29073,gettimeofday,True,1691406041045315,1691406041045565,0,1691406041045315,no,no,no,no,no,no,no,no,no,no
106,29073,29073,read,True,1691406041045613,1691406041045880,48,1691406041045613,no,no,no,no,no,no,no,no,no,no
107,29073,29073,clock_gettime,True,1691406041046724,1691406041047068,0,1691406041046724,no,no,no,no,no,no,no,no,no,no
108,29073,29073,ioctl,True,1691406041047137,1691406041048109,0,1691406041047137,no,no,no,no,no,no,no,no,no,no
109,29073,29073,clock_gettime,True,1691406041048288,1691406041049259,0,1691406041048288,no,no,no,no,no,no,no,no,no,no
110,29073,29073,ioctl,True,1691406041049372,1691406041049985,0,1691406041049372,no,no,no,no,no,no,no,no,no,no
111,29073,29073,ioctl,True,1691406041050447,1691406041051472,0,1691406041050447,no,no,no,no,no,no,no,no,no,no
112,29073,29073,ioctl,True,1691406041052168,1691406041052846,0,1691406041052168,no,no,no,no,no,no,no,no,no,no
113,29073,29073,clock_gettime,True,1691406041053249,1691406041053908,0,1691406041053249,no,no,no,no,no,no,no,no,no,no
114,29073,29073,read,True,1691406041053980,1691406041054364,48,1691406041053980,no,no,no,no,no,no,no,no,no,no
115,29073,29073,getuid,True,1691406041054480,1691406041056310,10364,1691406041054480,no,no,no,no,no,no,no,no,no,no
116,29073,29073,epoll_pwait,True,1691406041057261,1691406041062873,0,1691406041057261,no,no,no,no,no,no,no,no,no,no
117,29073,29073,clock_gettime,True,1691406041062941,1691406041065155,0,1691406041062941,no,no,no,no,no,no,no,no,no,no
118,29073,29073,clock_gettime,True,1691406041065248,1691406041065769,0,1691406041065248,no,no,no,no,no,no,no,no,no,no
