macrodroid=False
fakeclient=False
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,4295,4295,futex,True,1691407211304283,1691407211304932,184467440737095516051691407211304283,no,no,no,no,no,no,no,no,no,no
2,4295,4295,futex,True,1691407211305112,1691407211305291,1,1691407211305112,no,no,no,no,no,no,no,no,no,no
3,4295,4295,futex,True,1691407211305390,1691407211305566,1,1691407211305390,no,no,no,no,no,no,no,no,no,no
4,4295,4295,clock_gettime,True,1691407211307805,1691407211308069,0,1691407211307805,no,no,no,no,no,no,no,no,no,no
5,4295,4295,write,True,1691407211308186,1691407211308400,8,1691407211308186,no,no,no,no,no,no,no,no,no,no
6,4295,4295,futex,True,1691407211308506,1691407211309423,0,1691407211308506,no,no,no,no,no,no,no,no,no,no
7,4295,4295,clock_gettime,True,1691407211309710,1691407211310687,0,1691407211309710,no,no,no,no,no,no,no,no,no,no
8,4295,4295,clock_gettime,True,1691407211310938,1691407211311537,0,1691407211310938,no,no,no,no,no,no,no,no,no,no
9,4295,4295,read,True,1691407211311822,1691407211312401,48,1691407211311822,no,no,no,no,no,no,no,no,no,no
11,4440,4440,read,True,1691407231803064,1691407231803276,8,1691407231711,no,no,no,no,no,no,no,no,no,no
12,4440,4440,recvfrom,True,1691407231803411,1691407231803614,64,1691407231803411,no,no,no,no,no,no,no,no,no,no
13,4440,4440,recvfrom,True,1691407231803720,1691407231803921,18446744073709551605,1691407231803720,no,no,no,no,no,no,no,no,no,no
14,4440,4440,clock_gettime,True,1691407231804167,1691407231804379,0,1691407231804167,no,no,no,no,no,no,no,no,no,no
15,4440,4440,clock_gettime,True,1691407231804624,1691407231805378,0,1691407231804624,no,no,no,no,no,no,no,no,no,no
16,4440,4440,gettimeofday,True,1691407231805657,1691407231812163,0,1691407231805657,no,no,no,no,no,no,no,no,no,no
17,4440,4440,clock_gettime,True,1691407231812371,1691407231813037,0,1691407231812371,no,no,no,no,no,no,no,no,no,no
18,4440,4440,clock_gettime,True,1691407231813145,1691407231815400,0,1691407231813145,no,no,no,no,no,no,no,no,no,no
19,4440,4440,gettimeofday,True,1691407231815659,1691407231816642,0,1691407231815659,no,no,no,no,no,no,no,no,no,no
