macrodroid=False
fakeclient=False
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,2682,2682,clock_gettime,True,1691407021166806,1691407021169596,01691407021166806,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
2,2682,2682,futex,True,1691407021169830,1691407021171352,1,1691407021169830,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
3,2682,2682,futex,True,1691407021171741,1691407021172668,1,1691407021171741,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
4,2682,2682,clock_gettime,True,1691407021172840,1691407021173145,0,1691407021172840,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
5,2682,2682,gettimeofday,True,1691407021173238,1691407021174486,0,1691407021173238,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
6,2682,2682,clock_gettime,True,1691407021175008,1691407021175209,0,1691407021175008,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
7,2682,2682,clock_gettime,True,1691407021175331,1691407021175504,0,1691407021175331,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
8,2682,2682,ioctl,True,1691407021175609,1691407021177166,0,1691407021175609,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
9,2682,2682,clock_gettime,True,1691407021188145,1691407021193050,0,1691407021188145,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
11,2818,2818,write,True,1691407042398779,1691407042399348,8,1691407042307,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
12,2818,2818,clock_gettime,True,1691407042399449,1691407042400344,0,1691407042399449,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
13,2818,2818,clock_gettime,True,1691407042400469,1691407042400999,0,1691407042400469,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
14,2818,2818,gettimeofday,True,1691407042401053,1691407042401580,0,1691407042401053,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
15,2818,2818,read,True,1691407042401663,1691407042402193,48,1691407042401663,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
16,2818,2818,clock_gettime,True,1691407042402331,1691407042402878,0,1691407042402331,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
17,2818,2818,clock_gettime,True,1691407042403023,1691407042403649,0,1691407042403023,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
18,2818,2818,clock_gettime,True,1691407042403725,1691407042406698,0,1691407042403725,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
19,2818,2818,clock_gettime,True,1691407042406816,1691407042408759,0,1691407042406816,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
20,2818,2818,clock_gettime,True,1691407042408871,1691407042409666,0,1691407042408871,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
21,2818,2818,clock_gettime,True,1691407042409762,1691407042410371,0,1691407042409762,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
22,2818,2818,clock_gettime,True,1691407042410459,1691407042411199,0,1691407042410459,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
23,2818,2818,clock_gettime,True,1691407042411291,1691407042411881,0,1691407042411291,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
24,2818,2818,write,True,1691407042412059,1691407042412808,8,1691407042412059,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
25,2818,2818,clock_gettime,True,1691407042412956,1691407042413648,0,1691407042412956,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
26,2818,2818,clock_gettime,True,1691407042413783,1691407042414730,0,1691407042413783,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
27,2818,2818,clock_gettime,True,1691407042414926,1691407042415579,0,1691407042414926,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
28,2818,2818,read,True,1691407042415676,1691407042416466,48,1691407042415676,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
29,2818,2818,getuid,True,1691407042416647,1691407042417496,10364,1691407042416647,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
30,2818,2818,epoll_pwait,True,1691407042417646,1691407042418235,2,1691407042417646,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
31,2818,2818,read,True,1691407042418414,1691407042418975,8,1691407042418414,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
32,2818,2818,recvfrom,True,1691407042419104,1691407042419696,16,1691407042419104,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
