macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,3836,3836,ioctl,True,1691407168718421,1691407168720190,01691407168718421,no,no,no,no,no,no,no,no,no,no
2,3836,3836,clock_gettime,True,1691407168720619,1691407168721799,0,1691407168720619,no,no,no,no,no,no,no,no,no,no
3,3836,3836,ioctl,True,1691407168721939,1691407168722933,0,1691407168721939,no,no,no,no,no,no,no,no,no,no
4,3836,3836,ioctl,True,1691407168725465,1691407168736941,0,1691407168725465,no,no,no,no,no,no,no,no,no,no
5,3836,3836,ioctl,True,1691407168737859,1691407168740093,0,1691407168737859,no,no,no,no,no,no,no,no,no,no
6,3836,3836,clock_gettime,True,1691407168741552,1691407168744085,0,1691407168741552,no,no,no,no,no,no,no,no,no,no
7,3836,3836,read,True,1691407168744224,1691407168744551,48,1691407168744224,no,no,no,no,no,no,no,no,no,no
8,3836,3836,getuid,True,1691407168744666,1691407168745184,10364,1691407168744666,no,no,no,no,no,no,no,no,no,no
9,3836,3836,epoll_pwait,True,1691407168745256,1691407168745557,1,1691407168745256,no,no,no,no,no,no,no,no,no,no
11,3946,3946,clock_gettime,True,1691407190165334,1691407190165543,0,1691407190093,no,no,no,no,no,no,no,no,no,no
12,3946,3946,clock_gettime,True,1691407190165590,1691407190165790,0,1691407190165590,no,no,no,no,no,no,no,no,no,no
13,3946,3946,gettimeofday,True,1691407190165823,1691407190166475,0,1691407190165823,no,no,no,no,no,no,no,no,no,no
14,3946,3946,sendto,True,1691407190166539,1691407190166797,24,1691407190166539,no,no,no,no,no,no,no,no,no,no
15,3946,3946,recvfrom,True,1691407190166841,1691407190167058,18446744073709551605,1691407190166841,no,no,no,no,no,no,no,no,no,no
16,3946,3946,clock_gettime,True,1691407190167099,1691407190167295,0,1691407190167099,no,no,no,no,no,no,no,no,no,no
17,3946,3946,clock_gettime,True,1691407190167359,1691407190168353,0,1691407190167359,no,no,no,no,no,no,no,no,no,no
18,3946,3946,gettimeofday,True,1691407190168399,1691407190168616,0,1691407190168399,no,no,no,no,no,no,no,no,no,no
19,3946,3946,read,True,1691407190168658,1691407190168853,48,1691407190168658,no,no,no,no,no,no,no,no,no,no
20,3946,3946,clock_gettime,True,1691407190168932,1691407190169147,0,1691407190168932,no,no,no,no,no,no,no,no,no,no
21,3946,3946,clock_gettime,True,1691407190169213,1691407190169411,0,1691407190169213,no,no,no,no,no,no,no,no,no,no
22,3946,3946,clock_gettime,True,1691407190169442,1691407190169683,0,1691407190169442,no,no,no,no,no,no,no,no,no,no
23,3946,3946,clock_gettime,True,1691407190169746,1691407190169966,0,1691407190169746,no,no,no,no,no,no,no,no,no,no
24,3946,3946,clock_gettime,True,1691407190170011,1691407190170262,0,1691407190170011,no,no,no,no,no,no,no,no,no,no
25,3946,3946,clock_gettime,True,1691407190170314,1691407190170508,0,1691407190170314,no,no,no,no,no,no,no,no,no,no
26,3946,3946,clock_gettime,True,1691407190170558,1691407190170764,0,1691407190170558,no,no,no,no,no,no,no,no,no,no
27,3946,3946,clock_gettime,True,1691407190170811,1691407190171019,0,1691407190170811,no,no,no,no,no,no,no,no,no,no
28,3946,3946,write,True,1691407190171112,1691407190171324,8,1691407190171112,no,no,no,no,no,no,no,no,no,no
29,3946,3946,clock_gettime,True,1691407190171389,1691407190171607,0,1691407190171389,no,no,no,no,no,no,no,no,no,no
30,3946,3946,clock_gettime,True,1691407190171673,1691407190171877,0,1691407190171673,no,no,no,no,no,no,no,no,no,no
31,3946,3946,clock_gettime,True,1691407190171948,1691407190172139,0,1691407190171948,no,no,no,no,no,no,no,no,no,no
32,3946,3946,read,True,1691407190172181,1691407190172382,48,1691407190172181,no,no,no,no,no,no,no,no,no,no
33,3946,3946,getuid,True,1691407190172450,1691407190172697,10364,1691407190172450,no,no,no,no,no,no,no,no,no,no
34,3946,3946,epoll_pwait,True,1691407190172758,1691407190172976,1,1691407190172758,no,no,no,no,no,no,no,no,no,no
35,3946,3946,read,True,1691407190173001,1691407190173183,8,1691407190173001,no,no,no,no,no,no,no,no,no,no
36,3946,3946,clock_gettime,True,1691407190173214,1691407190173401,0,1691407190173214,no,no,no,no,no,no,no,no,no,no
37,3946,3946,clock_gettime,True,1691407190173451,1691407190173637,0,1691407190173451,no,no,no,no,no,no,no,no,no,no
38,3946,3946,gettimeofday,True,1691407190173668,1691407190173853,0,1691407190173668,no,no,no,no,no,no,no,no,no,no
39,3946,3946,read,True,1691407190173885,1691407190174115,48,1691407190173885,no,no,no,no,no,no,no,no,no,no
40,3946,3946,clock_gettime,True,1691407190174584,1691407190174893,0,1691407190174584,no,no,no,no,no,no,no,no,no,no
41,3946,3946,getuid,True,1691407190174931,1691407190175127,10364,1691407190174931,no,no,no,no,no,no,no,no,no,no
42,3946,3946,writev,True,1691407190175157,1691407190175377,65,1691407190175157,no,no,no,no,no,no,no,no,no,no
43,3946,3946,futex,True,1691407190175410,1691407190175634,1,1691407190175410,no,no,no,no,no,no,no,no,no,no
44,3946,3946,clock_gettime,True,1691407190176316,1691407190176793,0,1691407190176316,no,no,no,no,no,no,no,no,no,no
45,3946,3946,clock_gettime,True,1691407190176864,1691407190178975,0,1691407190176864,no,no,no,no,no,no,no,no,no,no
46,3946,3946,futex,True,1691407190179113,1691407190179838,1,1691407190179113,no,no,no,no,no,no,no,no,no,no
47,3946,3946,futex,True,1691407190179889,1691407190180516,1,1691407190179889,no,no,no,no,no,no,no,no,no,no
48,3946,3946,clock_gettime,True,1691407190180639,1691407190181852,0,1691407190180639,no,no,no,no,no,no,no,no,no,no
49,3946,3946,clock_gettime,True,1691407190182114,1691407190182734,0,1691407190182114,no,no,no,no,no,no,no,no,no,no
50,3946,3946,gettimeofday,True,1691407190182823,1691407190183476,0,1691407190182823,no,no,no,no,no,no,no,no,no,no
51,3946,3946,clock_gettime,True,1691407190183584,1691407190184143,0,1691407190183584,no,no,no,no,no,no,no,no,no,no
52,3946,3946,write,True,1691407190184283,1691407190184986,8,1691407190184283,no,no,no,no,no,no,no,no,no,no
53,3946,3946,clock_gettime,True,1691407190191568,1691407190192572,0,1691407190191568,no,no,no,no,no,no,no,no,no,no
54,3946,3946,clock_gettime,True,1691407190192756,1691407190194590,0,1691407190192756,no,no,no,no,no,no,no,no,no,no
55,3946,3946,gettimeofday,True,1691407190194731,1691407190196623,0,1691407190194731,no,no,no,no,no,no,no,no,no,no
56,3946,3946,clock_gettime,True,1691407190197471,1691407190197805,0,1691407190197471,no,no,no,no,no,no,no,no,no,no
57,3946,3946,clock_gettime,True,1691407190197964,1691407190198895,0,1691407190197964,no,no,no,no,no,no,no,no,no,no
58,3946,3946,ioctl,True,1691407190199092,1691407190200451,0,1691407190199092,no,no,no,no,no,no,no,no,no,no
59,3946,3946,clock_gettime,True,1691407190202732,1691407190203889,0,1691407190202732,no,no,no,no,no,no,no,no,no,no
60,3946,3946,sched_yield,True,1691407190203984,1691407190204475,0,1691407190203984,no,no,no,no,no,no,no,no,no,no
61,3946,3946,fcntl,True,1691407190204632,1691407190204902,90,1691407190204632,no,no,no,no,no,no,no,no,no,no
62,3946,3946,close,True,1691407190205016,1691407190205435,0,1691407190205016,no,no,no,no,no,no,no,no,no,no
63,3946,3946,ioctl,True,1691407190205483,1691407190205800,0,1691407190205483,no,no,no,no,no,no,no,no,no,no
64,3946,3946,clock_gettime,True,1691407190206121,1691407190206439,0,1691407190206121,no,no,no,no,no,no,no,no,no,no
65,3946,3946,read,True,1691407190206481,1691407190206747,48,1691407190206481,no,no,no,no,no,no,no,no,no,no
66,3946,3946,getuid,True,1691407190206805,1691407190207066,10364,1691407190206805,no,no,no,no,no,no,no,no,no,no
