macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,16975,16975,clock_gettime,True,1691395817086919,1691395817087516,01691395817086919,no,no,no,no,no,no,no,no,no,no
2,16975,16975,epoll_pwait,True,1691395817087700,1691395817090676,1,1691395817087700,no,no,no,no,no,no,no,no,no,no
3,16975,16975,recvfrom,True,1691395817091629,1691395817093069,64,1691395817091629,no,no,no,no,no,no,no,no,no,no
4,16975,16975,recvfrom,True,1691395817093193,1691395817093963,18446744073709551605,1691395817093193,no,no,no,no,no,no,no,no,no,no
5,16975,16975,clock_gettime,True,1691395817094125,1691395817094417,0,1691395817094125,no,no,no,no,no,no,no,no,no,no
6,16975,16975,clock_gettime,True,1691395817094519,1691395817094768,0,1691395817094519,no,no,no,no,no,no,no,no,no,no
7,16975,16975,gettimeofday,True,1691395817094812,1691395817095016,0,1691395817094812,no,no,no,no,no,no,no,no,no,no
8,16975,16975,write,True,1691395817095070,1691395817095425,8,1691395817095070,no,no,no,no,no,no,no,no,no,no
9,16975,16975,clock_gettime,True,1691395817095484,1691395817095697,0,1691395817095484,no,no,no,no,no,no,no,no,no,no
11,17107,17107,futex,True,1691395845709085,1691395845709290,1,1691395845617,no,no,no,no,no,no,no,no,no,no
12,17107,17107,futex,True,1691395845709419,1691395845709600,1,1691395845709419,no,no,no,no,no,no,no,no,no,no
13,17107,17107,clock_gettime,True,1691395845713078,1691395845713763,0,1691395845713078,no,no,no,no,no,no,no,no,no,no
14,17107,17107,write,True,1691395845713908,1691395845714218,8,1691395845713908,no,no,no,no,no,no,no,no,no,no
15,17107,17107,futex,True,1691395845715334,1691395845715780,1,1691395845715334,no,no,no,no,no,no,no,no,no,no
16,17107,17107,futex,True,1691395845716083,1691395845718076,18446744073709551605,1691395845716083,no,no,no,no,no,no,no,no,no,no
17,17107,17107,clock_gettime,True,1691395845718205,1691395845718708,0,1691395845718205,no,no,no,no,no,no,no,no,no,no
18,17107,17107,clock_gettime,True,1691395845718809,1691395845719003,0,1691395845718809,no,no,no,no,no,no,no,no,no,no
19,17107,17107,clock_gettime,True,1691395845719103,1691395845719303,0,1691395845719103,no,no,no,no,no,no,no,no,no,no
20,17107,17107,read,True,1691395845719352,1691395845719586,48,1691395845719352,no,no,no,no,no,no,no,no,no,no
21,17107,17107,getuid,True,1691395845719658,1691395845719876,10364,1691395845719658,no,no,no,no,no,no,no,no,no,no
22,17107,17107,epoll_pwait,True,1691395845719944,1691395845720164,2,1691395845719944,no,no,no,no,no,no,no,no,no,no
23,17107,17107,read,True,1691395845720202,1691395845720400,8,1691395845720202,no,no,no,no,no,no,no,no,no,no
24,17107,17107,recvfrom,True,1691395845720436,1691395845720650,64,1691395845720436,no,no,no,no,no,no,no,no,no,no
25,17107,17107,recvfrom,True,1691395845720680,1691395845720866,18446744073709551605,1691395845720680,no,no,no,no,no,no,no,no,no,no
26,17107,17107,clock_gettime,True,1691395845721005,1691395845721253,0,1691395845721005,no,no,no,no,no,no,no,no,no,no
27,17107,17107,clock_gettime,True,1691395845721352,1691395845721568,0,1691395845721352,no,no,no,no,no,no,no,no,no,no
28,17107,17107,gettimeofday,True,1691395845721612,1691395845721816,0,1691395845721612,no,no,no,no,no,no,no,no,no,no
29,17107,17107,clock_gettime,True,1691395845721881,1691395845722106,0,1691395845721881,no,no,no,no,no,no,no,no,no,no
30,17107,17107,clock_gettime,True,1691395845722173,1691395845722384,0,1691395845722173,no,no,no,no,no,no,no,no,no,no
31,17107,17107,gettimeofday,True,1691395845722426,1691395845722629,0,1691395845722426,no,no,no,no,no,no,no,no,no,no
32,17107,17107,read,True,1691395845722672,1691395845722877,48,1691395845722672,no,no,no,no,no,no,no,no,no,no
33,17107,17107,clock_gettime,True,1691395845722995,1691395845723222,0,1691395845722995,no,no,no,no,no,no,no,no,no,no
34,17107,17107,read,True,1691395845723267,1691395845723497,48,1691395845723267,no,no,no,no,no,no,no,no,no,no
35,17107,17107,getuid,True,1691395845723571,1691395845723781,10364,1691395845723571,no,no,no,no,no,no,no,no,no,no
36,17107,17107,epoll_pwait,True,1691395845723841,1691395845724052,0,1691395845723841,no,no,no,no,no,no,no,no,no,no
37,17107,17107,clock_gettime,True,1691395845724101,1691395845724401,0,1691395845724101,no,no,no,no,no,no,no,no,no,no
38,17107,17107,clock_gettime,True,1691395845724510,1691395845724790,0,1691395845724510,no,no,no,no,no,no,no,no,no,no
39,17107,17107,gettimeofday,True,1691395845724850,1691395845725077,0,1691395845724850,no,no,no,no,no,no,no,no,no,no
40,17107,17107,read,True,1691395845725144,1691395845725352,48,1691395845725144,no,no,no,no,no,no,no,no,no,no
