macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,7121,7121,madvise,True,1691408189103717,1691408189104357,01691408189103717,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
2,7121,7121,madvise,True,1691408189104491,1691408189104673,0,1691408189104491,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
3,7121,7121,madvise,True,1691408189104768,1691408189107426,0,1691408189104768,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
4,7121,7121,madvise,True,1691408189107574,1691408189107775,0,1691408189107574,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
5,7121,7121,madvise,True,1691408189107892,1691408189109035,0,1691408189107892,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
6,7121,7121,madvise,True,1691408189109138,1691408189109632,0,1691408189109138,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
7,7121,7121,madvise,True,1691408189109783,1691408189109976,0,1691408189109783,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
8,7121,7121,madvise,True,1691408189110072,1691408189110243,0,1691408189110072,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
9,7121,7121,madvise,True,1691408189110334,1691408189110501,0,1691408189110334,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
11,7390,7390,epoll_pwait,True,1691408212629813,1691408212630151,2,1691408212506,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
12,7390,7390,read,True,1691408212630211,1691408212633354,8,1691408212630211,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
13,7390,7390,recvfrom,True,1691408212633665,1691408212634076,64,1691408212633665,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
14,7390,7390,recvfrom,True,1691408212634138,1691408212634495,18446744073709551605,1691408212634138,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
15,7390,7390,clock_gettime,True,1691408212634649,1691408212634980,0,1691408212634649,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
16,7390,7390,clock_gettime,True,1691408212635097,1691408212635394,0,1691408212635097,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
17,7390,7390,gettimeofday,True,1691408212635446,1691408212641797,0,1691408212635446,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
18,7390,7390,clock_gettime,True,1691408212642074,1691408212644014,0,1691408212642074,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
19,7390,7390,clock_gettime,True,1691408212644529,1691408212645285,0,1691408212644529,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
20,7390,7390,gettimeofday,True,1691408212645801,1691408212650723,0,1691408212645801,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
21,7390,7390,read,True,1691408212650861,1691408212651202,48,1691408212650861,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
22,7390,7390,clock_gettime,True,1691408212651354,1691408212652631,0,1691408212651354,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
23,7390,7390,read,True,1691408212652699,1691408212657301,48,1691408212652699,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
24,7390,7390,getuid,True,1691408212657441,1691408212658309,10364,1691408212657441,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
25,7390,7390,epoll_pwait,True,1691408212658434,1691408212659184,0,1691408212658434,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
26,7390,7390,clock_gettime,True,1691408212659284,1691408212660140,0,1691408212659284,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
27,7390,7390,clock_gettime,True,1691408212660267,1691408212661091,0,1691408212660267,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
28,7390,7390,gettimeofday,True,1691408212661177,1691408212662064,0,1691408212661177,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
29,7390,7390,read,True,1691408212662151,1691408212663102,48,1691408212662151,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
30,7390,7390,ioctl,True,1691408212663454,1691408212664750,0,1691408212663454,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
31,7390,7390,clock_gettime,True,1691408212665568,1691408212666532,0,1691408212665568,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
32,7390,7390,read,True,1691408212666620,1691408212667430,48,1691408212666620,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
33,7390,7390,getuid,True,1691408212667575,1691408212668448,10364,1691408212667575,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
34,7390,7390,epoll_pwait,True,1691408212668570,1691408212669420,0,1691408212668570,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
35,7390,7390,clock_gettime,True,1691408212669540,1691408212670306,0,1691408212669540,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
36,7390,7390,clock_gettime,True,1691408212670440,1691408212671213,0,1691408212670440,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
37,7390,7390,gettimeofday,True,1691408212671287,1691408212672032,0,1691408212671287,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
38,7390,7390,read,True,1691408212672123,1691408212672920,48,1691408212672123,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
39,7390,7390,clock_gettime,True,1691408212673094,1691408212673987,0,1691408212673094,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
40,7390,7390,clock_gettime,True,1691408212674081,1691408212674723,0,1691408212674081,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
41,7390,7390,clock_gettime,True,1691408212674764,1691408212675452,0,1691408212674764,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
