macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,21169,21169,clock_gettime,True,1691396698290814,1691396698295071,01691396698290814,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
2,21169,21169,futex,True,1691396698295233,1691396698295416,1,1691396698295233,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
3,21169,21169,futex,True,1691396698295518,1691396698295704,1,1691396698295518,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
4,21169,21169,epoll_pwait,True,1691396698295826,1691396698295994,1,1691396698295826,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
5,21169,21169,recvfrom,True,1691396698296108,1691396698296296,16,1691396698296108,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
6,21169,21169,clock_gettime,True,1691396698296418,1691396698296583,0,1691396698296418,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
7,21169,21169,clock_gettime,True,1691396698297212,1691396698301613,0,1691396698297212,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
8,21169,21169,clock_gettime,True,1691396698301728,1691396698302764,0,1691396698301728,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
9,21169,21169,gettimeofday,True,1691396698302854,1691396698303891,0,1691396698302854,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
11,21281,21281,recvfrom,True,1691396716600489,1691396716600654,64,1691396716513,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
12,21281,21281,recvfrom,True,1691396716600738,1691396716600893,18446744073709551605,1691396716600738,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
13,21281,21281,clock_gettime,True,1691396716601186,1691396716602137,0,1691396716601186,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
14,21281,21281,clock_gettime,True,1691396716602402,1691396716602722,0,1691396716602402,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
15,21281,21281,gettimeofday,True,1691396716602888,1691396716603098,0,1691396716602888,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
16,21281,21281,clock_gettime,True,1691396716603248,1691396716603426,0,1691396716603248,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
17,21281,21281,clock_gettime,True,1691396716603561,1691396716603736,0,1691396716603561,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
18,21281,21281,gettimeofday,True,1691396716603850,1691396716604030,0,1691396716603850,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
19,21281,21281,futex,True,1691396716604420,1691396716604646,0,1691396716604420,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
20,21281,21281,futex,True,1691396716605618,1691396716605938,1,1691396716605618,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
21,21281,21281,futex,True,1691396716606064,1691396716606264,1,1691396716606064,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
22,21281,21281,read,True,1691396716606380,1691396716606559,48,1691396716606380,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
23,21281,21281,clock_gettime,True,1691396716606773,1691396716606961,0,1691396716606773,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
24,21281,21281,read,True,1691396716607289,1691396716607550,48,1691396716607289,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
25,21281,21281,getuid,True,1691396716607795,1691396716608030,10364,1691396716607795,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
26,21281,21281,epoll_pwait,True,1691396716608189,1691396716608384,0,1691396716608189,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
27,21281,21281,clock_gettime,True,1691396716608487,1691396716608693,0,1691396716608487,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
28,21281,21281,clock_gettime,True,1691396716608853,1691396716609676,0,1691396716608853,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
29,21281,21281,gettimeofday,True,1691396716609751,1691396716610039,0,1691396716609751,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
30,21281,21281,read,True,1691396716610086,1691396716610304,48,1691396716610086,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
31,21281,21281,clock_gettime,True,1691396716610393,1691396716610606,0,1691396716610393,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
32,21281,21281,clock_gettime,True,1691396716610691,1691396716610899,0,1691396716610691,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
33,21281,21281,clock_gettime,True,1691396716610934,1691396716611131,0,1691396716610934,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
34,21281,21281,clock_gettime,True,1691396716611170,1691396716611382,0,1691396716611170,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
