macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,32399,32399,clock_gettime,True,1691399405038895,1691399405039550,01691399405038895,no,no,no,no,no,no,no,no,no,no
2,32399,32399,write,True,1691399405039683,1691399405040114,8,1691399405039683,no,no,no,no,no,no,no,no,no,no
3,32399,32399,futex,True,1691399405040641,1691399405040924,1,1691399405040641,no,no,no,no,no,no,no,no,no,no
4,32399,32399,futex,True,1691399405041080,1691399405041259,18446744073709551605,1691399405041080,no,no,no,no,no,no,no,no,no,no
5,32399,32399,clock_gettime,True,1691399405041465,1691399405041663,0,1691399405041465,no,no,no,no,no,no,no,no,no,no
6,32399,32399,clock_gettime,True,1691399405041854,1691399405042040,0,1691399405041854,no,no,no,no,no,no,no,no,no,no
7,32399,32399,read,True,1691399405042153,1691399405042323,48,1691399405042153,no,no,no,no,no,no,no,no,no,no
8,32399,32399,getuid,True,1691399405045861,1691399405046070,10364,1691399405045861,no,no,no,no,no,no,no,no,no,no
9,32399,32399,epoll_pwait,True,1691399405046214,1691399405046400,2,1691399405046214,no,no,no,no,no,no,no,no,no,no
11,32512,32512,clock_gettime,True,1691399426051659,1691399426052622,0,1691399425964,no,no,no,no,no,no,no,no,no,no
12,32512,32512,read,True,1691399426052718,1691399426054445,48,1691399426052718,no,no,no,no,no,no,no,no,no,no
13,32512,32512,getuid,True,1691399426054562,1691399426054838,10364,1691399426054562,no,no,no,no,no,no,no,no,no,no
14,32512,32512,epoll_pwait,True,1691399426054900,1691399426055119,2,1691399426054900,no,no,no,no,no,no,no,no,no,no
15,32512,32512,read,True,1691399426055156,1691399426055365,8,1691399426055156,no,no,no,no,no,no,no,no,no,no
16,32512,32512,recvfrom,True,1691399426055411,1691399426055617,16,1691399426055411,no,no,no,no,no,no,no,no,no,no
17,32512,32512,clock_gettime,True,1691399426055657,1691399426056286,0,1691399426055657,no,no,no,no,no,no,no,no,no,no
18,32512,32512,clock_gettime,True,1691399426056602,1691399426057402,0,1691399426056602,no,no,no,no,no,no,no,no,no,no
19,32512,32512,clock_gettime,True,1691399426057542,1691399426058286,0,1691399426057542,no,no,no,no,no,no,no,no,no,no
20,32512,32512,gettimeofday,True,1691399426058382,1691399426066131,0,1691399426058382,no,no,no,no,no,no,no,no,no,no
21,32512,32512,sendto,True,1691399426066336,1691399426067160,24,1691399426066336,no,no,no,no,no,no,no,no,no,no
22,32512,32512,recvfrom,True,1691399426067341,1691399426068937,18446744073709551605,1691399426067341,no,no,no,no,no,no,no,no,no,no
23,32512,32512,clock_gettime,True,1691399426069089,1691399426069688,0,1691399426069089,no,no,no,no,no,no,no,no,no,no
24,32512,32512,clock_gettime,True,1691399426069831,1691399426070672,0,1691399426069831,no,no,no,no,no,no,no,no,no,no
25,32512,32512,gettimeofday,True,1691399426070764,1691399426071741,0,1691399426070764,no,no,no,no,no,no,no,no,no,no
26,32512,32512,read,True,1691399426072069,1691399426072840,48,1691399426072069,no,no,no,no,no,no,no,no,no,no
27,32512,32512,clock_gettime,True,1691399426073047,1691399426073924,0,1691399426073047,no,no,no,no,no,no,no,no,no,no
28,32512,32512,clock_gettime,True,1691399426074199,1691399426074804,0,1691399426074199,no,no,no,no,no,no,no,no,no,no
29,32512,32512,clock_gettime,True,1691399426074913,1691399426075488,0,1691399426074913,no,no,no,no,no,no,no,no,no,no
30,32512,32512,clock_gettime,True,1691399426075651,1691399426076632,0,1691399426075651,no,no,no,no,no,no,no,no,no,no
31,32512,32512,clock_gettime,True,1691399426076719,1691399426077638,0,1691399426076719,no,no,no,no,no,no,no,no,no,no
32,32512,32512,clock_gettime,True,1691399426077896,1691399426080941,0,1691399426077896,no,no,no,no,no,no,no,no,no,no
33,32512,32512,clock_gettime,True,1691399426081195,1691399426081707,0,1691399426081195,no,no,no,no,no,no,no,no,no,no
34,32512,32512,clock_gettime,True,1691399426081808,1691399426082191,0,1691399426081808,no,no,no,no,no,no,no,no,no,no
35,32512,32512,recvfrom,True,1691399426082329,1691399426082677,18446744073709551605,1691399426082329,no,no,no,no,no,no,no,no,no,no
36,32512,32512,ioctl,True,1691399426082783,1691399426083789,0,1691399426082783,no,no,no,no,no,no,no,no,no,no
37,32512,32512,clock_gettime,True,1691399426083908,1691399426084642,0,1691399426083908,no,no,no,no,no,no,no,no,no,no
38,32512,32512,clock_gettime,True,1691399426084706,1691399426085537,0,1691399426084706,no,no,no,no,no,no,no,no,no,no
39,32512,32512,clock_gettime,True,1691399426085601,1691399426086327,0,1691399426085601,no,no,no,no,no,no,no,no,no,no
40,32512,32512,clock_gettime,True,1691399426086382,1691399426086971,0,1691399426086382,no,no,no,no,no,no,no,no,no,no
41,32512,32512,clock_gettime,True,1691399426087095,1691399426088594,0,1691399426087095,no,no,no,no,no,no,no,no,no,no
42,32512,32512,clock_gettime,True,1691399426088729,1691399426089638,0,1691399426088729,no,no,no,no,no,no,no,no,no,no
43,32512,32512,read,True,1691399426089804,1691399426091337,48,1691399426089804,no,no,no,no,no,no,no,no,no,no
44,32512,32512,getuid,True,1691399426091441,1691399426094761,10364,1691399426091441,no,no,no,no,no,no,no,no,no,no
45,32512,32512,epoll_pwait,True,1691399426094884,1691399426095693,1,1691399426094884,no,no,no,no,no,no,no,no,no,no
46,32512,32512,recvfrom,True,1691399426095766,1691399426097987,64,1691399426095766,no,no,no,no,no,no,no,no,no,no
47,32512,32512,recvfrom,True,1691399426098057,1691399426098674,18446744073709551605,1691399426098057,no,no,no,no,no,no,no,no,no,no
48,32512,32512,clock_gettime,True,1691399426098847,1691399426099200,0,1691399426098847,no,no,no,no,no,no,no,no,no,no
49,32512,32512,clock_gettime,True,1691399426099319,1691399426099594,0,1691399426099319,no,no,no,no,no,no,no,no,no,no
50,32512,32512,gettimeofday,True,1691399426099678,1691399426100759,0,1691399426099678,no,no,no,no,no,no,no,no,no,no
