macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,13822,13822,clock_gettime,True,1691401520584187,1691401520584783,01691401520584187,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
2,13822,13822,epoll_pwait,True,1691401520584928,1691401520599686,1,1691401520584928,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
3,13822,13822,recvfrom,True,1691401520599916,1691401520600617,16,1691401520599916,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
4,13822,13822,clock_gettime,True,1691401520601097,1691401520602175,0,1691401520601097,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
5,13822,13822,clock_gettime,True,1691401520602357,1691401520603110,0,1691401520602357,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
6,13822,13822,clock_gettime,True,1691401520603225,1691401520603523,0,1691401520603225,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
7,13822,13822,gettimeofday,True,1691401520603561,1691401520603763,0,1691401520603561,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
8,13822,13822,write,True,1691401520603810,1691401520604010,8,1691401520603810,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
9,13822,13822,sendto,True,1691401520604056,1691401520604387,24,1691401520604056,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
11,13977,13977,madvise,True,1691401541953020,1691401541953565,0,1691401541854,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
12,13977,13977,madvise,True,1691401541953697,1691401541954443,0,1691401541953697,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
13,13977,13977,madvise,True,1691401541954556,1691401541955220,0,1691401541954556,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
14,13977,13977,madvise,True,1691401541955309,1691401541955943,0,1691401541955309,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
15,13977,13977,madvise,True,1691401541956368,1691401541957184,0,1691401541956368,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
16,13977,13977,clock_gettime,True,1691401541958036,1691401541958840,0,1691401541958036,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
17,13977,13977,clock_gettime,True,1691401541958961,1691401541959659,0,1691401541958961,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
18,13977,13977,recvfrom,True,1691401541959905,1691401541960632,18446744073709551605,1691401541959905,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
19,13977,13977,ioctl,True,1691401541960937,1691401541966923,0,1691401541960937,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
20,13977,13977,clock_gettime,True,1691401541967351,1691401541967916,0,1691401541967351,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
21,13977,13977,clock_gettime,True,1691401541968023,1691401541968889,0,1691401541968023,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
22,13977,13977,write,True,1691401541969040,1691401541969552,8,1691401541969040,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
23,13977,13977,futex,True,1691401541979119,1691401541979702,1,1691401541979119,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
24,13977,13977,futex,True,1691401541979747,1691401541979985,1,1691401541979747,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
25,13977,13977,clock_gettime,True,1691401541987373,1691401541987662,0,1691401541987373,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
26,13977,13977,write,True,1691401541987706,1691401541988203,8,1691401541987706,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
27,13977,13977,futex,True,1691401541988254,1691401541990388,1,1691401541988254,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
28,13977,13977,futex,True,1691401541992042,1691401541992409,18446744073709551605,1691401541992042,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
29,13977,13977,clock_gettime,True,1691401541992571,1691401541993213,0,1691401541992571,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
30,13977,13977,clock_gettime,True,1691401541993334,1691401541993571,0,1691401541993334,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
31,13977,13977,read,True,1691401541993620,1691401541993820,48,1691401541993620,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
32,13977,13977,getuid,True,1691401541993886,1691401541994089,10364,1691401541993886,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
33,13977,13977,epoll_pwait,True,1691401541994146,1691401541994345,2,1691401541994146,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
34,13977,13977,read,True,1691401541994374,1691401541994788,8,1691401541994374,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
35,13977,13977,recvfrom,True,1691401541994835,1691401541995060,64,1691401541994835,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
36,13977,13977,recvfrom,True,1691401541995091,1691401541995273,18446744073709551605,1691401541995091,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
37,13977,13977,clock_gettime,True,1691401541995406,1691401541995610,0,1691401541995406,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
38,13977,13977,clock_gettime,True,1691401541995696,1691401541995896,0,1691401541995696,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
39,13977,13977,gettimeofday,True,1691401541995939,1691401541996141,0,1691401541995939,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
40,13977,13977,clock_gettime,True,1691401541996204,1691401541996394,0,1691401541996204,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
41,13977,13977,clock_gettime,True,1691401541996457,1691401541996646,0,1691401541996457,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
42,13977,13977,gettimeofday,True,1691401541996683,1691401541996890,0,1691401541996683,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
43,13977,13977,read,True,1691401541996939,1691401541997148,48,1691401541996939,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
44,13977,13977,clock_gettime,True,1691401541997241,1691401541997441,0,1691401541997241,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
45,13977,13977,read,True,1691401541997483,1691401541997699,48,1691401541997483,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
46,13977,13977,getuid,True,1691401541997843,1691401541998065,10364,1691401541997843,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
47,13977,13977,epoll_pwait,True,1691401541998121,1691401541998321,0,1691401541998121,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
48,13977,13977,clock_gettime,True,1691401541998356,1691401541998590,0,1691401541998356,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
49,13977,13977,clock_gettime,True,1691401541998751,1691401542000806,0,1691401541998751,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
50,13977,13977,gettimeofday,True,1691401542001155,1691401542002612,0,1691401542001155,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
51,13977,13977,read,True,1691401542002717,1691401542003482,48,1691401542002717,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
52,13977,13977,ioctl,True,1691401542003776,1691401542004464,0,1691401542003776,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
53,13977,13977,clock_gettime,True,1691401542004586,1691401542005368,0,1691401542004586,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
54,13977,13977,read,True,1691401542005441,1691401542006003,48,1691401542005441,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
55,13977,13977,getuid,True,1691401542006115,1691401542006759,10364,1691401542006115,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
56,13977,13977,epoll_pwait,True,1691401542006857,1691401542007099,0,1691401542006857,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
57,13977,13977,clock_gettime,True,1691401542007168,1691401542007728,0,1691401542007168,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
58,13977,13977,clock_gettime,True,1691401542007827,1691401542008294,0,1691401542007827,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
59,13977,13977,gettimeofday,True,1691401542008381,1691401542008914,0,1691401542008381,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
