macrodroid=True
fakeclient=True
Id,Pid,Spid,Name,Finished,StartTimestamp,FinishTimestamp,ReturnValue,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,26989,26989,clock_gettime,True,1691405701963478,1691405701965244,01691405701963478,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
2,26989,26989,clock_gettime,True,1691405701965363,1691405701965919,0,1691405701965363,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
3,26989,26989,clock_gettime,True,1691405701966013,1691405701966528,0,1691405701966013,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
4,26989,26989,clock_gettime,True,1691405701966761,1691405701967251,0,1691405701966761,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
5,26989,26989,gettimeofday,True,1691405701967346,1691405701967875,0,1691405701967346,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
6,26989,26989,clock_gettime,True,1691405701967967,1691405701968537,0,1691405701967967,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
7,26989,26989,write,True,1691405701968720,1691405701969291,8,1691405701968720,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
8,26989,26989,futex,True,1691405701974300,1691405701975673,0,1691405701974300,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
9,26989,26989,futex,True,1691405701975749,1691405701976045,1,1691405701975749,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
10,26989,26989,futex,True,1691405701976964,1691405701977681,0,1691405701976964,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
11,26989,26989,futex,True,1691405701977732,1691405701981900,1,1691405701977732,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
12,26989,26989,futex,True,1691405701982437,1691405701982844,1,1691405701982437,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
13,26989,26989,futex,True,1691405701982975,1691405701983210,1,1691405701982975,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
14,26989,26989,clock_gettime,True,1691405701983595,1691405701983794,0,1691405701983595,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
15,26989,26989,clock_gettime,True,1691405701984147,1691405701984345,0,1691405701984147,alert,alert,alert,alert,alert,alert,alert,alert,alert,alert
